exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
hond,4.0,5.0,5.0,8.0,4.0,3.0,3.0,4.0,4.0,13.0,20.0,10.0,4.0,5.0,5.0,5.0,7.0,5.0,3.0,5.0,6.0,5.0,4.0,8.0,7.0,4.0,2.0,17.0,14.0,5.0
ijsbeer,8.0,8.0,4.0,4.0,7.0,5.0,5.0,6.0,1.0,6.0,10.0,20.0,4.0,5.0,4.0,4.0,7.0,13.0,2.0,4.0,4.0,4.0,5.0,2.0,7.0,4.0,2.0,4.0,10.0,4.0
kangoeroe,4.0,5.0,6.0,11.0,5.0,5.0,5.0,8.0,7.0,9.0,4.0,4.0,20.0,8.0,8.0,3.0,10.0,6.0,2.0,8.0,5.0,9.0,7.0,3.0,6.0,5.0,3.0,4.0,11.0,7.0
kat,3.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,9.0,13.0,5.0,5.0,8.0,20.0,4.0,15.0,6.0,4.0,6.0,5.0,5.0,7.0,4.0,4.0,11.0,5.0,3.0,7.0,5.0,5.0
koe,4.0,6.0,14.0,10.0,4.0,4.0,12.0,9.0,4.0,9.0,5.0,4.0,8.0,4.0,20.0,6.0,17.0,6.0,3.0,7.0,10.0,13.0,5.0,7.0,7.0,9.0,4.0,8.0,7.0,9.0
konijn,4.0,16.0,4.0,5.0,11.0,12.0,4.0,5.0,17.0,8.0,5.0,4.0,3.0,15.0,6.0,20.0,13.0,4.0,5.0,3.0,3.0,4.0,4.0,7.0,4.0,7.0,3.0,4.0,4.0,8.0
lama,2.0,6.0,9.0,14.0,2.0,4.0,12.0,15.0,4.0,10.0,7.0,7.0,10.0,6.0,17.0,13.0,20.0,7.0,3.0,7.0,6.0,10.0,7.0,15.0,12.0,8.0,4.0,10.0,12.0,15.0
leeuw,2.0,7.0,13.0,5.0,4.0,2.0,3.0,4.0,1.0,4.0,5.0,13.0,6.0,4.0,6.0,4.0,7.0,20.0,2.0,8.0,11.0,4.0,6.0,6.0,18.0,5.0,2.0,4.0,16.0,3.0
muis,2.0,2.0,2.0,5.0,15.0,15.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,6.0,3.0,5.0,3.0,2.0,20.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0
neushoorn,2.0,5.0,15.0,9.0,4.0,5.0,10.0,3.0,2.0,9.0,5.0,4.0,8.0,5.0,7.0,3.0,7.0,8.0,2.0,20.0,19.0,12.0,8.0,5.0,7.0,8.0,2.0,7.0,14.0,8.0
nijlpaard,6.0,5.0,15.0,4.0,10.0,4.0,4.0,7.0,5.0,7.0,6.0,4.0,5.0,5.0,10.0,3.0,6.0,11.0,2.0,19.0,20.0,14.0,7.0,6.0,14.0,5.0,2.0,7.0,8.0,13.0
olifant,2.0,5.0,14.0,5.0,4.0,2.0,10.0,7.0,2.0,3.0,5.0,4.0,9.0,7.0,13.0,4.0,10.0,4.0,5.0,12.0,14.0,20.0,10.0,4.0,5.0,5.0,3.0,3.0,4.0,11.0
paard,5.0,8.0,6.0,14.0,7.0,3.0,18.0,8.0,4.0,7.0,4.0,5.0,7.0,4.0,5.0,4.0,7.0,6.0,2.0,8.0,7.0,10.0,20.0,4.0,4.0,4.0,3.0,4.0,4.0,18.0
schaap,2.0,3.0,7.0,7.0,4.0,3.0,6.0,10.0,7.0,5.0,8.0,2.0,3.0,4.0,7.0,7.0,15.0,6.0,4.0,5.0,6.0,4.0,4.0,20.0,5.0,14.0,5.0,8.0,10.0,8.0
tijger,4.0,4.0,9.0,4.0,4.0,2.0,3.0,4.0,11.0,5.0,7.0,7.0,6.0,11.0,7.0,4.0,12.0,18.0,2.0,7.0,14.0,5.0,4.0,5.0,20.0,5.0,2.0,3.0,7.0,3.0
varken,4.0,11.0,10.0,5.0,3.0,6.0,11.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,9.0,7.0,8.0,5.0,3.0,8.0,5.0,5.0,4.0,14.0,5.0,20.0,2.0,10.0,12.0,3.0
vleermuis,4.0,5.0,1.0,5.0,6.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,2.0,20.0,3.0,3.0,4.0
vos,7.0,6.0,2.0,7.0,3.0,7.0,4.0,6.0,7.0,8.0,17.0,4.0,4.0,7.0,8.0,4.0,10.0,4.0,3.0,7.0,7.0,3.0,4.0,8.0,3.0,10.0,3.0,20.0,3.0,4.0
wolf,2.0,10.0,8.0,6.0,3.0,2.0,6.0,3.0,5.0,7.0,14.0,10.0,11.0,5.0,7.0,4.0,12.0,16.0,2.0,14.0,8.0,4.0,4.0,10.0,7.0,12.0,3.0,3.0,20.0,4.0
zebra,6.0,9.0,8.0,6.0,8.0,2.0,14.0,6.0,4.0,15.0,5.0,4.0,7.0,5.0,9.0,8.0,15.0,3.0,2.0,8.0,13.0,11.0,18.0,8.0,3.0,3.0,4.0,4.0,4.0,20.0
