exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
hond,4.0,7.0,4.0,2.0,6.0,8.0,8.0,3.0,7.0,6.0,20.0,9.0,8.0,14.0,5.0,8.0,3.0,9.0,5.0,5.0,5.0,3.0,9.0,9.0,6.0,9.0,5.0,12.0,14.0,5.0
ijsbeer,6.0,9.0,6.0,5.0,3.0,4.0,5.0,3.0,1.0,8.0,9.0,20.0,5.0,3.0,9.0,8.0,1.0,4.0,5.0,11.0,8.0,11.0,6.0,6.0,4.0,4.0,4.0,3.0,4.0,6.0
kangoeroe,3.0,6.0,7.0,4.0,7.0,8.0,7.0,8.0,2.0,5.0,8.0,5.0,20.0,5.0,4.0,12.0,9.0,4.0,7.0,6.0,7.0,6.0,4.0,8.0,9.0,3.0,4.0,6.0,4.0,9.0
kat,6.0,5.0,5.0,6.0,8.0,10.0,6.0,1.0,9.0,4.0,14.0,3.0,5.0,20.0,7.0,7.0,3.0,9.0,9.0,6.0,4.0,3.0,8.0,3.0,14.0,11.0,10.0,7.0,9.0,6.0
koe,7.0,3.0,14.0,8.0,3.0,6.0,11.0,3.0,3.0,14.0,5.0,9.0,4.0,7.0,20.0,3.0,8.0,5.0,4.0,9.0,7.0,7.0,12.0,6.0,5.0,11.0,4.0,8.0,7.0,11.0
konijn,6.0,12.0,6.0,3.0,10.0,9.0,4.0,5.0,16.0,9.0,8.0,8.0,12.0,7.0,3.0,20.0,8.0,3.0,8.0,6.0,5.0,5.0,2.0,9.0,4.0,5.0,5.0,7.0,8.0,3.0
lama,6.0,3.0,5.0,9.0,8.0,5.0,13.0,4.0,4.0,10.0,3.0,1.0,9.0,3.0,8.0,8.0,20.0,6.0,4.0,6.0,7.0,5.0,15.0,8.0,6.0,5.0,3.0,9.0,9.0,12.0
leeuw,8.0,8.0,11.0,11.0,4.0,3.0,8.0,9.0,2.0,6.0,9.0,4.0,4.0,9.0,5.0,3.0,6.0,20.0,2.0,9.0,7.0,7.0,5.0,3.0,14.0,3.0,3.0,8.0,10.0,10.0
muis,8.0,9.0,1.0,4.0,9.0,6.0,7.0,1.0,16.0,6.0,5.0,5.0,7.0,9.0,4.0,8.0,4.0,2.0,20.0,2.0,8.0,1.0,2.0,5.0,3.0,5.0,13.0,5.0,4.0,5.0
neushoorn,6.0,8.0,10.0,8.0,8.0,8.0,6.0,8.0,2.0,6.0,5.0,11.0,6.0,6.0,9.0,6.0,6.0,9.0,2.0,20.0,16.0,12.0,7.0,5.0,6.0,9.0,7.0,7.0,6.0,7.0
nijlpaard,4.0,6.0,8.0,8.0,6.0,2.0,5.0,5.0,3.0,6.0,5.0,8.0,7.0,4.0,7.0,5.0,7.0,7.0,8.0,16.0,20.0,15.0,8.0,6.0,7.0,6.0,7.0,5.0,5.0,6.0
olifant,8.0,4.0,3.0,7.0,2.0,3.0,6.0,11.0,3.0,6.0,3.0,11.0,6.0,3.0,7.0,5.0,5.0,7.0,1.0,12.0,15.0,20.0,7.0,5.0,8.0,6.0,1.0,6.0,6.0,4.0
paard,3.0,7.0,12.0,8.0,7.0,4.0,16.0,5.0,6.0,9.0,9.0,6.0,4.0,8.0,12.0,2.0,15.0,5.0,2.0,7.0,8.0,7.0,20.0,9.0,5.0,6.0,4.0,8.0,5.0,16.0
schaap,8.0,5.0,6.0,6.0,8.0,5.0,8.0,5.0,10.0,8.0,9.0,6.0,8.0,3.0,6.0,9.0,8.0,3.0,5.0,5.0,6.0,5.0,9.0,20.0,8.0,6.0,6.0,7.0,4.0,5.0
tijger,6.0,2.0,11.0,2.0,4.0,4.0,6.0,12.0,2.0,7.0,6.0,4.0,9.0,14.0,5.0,4.0,6.0,14.0,3.0,6.0,7.0,8.0,5.0,8.0,20.0,2.0,4.0,9.0,9.0,8.0
varken,4.0,6.0,6.0,2.0,8.0,7.0,6.0,5.0,3.0,5.0,9.0,4.0,3.0,11.0,11.0,5.0,5.0,3.0,5.0,9.0,6.0,6.0,6.0,6.0,2.0,20.0,1.0,9.0,3.0,6.0
vleermuis,6.0,6.0,3.0,6.0,15.0,11.0,4.0,2.0,10.0,6.0,5.0,4.0,4.0,10.0,4.0,5.0,3.0,3.0,13.0,7.0,7.0,1.0,4.0,6.0,4.0,1.0,20.0,6.0,5.0,4.0
vos,7.0,5.0,5.0,5.0,9.0,6.0,4.0,7.0,4.0,11.0,12.0,3.0,6.0,7.0,8.0,7.0,9.0,8.0,5.0,7.0,5.0,6.0,8.0,7.0,9.0,9.0,6.0,20.0,15.0,5.0
wolf,7.0,8.0,6.0,4.0,8.0,5.0,8.0,8.0,3.0,6.0,14.0,4.0,4.0,9.0,7.0,8.0,9.0,10.0,4.0,6.0,5.0,6.0,5.0,4.0,9.0,3.0,5.0,15.0,20.0,6.0
zebra,4.0,2.0,9.0,9.0,5.0,5.0,13.0,4.0,4.0,5.0,5.0,6.0,9.0,6.0,11.0,3.0,12.0,10.0,5.0,7.0,6.0,4.0,16.0,5.0,8.0,6.0,4.0,5.0,6.0,20.0
