exemplar,aap,bever,bizon,dromedaris,eekhoorn,egel,ezel,giraf,hamster,hert,hond,ijsbeer,kangoeroe,kat,koe,konijn,lama,leeuw,muis,neushoorn,nijlpaard,olifant,paard,schaap,tijger,varken,vleermuis,vos,wolf,zebra
muis,9.0,12.0,5.0,8.0,14.0,14.0,12.0,7.0,18.0,9.0,12.0,9.0,10.0,10.0,11.0,11.0,10.0,6.0,20.0,7.0,5.0,8.0,10.0,12.0,8.0,8.0,12.0,12.0,10.0,8.0
neushoorn,9.0,9.0,14.0,12.0,4.0,9.0,10.0,10.0,7.0,10.0,9.0,12.0,11.0,10.0,12.0,7.0,9.0,10.0,7.0,20.0,18.0,14.0,12.0,9.0,16.0,9.0,8.0,8.0,10.0,12.0
nijlpaard,9.0,8.0,11.0,12.0,9.0,5.0,12.0,10.0,6.0,9.0,13.0,13.0,4.0,8.0,13.0,8.0,13.0,10.0,5.0,18.0,20.0,16.0,11.0,8.0,10.0,12.0,8.0,8.0,7.0,12.0
olifant,11.0,9.0,12.0,11.0,5.0,8.0,8.0,11.0,11.0,12.0,9.0,10.0,11.0,6.0,11.0,10.0,10.0,11.0,8.0,14.0,16.0,20.0,13.0,10.0,11.0,7.0,8.0,11.0,11.0,13.0
paard,8.0,10.0,12.0,14.0,7.0,10.0,18.0,13.0,6.0,13.0,13.0,10.0,10.0,11.0,14.0,12.0,16.0,10.0,10.0,12.0,11.0,13.0,20.0,11.0,10.0,12.0,9.0,12.0,10.0,19.0
schaap,4.0,12.0,11.0,11.0,10.0,11.0,13.0,8.0,11.0,12.0,13.0,10.0,9.0,13.0,11.0,12.0,14.0,10.0,12.0,9.0,8.0,10.0,11.0,20.0,7.0,14.0,8.0,12.0,8.0,9.0
tijger,14.0,12.0,9.0,8.0,7.0,4.0,8.0,12.0,6.0,7.0,11.0,12.0,9.0,16.0,9.0,12.0,11.0,14.0,8.0,16.0,10.0,11.0,10.0,7.0,20.0,11.0,9.0,8.0,11.0,12.0
varken,11.0,9.0,11.0,11.0,12.0,15.0,14.0,11.0,12.0,11.0,12.0,8.0,4.0,11.0,12.0,11.0,11.0,13.0,8.0,9.0,12.0,7.0,12.0,14.0,11.0,20.0,11.0,11.0,11.0,11.0
vleermuis,11.0,11.0,6.0,8.0,15.0,10.0,12.0,13.0,14.0,11.0,15.0,11.0,8.0,12.0,11.0,13.0,9.0,7.0,12.0,8.0,8.0,8.0,9.0,8.0,9.0,11.0,20.0,10.0,9.0,5.0
vos,8.0,13.0,10.0,8.0,12.0,11.0,11.0,9.0,11.0,13.0,15.0,11.0,11.0,16.0,13.0,14.0,11.0,12.0,12.0,8.0,8.0,11.0,12.0,12.0,8.0,11.0,10.0,20.0,16.0,10.0
wolf,8.0,11.0,11.0,9.0,11.0,8.0,11.0,7.0,10.0,13.0,13.0,1.0,8.0,13.0,11.0,12.0,10.0,16.0,10.0,10.0,7.0,11.0,10.0,8.0,11.0,11.0,9.0,16.0,20.0,12.0
zebra,11.0,10.0,12.0,12.0,7.0,8.0,17.0,14.0,9.0,14.0,11.0,11.0,11.0,11.0,13.0,9.0,13.0,11.0,8.0,12.0,12.0,13.0,19.0,9.0,12.0,11.0,5.0,10.0,12.0,20.0
