exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
hat,4.0,3.0,6.0,3.0,2.0,2.0,17.0,14.0,4.0,8.0,20.0,5.0,8.0,3.0,6.0,5.0,6.0,16.0,5.0,5.0,4.0,2.0,3.0,16.0,9.0,6.0,11.0,2.0,1.0
jeans,1.0,4.0,13.0,15.0,2.0,3.0,5.0,4.0,4.0,8.0,5.0,20.0,4.0,6.0,20.0,13.0,3.0,5.0,15.0,6.0,7.0,5.0,13.0,7.0,5.0,9.0,3.0,14.0,6.0
mittens,2.0,9.0,4.0,5.0,4.0,2.0,8.0,15.0,4.0,2.0,8.0,4.0,20.0,1.0,6.0,17.0,3.0,4.0,2.0,1.0,3.0,6.0,7.0,4.0,7.0,5.0,2.0,14.0,5.0
panties,13.0,2.0,5.0,4.0,6.0,19.0,3.0,5.0,9.0,8.0,3.0,6.0,1.0,20.0,7.0,4.0,12.0,4.0,14.0,2.0,16.0,14.0,14.0,3.0,1.0,2.0,4.0,6.0,2.0
pants,5.0,8.0,16.0,15.0,5.0,1.0,3.0,7.0,10.0,17.0,6.0,20.0,6.0,7.0,20.0,10.0,3.0,3.0,14.0,19.0,19.0,14.0,5.0,17.0,11.0,15.0,18.0,15.0,16.0
pullover,17.0,6.0,9.0,18.0,2.0,3.0,8.0,13.0,8.0,2.0,5.0,13.0,17.0,4.0,10.0,20.0,6.0,11.0,16.0,8.0,5.0,11.0,7.0,4.0,19.0,1.0,3.0,17.0,13.0
pyjamas,7.0,19.0,8.0,18.0,4.0,9.0,1.0,2.0,6.0,8.0,6.0,3.0,3.0,12.0,3.0,6.0,20.0,1.0,7.0,1.0,7.0,4.0,6.0,2.0,3.0,20.0,6.0,7.0,16.0
scarf,5.0,14.0,4.0,6.0,9.0,2.0,9.0,17.0,2.0,7.0,16.0,5.0,4.0,4.0,3.0,11.0,1.0,20.0,6.0,1.0,4.0,4.0,8.0,6.0,12.0,16.0,18.0,7.0,14.0
shirt,1.0,9.0,9.0,18.0,2.0,10.0,2.0,14.0,10.0,5.0,5.0,15.0,2.0,14.0,14.0,16.0,7.0,6.0,20.0,4.0,8.0,6.0,6.0,13.0,18.0,14.0,16.0,8.0,6.0
shoes,4.0,2.0,3.0,4.0,20.0,4.0,5.0,16.0,7.0,6.0,5.0,6.0,1.0,2.0,19.0,8.0,1.0,1.0,4.0,20.0,14.0,7.0,17.0,15.0,6.0,2.0,5.0,2.0,16.0
shorts,18.0,3.0,12.0,12.0,5.0,4.0,11.0,4.0,8.0,16.0,4.0,7.0,3.0,16.0,19.0,5.0,7.0,4.0,8.0,14.0,20.0,19.0,2.0,4.0,3.0,14.0,9.0,15.0,15.0
skirt,7.0,4.0,8.0,3.0,6.0,4.0,10.0,5.0,18.0,5.0,2.0,5.0,6.0,14.0,14.0,11.0,4.0,4.0,6.0,7.0,19.0,20.0,5.0,3.0,2.0,6.0,5.0,15.0,7.0
socks,2.0,3.0,1.0,4.0,7.0,14.0,2.0,6.0,7.0,1.0,3.0,13.0,7.0,14.0,5.0,7.0,6.0,8.0,6.0,17.0,2.0,5.0,20.0,6.0,3.0,6.0,3.0,5.0,8.0
suit,3.0,3.0,16.0,3.0,2.0,3.0,1.0,4.0,6.0,4.0,16.0,7.0,4.0,3.0,17.0,4.0,2.0,6.0,13.0,15.0,4.0,3.0,6.0,20.0,13.0,8.0,17.0,3.0,6.0
sweater,1.0,4.0,4.0,19.0,6.0,7.0,5.0,2.0,1.0,2.0,9.0,5.0,7.0,1.0,11.0,19.0,3.0,12.0,18.0,6.0,3.0,2.0,3.0,13.0,20.0,16.0,7.0,14.0,17.0
t-shirt,4.0,5.0,4.0,18.0,3.0,4.0,3.0,8.0,12.0,9.0,6.0,9.0,5.0,2.0,15.0,1.0,20.0,16.0,14.0,2.0,14.0,6.0,6.0,8.0,16.0,20.0,12.0,1.0,15.0
tie,5.0,1.0,3.0,10.0,9.0,7.0,10.0,17.0,5.0,8.0,11.0,3.0,2.0,4.0,18.0,3.0,6.0,18.0,16.0,5.0,9.0,5.0,3.0,17.0,7.0,12.0,20.0,6.0,5.0
top,14.0,5.0,3.0,11.0,1.0,18.0,4.0,4.0,9.0,5.0,2.0,14.0,14.0,6.0,15.0,17.0,7.0,7.0,8.0,2.0,15.0,15.0,5.0,3.0,14.0,1.0,6.0,20.0,9.0
tracksuit,6.0,12.0,6.0,15.0,8.0,6.0,14.0,9.0,6.0,8.0,1.0,6.0,5.0,2.0,16.0,13.0,16.0,14.0,6.0,16.0,15.0,7.0,8.0,6.0,17.0,15.0,5.0,9.0,20.0
