exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
minister,2.0,13.0,2.0,3.0,5.0,2.0,6.0,3.0,3.0,6.0,5.0,6.0,3.0,3.0,2.0,1.0,2.0,20.0,2.0,3.0,2.0,2.0,5.0,16.0,8.0,3.0,4.0,5.0,3.0,3.0
opvoedster,4.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,7.0,3.0,9.0,3.0,3.0,11.0,4.0,3.0,2.0,20.0,4.0,2.0,2.0,15.0,13.0,3.0,2.0,2.0,3.0,3.0,2.0
piloot,1.0,5.0,6.0,3.0,11.0,3.0,1.0,3.0,4.0,3.0,9.0,15.0,2.0,3.0,3.0,7.0,4.0,3.0,4.0,20.0,8.0,3.0,5.0,6.0,2.0,2.0,17.0,3.0,3.0,3.0
politieagent,3.0,16.0,2.0,7.0,6.0,2.0,9.0,9.0,3.0,12.0,8.0,3.0,4.0,3.0,8.0,3.0,3.0,2.0,2.0,8.0,20.0,10.0,4.0,10.0,3.0,4.0,5.0,2.0,3.0,5.0
postbode,3.0,5.0,3.0,3.0,5.0,5.0,11.0,3.0,2.0,3.0,2.0,8.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,10.0,20.0,2.0,5.0,13.0,2.0,3.0,3.0,2.0,3.0
psycholoog,5.0,11.0,3.0,5.0,3.0,3.0,4.0,8.0,6.0,7.0,13.0,3.0,8.0,2.0,13.0,3.0,3.0,5.0,15.0,5.0,4.0,2.0,20.0,7.0,3.0,2.0,2.0,4.0,9.0,2.0
rechter,4.0,17.0,9.0,5.0,5.0,3.0,9.0,3.0,4.0,12.0,9.0,6.0,2.0,3.0,5.0,2.0,2.0,16.0,13.0,6.0,10.0,5.0,7.0,20.0,4.0,4.0,3.0,3.0,2.0,3.0
secretaresse,2.0,8.0,9.0,3.0,2.0,5.0,13.0,3.0,2.0,14.0,4.0,6.0,3.0,3.0,3.0,3.0,5.0,8.0,3.0,2.0,3.0,13.0,3.0,4.0,20.0,3.0,2.0,5.0,2.0,7.0
slager,3.0,6.0,8.0,2.0,4.0,11.0,2.0,2.0,5.0,3.0,3.0,3.0,2.0,14.0,4.0,2.0,10.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,20.0,4.0,3.0,4.0,11.0
stewardess,8.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,17.0,5.0,3.0,2.0,3.0,2.0,4.0,20.0,1.0,3.0,6.0
tandarts,2.0,5.0,11.0,3.0,11.0,3.0,2.0,2.0,3.0,3.0,17.0,3.0,14.0,3.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,3.0,1.0,20.0,3.0,3.0
vuilnisman,4.0,3.0,3.0,5.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,9.0,2.0,3.0,3.0,3.0,3.0,2.0,9.0,2.0,2.0,4.0,3.0,3.0,20.0,3.0
winkelbediende,7.0,2.0,11.0,5.0,3.0,12.0,8.0,3.0,3.0,8.0,3.0,5.0,5.0,4.0,4.0,6.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,3.0,7.0,11.0,6.0,3.0,3.0,20.0
