exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
opvoedster,11.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,12.0,13.0,9.0,11.0,11.0,13.0,9.0,10.0,10.0,20.0,9.0,12.0,9.0,16.0,12.0,15.0,9.0,10.0,14.0,9.0,10.0
piloot,10.0,12.0,10.0,11.0,11.0,10.0,13.0,13.0,10.0,12.0,15.0,12.0,9.0,11.0,10.0,10.0,10.0,12.0,9.0,20.0,13.0,1.0,11.0,10.0,10.0,10.0,15.0,10.0,10.0,10.0
politieagent,9.0,14.0,10.0,10.0,12.0,14.0,11.0,14.0,11.0,12.0,9.0,12.0,10.0,10.0,14.0,9.0,11.0,13.0,12.0,13.0,20.0,12.0,11.0,12.0,11.0,11.0,10.0,15.0,9.0,12.0
postbode,9.0,11.0,11.0,10.0,11.0,9.0,12.0,12.0,11.0,10.0,10.0,11.0,10.0,9.0,14.0,10.0,11.0,10.0,9.0,1.0,12.0,20.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,11.0
psycholoog,12.0,12.0,13.0,10.0,11.0,9.0,10.0,11.0,12.0,10.0,14.0,13.0,15.0,10.0,12.0,10.0,9.0,11.0,16.0,11.0,11.0,10.0,20.0,12.0,10.0,9.0,10.0,13.0,14.0,9.0
rechter,9.0,15.0,11.0,11.0,11.0,10.0,13.0,11.0,11.0,12.0,14.0,12.0,10.0,10.0,11.0,10.0,10.0,13.0,12.0,10.0,12.0,10.0,12.0,20.0,10.0,10.0,9.0,11.0,9.0,9.0
secretaresse,10.0,12.0,13.0,9.0,10.0,12.0,14.0,10.0,10.0,12.0,12.0,12.0,12.0,11.0,12.0,9.0,11.0,12.0,15.0,10.0,11.0,11.0,10.0,10.0,20.0,10.0,14.0,12.0,10.0,14.0
slager,11.0,9.0,9.0,10.0,11.0,15.0,11.0,10.0,15.0,9.0,11.0,11.0,9.0,16.0,9.0,10.0,12.0,8.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,20.0,10.0,10.0,10.0,17.0
stewardess,11.0,10.0,10.0,11.0,12.0,9.0,14.0,10.0,8.0,13.0,10.0,10.0,11.0,11.0,12.0,9.0,10.0,10.0,10.0,15.0,10.0,11.0,10.0,9.0,14.0,10.0,20.0,12.0,10.0,12.0
tandarts,10.0,10.0,13.0,11.0,12.0,9.0,11.0,10.0,15.0,11.0,15.0,11.0,15.0,10.0,12.0,12.0,9.0,11.0,14.0,10.0,15.0,11.0,13.0,11.0,12.0,10.0,12.0,20.0,9.0,10.0
vuilnisman,10.0,10.0,10.0,9.0,10.0,9.0,10.0,12.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,14.0,9.0,10.0,10.0,10.0,9.0,20.0,10.0
winkelbediende,10.0,10.0,13.0,9.0,10.0,18.0,12.0,10.0,11.0,12.0,10.0,11.0,13.0,13.0,10.0,11.0,15.0,11.0,10.0,10.0,12.0,11.0,9.0,9.0,14.0,17.0,12.0,10.0,10.0,20.0
