exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
loodgieter,8.0,6.0,8.0,6.0,8.0,11.0,9.0,12.0,7.0,9.0,4.0,6.0,8.0,8.0,10.0,20.0,7.0,6.0,9.0,6.0,9.0,12.0,7.0,7.0,9.0,9.0,8.0,7.0,12.0,10.0
marktkramer,8.0,4.0,13.0,7.0,9.0,13.0,10.0,6.0,8.0,9.0,6.0,8.0,9.0,10.0,9.0,7.0,20.0,5.0,7.0,6.0,12.0,9.0,7.0,6.0,11.0,11.0,9.0,8.0,11.0,13.0
minister,8.0,14.0,11.0,12.0,11.0,6.0,12.0,8.0,10.0,13.0,11.0,12.0,7.0,8.0,10.0,6.0,5.0,20.0,7.0,11.0,9.0,6.0,10.0,13.0,12.0,8.0,10.0,8.0,4.0,9.0
opvoedster,8.0,12.0,8.0,9.0,7.0,9.0,7.0,7.0,11.0,11.0,12.0,5.0,7.0,11.0,16.0,9.0,7.0,7.0,20.0,9.0,12.0,11.0,12.0,9.0,8.0,7.0,10.0,11.0,8.0,8.0
piloot,10.0,13.0,11.0,9.0,13.0,8.0,8.0,6.0,8.0,11.0,13.0,11.0,10.0,7.0,10.0,6.0,6.0,11.0,9.0,20.0,12.0,10.0,12.0,11.0,10.0,8.0,17.0,10.0,5.0,6.0
politieagent,10.0,13.0,10.0,9.0,8.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,9.0,12.0,12.0,20.0,12.0,9.0,11.0,9.0,10.0,9.0,9.0,6.0,6.0
postbode,11.0,8.0,9.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,7.0,8.0,7.0,10.0,9.0,12.0,9.0,6.0,11.0,10.0,12.0,20.0,8.0,5.0,8.0,10.0,7.0,9.0,11.0,9.0
psycholoog,9.0,14.0,13.0,8.0,13.0,9.0,12.0,9.0,13.0,12.0,14.0,13.0,14.0,8.0,13.0,7.0,7.0,10.0,12.0,12.0,9.0,8.0,20.0,12.0,11.0,9.0,7.0,12.0,7.0,8.0
rechter,7.0,14.0,10.0,13.0,13.0,6.0,12.0,8.0,12.0,11.0,11.0,11.0,9.0,9.0,8.0,7.0,6.0,13.0,9.0,11.0,11.0,5.0,12.0,20.0,10.0,8.0,8.0,9.0,4.0,6.0
secretaresse,9.0,11.0,11.0,8.0,9.0,8.0,14.0,8.0,8.0,12.0,11.0,11.0,9.0,8.0,11.0,9.0,11.0,12.0,8.0,10.0,9.0,8.0,11.0,10.0,20.0,9.0,12.0,8.0,7.0,11.0
slager,10.0,6.0,9.0,8.0,9.0,12.0,8.0,9.0,12.0,9.0,10.0,7.0,6.0,12.0,11.0,9.0,11.0,8.0,7.0,8.0,10.0,10.0,9.0,8.0,9.0,20.0,8.0,10.0,10.0,12.0
stewardess,9.0,9.0,10.0,11.0,7.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,10.0,17.0,9.0,7.0,7.0,8.0,12.0,8.0,20.0,10.0,8.0,8.0
tandarts,8.0,11.0,14.0,8.0,11.0,12.0,10.0,8.0,14.0,11.0,14.0,13.0,12.0,14.0,10.0,7.0,8.0,8.0,11.0,10.0,9.0,9.0,12.0,9.0,8.0,10.0,10.0,20.0,5.0,10.0
vuilnisman,10.0,4.0,6.0,9.0,4.0,9.0,8.0,12.0,7.0,5.0,7.0,4.0,8.0,8.0,9.0,12.0,11.0,4.0,8.0,5.0,6.0,11.0,7.0,4.0,7.0,10.0,8.0,5.0,20.0,8.0
winkelbediende,9.0,7.0,13.0,10.0,8.0,14.0,10.0,6.0,9.0,10.0,8.0,7.0,6.0,11.0,8.0,10.0,13.0,9.0,8.0,6.0,6.0,9.0,8.0,6.0,11.0,12.0,8.0,10.0,8.0,20.0
