exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
dokter,6.0,13.0,13.0,4.0,7.0,2.0,7.0,9.0,17.0,8.0,20.0,4.0,17.0,15.0,9.0,8.0,7.0,5.0,6.0,4.0,4.0,5.0,11.0,10.0,2.0,4.0,4.0,17.0,5.0,6.0
informaticus,4.0,14.0,4.0,7.0,6.0,8.0,12.0,3.0,4.0,9.0,4.0,20.0,8.0,7.0,5.0,8.0,4.0,4.0,8.0,6.0,3.0,8.0,4.0,3.0,7.0,6.0,4.0,5.0,7.0,5.0
kinesist,5.0,7.0,15.0,4.0,5.0,4.0,8.0,5.0,9.0,11.0,17.0,8.0,20.0,4.0,9.0,13.0,4.0,4.0,7.0,5.0,8.0,4.0,12.0,4.0,2.0,7.0,7.0,11.0,8.0,3.0
kok,10.0,4.0,5.0,6.0,4.0,13.0,4.0,6.0,4.0,7.0,15.0,7.0,4.0,20.0,7.0,5.0,3.0,6.0,4.0,4.0,4.0,11.0,4.0,2.0,4.0,12.0,8.0,7.0,4.0,4.0
leraar,6.0,14.0,8.0,6.0,4.0,2.0,8.0,7.0,4.0,15.0,9.0,5.0,9.0,7.0,20.0,4.0,7.0,7.0,12.0,4.0,5.0,7.0,14.0,8.0,11.0,6.0,10.0,7.0,4.0,3.0
loodgieter,4.0,8.0,6.0,8.0,9.0,7.0,3.0,3.0,4.0,2.0,8.0,8.0,13.0,5.0,4.0,20.0,8.0,7.0,5.0,6.0,4.0,3.0,7.0,4.0,5.0,8.0,4.0,7.0,4.0,4.0
marktkramer,7.0,3.0,4.0,4.0,5.0,6.0,5.0,2.0,7.0,2.0,7.0,4.0,4.0,3.0,7.0,8.0,20.0,13.0,4.0,3.0,7.0,5.0,4.0,3.0,3.0,9.0,12.0,3.0,5.0,16.0
minister,13.0,11.0,4.0,5.0,9.0,4.0,13.0,5.0,1.0,13.0,5.0,4.0,4.0,6.0,7.0,7.0,13.0,20.0,6.0,4.0,6.0,4.0,1.0,9.0,3.0,2.0,7.0,4.0,5.0,5.0
opvoedster,9.0,4.0,9.0,9.0,6.0,7.0,6.0,5.0,5.0,11.0,6.0,8.0,7.0,4.0,12.0,5.0,4.0,6.0,20.0,14.0,4.0,8.0,16.0,2.0,8.0,4.0,3.0,6.0,4.0,7.0
piloot,7.0,2.0,4.0,2.0,2.0,4.0,8.0,8.0,4.0,9.0,4.0,6.0,5.0,4.0,4.0,6.0,3.0,4.0,14.0,20.0,10.0,4.0,1.0,4.0,4.0,2.0,17.0,4.0,6.0,4.0
politieagent,4.0,4.0,4.0,5.0,4.0,4.0,5.0,15.0,2.0,4.0,4.0,3.0,8.0,4.0,5.0,4.0,7.0,6.0,4.0,10.0,20.0,3.0,2.0,11.0,2.0,2.0,5.0,5.0,4.0,5.0
postbode,4.0,4.0,6.0,5.0,4.0,6.0,16.0,4.0,7.0,5.0,5.0,8.0,4.0,11.0,7.0,3.0,5.0,4.0,8.0,4.0,3.0,20.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,7.0
psycholoog,7.0,8.0,5.0,12.0,4.0,4.0,5.0,6.0,8.0,8.0,11.0,4.0,12.0,4.0,14.0,7.0,4.0,1.0,16.0,1.0,2.0,4.0,20.0,3.0,8.0,2.0,8.0,6.0,4.0,3.0
rechter,7.0,18.0,6.0,4.0,5.0,3.0,12.0,7.0,7.0,7.0,10.0,3.0,4.0,2.0,8.0,4.0,3.0,9.0,2.0,4.0,11.0,3.0,3.0,20.0,9.0,6.0,3.0,4.0,8.0,6.0
secretaresse,7.0,7.0,8.0,4.0,7.0,4.0,14.0,7.0,4.0,14.0,2.0,7.0,2.0,4.0,11.0,5.0,3.0,3.0,8.0,4.0,2.0,4.0,8.0,9.0,20.0,4.0,13.0,3.0,4.0,11.0
slager,4.0,4.0,8.0,4.0,6.0,14.0,6.0,6.0,11.0,1.0,4.0,6.0,7.0,12.0,6.0,8.0,9.0,2.0,4.0,2.0,2.0,5.0,2.0,6.0,4.0,20.0,4.0,5.0,2.0,9.0
stewardess,11.0,6.0,4.0,4.0,4.0,7.0,7.0,8.0,2.0,6.0,4.0,4.0,7.0,8.0,10.0,4.0,12.0,7.0,3.0,17.0,5.0,5.0,8.0,3.0,13.0,4.0,20.0,4.0,4.0,8.0
tandarts,4.0,7.0,17.0,2.0,6.0,4.0,2.0,8.0,7.0,2.0,17.0,5.0,11.0,7.0,7.0,7.0,3.0,4.0,6.0,4.0,5.0,3.0,6.0,4.0,3.0,5.0,4.0,20.0,4.0,7.0
vuilnisman,5.0,4.0,4.0,7.0,4.0,4.0,4.0,8.0,4.0,4.0,5.0,7.0,8.0,4.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,4.0,8.0,4.0,2.0,4.0,4.0,20.0,7.0
winkelbediende,7.0,4.0,1.0,6.0,3.0,12.0,9.0,12.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,4.0,16.0,5.0,7.0,4.0,5.0,7.0,3.0,6.0,11.0,9.0,8.0,7.0,7.0,20.0
