exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
rugby,7.0,6.0,16.0,7.0,4.0,12.0,6.0,16.0,15.0,10.0,12.0,15.0,4.0,20.0,1.0,5.0,4.0,1.0,8.0,4.0,4.0,6.0,7.0,11.0,10.0,10.0,11.0,7.0,6.0,10.0
schaken,2.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,20.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,5.0
schermen,6.0,1.0,4.0,4.0,3.0,14.0,3.0,4.0,2.0,12.0,10.0,4.0,2.0,5.0,6.0,20.0,1.0,2.0,5.0,12.0,1.0,9.0,10.0,6.0,4.0,3.0,4.0,1.0,12.0,3.0
skiën,1.0,7.0,1.0,1.0,2.0,1.0,3.0,1.0,10.0,7.0,1.0,1.0,8.0,4.0,1.0,1.0,20.0,2.0,2.0,13.0,1.0,1.0,7.0,6.0,3.0,1.0,7.0,11.0,10.0,3.0
sportvissen,1.0,3.0,1.0,1.0,6.0,2.0,3.0,1.0,6.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,2.0,20.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,4.0,5.0
squash,16.0,1.0,13.0,10.0,9.0,6.0,10.0,10.0,10.0,13.0,2.0,10.0,1.0,8.0,2.0,5.0,2.0,5.0,20.0,1.0,15.0,15.0,6.0,9.0,8.0,4.0,10.0,3.0,5.0,1.0
surfen,4.0,11.0,5.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,7.0,4.0,1.0,12.0,13.0,4.0,1.0,20.0,7.0,4.0,12.0,12.0,7.0,4.0,6.0,4.0,14.0,10.0
tafeltennis,13.0,1.0,7.0,6.0,8.0,4.0,10.0,4.0,2.0,7.0,4.0,5.0,6.0,4.0,2.0,1.0,1.0,3.0,15.0,7.0,20.0,15.0,4.0,4.0,1.0,5.0,8.0,1.0,3.0,1.0
tennis,17.0,4.0,3.0,4.0,6.0,6.0,5.0,4.0,3.0,1.0,5.0,7.0,1.0,6.0,2.0,9.0,1.0,1.0,15.0,4.0,15.0,20.0,4.0,7.0,1.0,6.0,7.0,1.0,4.0,7.0
turnen,4.0,16.0,12.0,4.0,4.0,2.0,10.0,4.0,10.0,5.0,10.0,5.0,2.0,7.0,1.0,10.0,7.0,1.0,6.0,12.0,4.0,4.0,20.0,12.0,2.0,5.0,13.0,1.0,4.0,4.0
verspringen,4.0,11.0,3.0,3.0,3.0,6.0,5.0,9.0,13.0,4.0,5.0,13.0,9.0,11.0,1.0,6.0,6.0,1.0,9.0,12.0,4.0,7.0,12.0,20.0,12.0,2.0,13.0,5.0,6.0,3.0
voetbal,6.0,5.0,10.0,8.0,8.0,2.0,11.0,15.0,12.0,12.0,5.0,8.0,1.0,10.0,1.0,4.0,3.0,1.0,8.0,7.0,1.0,1.0,2.0,12.0,20.0,5.0,6.0,3.0,1.0,1.0
volleybal,12.0,10.0,5.0,10.0,5.0,11.0,3.0,9.0,4.0,7.0,2.0,5.0,1.0,10.0,2.0,3.0,1.0,1.0,4.0,4.0,5.0,6.0,5.0,2.0,5.0,20.0,3.0,6.0,1.0,1.0
wandelen,8.0,10.0,4.0,2.0,7.0,8.0,13.0,13.0,18.0,12.0,4.0,11.0,10.0,11.0,6.0,4.0,7.0,7.0,10.0,6.0,8.0,7.0,13.0,13.0,6.0,3.0,20.0,9.0,13.0,13.0
wielrennen,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,14.0,3.0,2.0,1.0,2.0,7.0,1.0,1.0,11.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,3.0,6.0,9.0,20.0,3.0,1.0
zeilen,1.0,3.0,3.0,4.0,1.0,1.0,4.0,3.0,8.0,1.0,2.0,1.0,8.0,6.0,1.0,12.0,10.0,4.0,5.0,14.0,3.0,4.0,4.0,6.0,1.0,1.0,13.0,3.0,20.0,2.0
zwemmen,1.0,12.0,1.0,1.0,3.0,2.0,4.0,4.0,10.0,2.0,1.0,1.0,1.0,10.0,5.0,3.0,3.0,5.0,1.0,10.0,1.0,7.0,4.0,3.0,1.0,1.0,13.0,1.0,2.0,20.0
