exemplar,ant,bee,beetle,bumblebee,butterfly,caterpillar,centipede,cockchafer,cockroach,cricket,dragonfly,earwig,flee,fly,fruit fly,grasshopper,horsefly,ladybug,leech,louse,mosquito,moth,spider,wasp,wood louse,worm
grasshopper,15.0,15.0,16.0,15.0,15.0,15.0,16.0,16.0,16.0,19.0,16.0,17.0,17.0,16.0,14.0,20.0,16.0,15.0,16.0,15.0,16.0,15.0,16.0,15.0,16.0,15.0
horsefly,16.0,17.0,16.0,17.0,17.0,15.0,15.0,16.0,14.0,14.0,17.0,16.0,17.0,17.0,17.0,16.0,20.0,16.0,14.0,16.0,17.0,15.0,14.0,17.0,15.0,14.0
ladybug,15.0,16.0,14.0,15.0,16.0,15.0,16.0,17.0,14.0,16.0,17.0,14.0,16.0,17.0,16.0,15.0,16.0,20.0,14.0,16.0,16.0,16.0,15.0,15.0,16.0,14.0
leech,15.0,12.0,16.0,13.0,15.0,16.0,16.0,16.0,17.0,16.0,15.0,16.0,17.0,15.0,14.0,16.0,14.0,14.0,20.0,17.0,14.0,14.0,17.0,14.0,17.0,16.0
louse,17.0,15.0,15.0,15.0,14.0,15.0,16.0,16.0,16.0,16.0,15.0,15.0,19.0,16.0,16.0,15.0,16.0,16.0,17.0,20.0,16.0,16.0,15.0,16.0,16.0,14.0
mosquito,14.0,17.0,14.0,16.0,17.0,16.0,14.0,14.0,15.0,16.0,18.0,14.0,17.0,17.0,17.0,16.0,17.0,16.0,14.0,16.0,20.0,16.0,14.0,16.0,15.0,14.0
moth,15.0,16.0,15.0,17.0,17.0,14.0,14.0,16.0,15.0,15.0,17.0,14.0,16.0,17.0,16.0,15.0,15.0,16.0,14.0,16.0,16.0,20.0,14.0,16.0,15.0,14.0
spider,16.0,15.0,15.0,14.0,14.0,16.0,16.0,16.0,17.0,15.0,16.0,16.0,15.0,15.0,16.0,16.0,14.0,15.0,17.0,15.0,14.0,14.0,20.0,14.0,17.0,16.0
wasp,14.0,17.0,15.0,18.0,17.0,15.0,14.0,16.0,14.0,14.0,17.0,15.0,16.0,17.0,17.0,15.0,17.0,15.0,14.0,16.0,16.0,16.0,14.0,20.0,14.0,14.0
wood louse,16.0,14.0,17.0,15.0,14.0,16.0,17.0,16.0,17.0,16.0,14.0,18.0,15.0,15.0,14.0,16.0,15.0,16.0,17.0,16.0,15.0,15.0,17.0,14.0,20.0,16.0
worm,14.0,15.0,14.0,13.0,15.0,18.0,18.0,15.0,12.0,16.0,13.0,16.0,15.0,14.0,14.0,15.0,14.0,14.0,16.0,14.0,14.0,14.0,16.0,14.0,16.0,20.0
