exemplar,blackbird,canary,chickadee,chicken,crow,cuckoo,dove,duck,eagle,falcon,heron,magpie,ostrich,owl,parakeet,parrot,peacock,pelican,penguin,pheasant,robin,rooster,seagull,sparrow,stork,swallow,swan,turkey,vulture,woodpecker
pheasant,7.0,6.0,7.0,16.0,7.0,11.0,14.0,17.0,7.0,5.0,7.0,7.0,16.0,14.0,9.0,6.0,16.0,7.0,2.0,20.0,5.0,16.0,7.0,7.0,7.0,8.0,13.0,15.0,14.0,9.0
robin,16.0,14.0,16.0,13.0,6.0,12.0,12.0,9.0,6.0,12.0,5.0,13.0,6.0,13.0,16.0,11.0,13.0,3.0,13.0,5.0,20.0,6.0,10.0,16.0,12.0,6.0,8.0,14.0,8.0,12.0
rooster,6.0,8.0,7.0,19.0,7.0,15.0,8.0,16.0,13.0,8.0,6.0,9.0,16.0,12.0,14.0,14.0,17.0,7.0,6.0,16.0,6.0,20.0,7.0,6.0,6.0,7.0,13.0,16.0,13.0,11.0
seagull,7.0,5.0,7.0,7.0,12.0,7.0,6.0,5.0,5.0,10.0,11.0,14.0,5.0,4.0,6.0,6.0,8.0,5.0,11.0,7.0,10.0,7.0,20.0,7.0,9.0,17.0,6.0,8.0,4.0,13.0
sparrow,17.0,14.0,16.0,7.0,14.0,12.0,14.0,8.0,6.0,12.0,4.0,15.0,5.0,12.0,14.0,11.0,6.0,6.0,4.0,7.0,16.0,6.0,7.0,20.0,7.0,7.0,4.0,7.0,3.0,7.0
stork,11.0,5.0,6.0,4.0,4.0,8.0,12.0,6.0,9.0,9.0,17.0,7.0,13.0,13.0,4.0,13.0,6.0,15.0,10.0,7.0,12.0,6.0,9.0,7.0,20.0,15.0,14.0,9.0,12.0,8.0
swallow,6.0,5.0,6.0,8.0,11.0,4.0,14.0,6.0,9.0,8.0,15.0,7.0,12.0,11.0,6.0,10.0,9.0,13.0,7.0,8.0,6.0,7.0,17.0,7.0,15.0,20.0,8.0,5.0,11.0,12.0
swan,8.0,4.0,9.0,14.0,5.0,7.0,5.0,17.0,8.0,8.0,11.0,6.0,14.0,6.0,8.0,8.0,14.0,14.0,4.0,13.0,8.0,13.0,6.0,4.0,14.0,8.0,20.0,8.0,8.0,5.0
turkey,6.0,6.0,9.0,18.0,7.0,9.0,14.0,15.0,6.0,6.0,9.0,12.0,15.0,12.0,7.0,10.0,16.0,6.0,13.0,15.0,14.0,16.0,8.0,7.0,9.0,5.0,8.0,20.0,12.0,9.0
vulture,5.0,3.0,4.0,5.0,12.0,12.0,4.0,4.0,16.0,12.0,17.0,12.0,12.0,14.0,5.0,12.0,11.0,14.0,5.0,14.0,8.0,13.0,4.0,3.0,12.0,11.0,8.0,12.0,20.0,10.0
woodpecker,8.0,11.0,14.0,8.0,15.0,15.0,7.0,7.0,11.0,14.0,6.0,13.0,10.0,16.0,5.0,14.0,7.0,4.0,3.0,9.0,12.0,11.0,13.0,7.0,8.0,12.0,5.0,9.0,10.0,20.0
