exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
kervel,0.27142857142857146,0.30357142857142855,0.35714285714285715,0.33571428571428574,0.42857142857142855,0.32142857142857145,0.3392857142857143,0.29642857142857143,0.30357142857142855,0.37142857142857144,0.43928571428571433,1.0,0.31785714285714284,0.28214285714285714,0.35357142857142854,0.32142857142857145,0.5428571428571429,0.42857142857142855,0.36428571428571427,0.29642857142857143,0.3730769230769231,0.5038461538461538,0.49615384615384617,0.4769230769230769,0.3923076923076923,0.36923076923076925,0.5692307692307692,0.3923076923076923,0.35833333333333334,0.4115384615384615
komkommer,0.3464285714285714,0.31785714285714284,0.39642857142857146,0.575,0.6071428571428571,0.3464285714285714,0.31785714285714284,0.4321428571428571,0.2642857142857143,0.7071428571428571,0.4142857142857143,0.31785714285714284,1.0,0.2642857142857143,0.39285714285714285,0.3678571428571428,0.35714285714285715,0.4892857142857143,0.31785714285714284,0.3321428571428572,0.36538461538461536,0.4461538461538462,0.4461538461538462,0.33076923076923076,0.34615384615384615,0.3576923076923077,0.35,0.43461538461538457,0.32916666666666666,0.36923076923076925
look,0.31785714285714284,0.6285714285714286,0.32142857142857145,0.35714285714285715,0.28928571428571426,0.3392857142857143,0.25357142857142856,0.35,0.425,0.3107142857142857,0.275,0.28214285714285714,0.2642857142857143,1.0,0.27142857142857146,0.3678571428571428,0.35,0.30357142857142855,0.325,0.28214285714285714,0.31153846153846154,0.3,0.3,0.33461538461538465,0.36923076923076925,0.33461538461538465,0.43076923076923074,0.3423076923076923,0.425,0.3
maïs,0.3678571428571428,0.3107142857142857,0.3321428571428572,0.3107142857142857,0.36428571428571427,0.4892857142857143,0.35357142857142854,0.39642857142857146,0.3107142857142857,0.32142857142857145,0.6035714285714285,0.35357142857142854,0.39285714285714285,0.27142857142857146,1.0,0.3107142857142857,0.2857142857142857,0.34285714285714286,0.3607142857142857,0.3392857142857143,0.36923076923076925,0.29615384615384616,0.2653846153846154,0.25384615384615383,0.38076923076923075,0.3730769230769231,0.38846153846153847,0.3730769230769231,0.3625,0.33461538461538465
paprika,0.37142857142857144,0.3607142857142857,0.28928571428571426,0.4821428571428571,0.4107142857142857,0.42857142857142855,0.35,0.37857142857142856,0.30714285714285716,0.42142857142857143,0.2571428571428572,0.32142857142857145,0.3678571428571428,0.3678571428571428,0.3107142857142857,1.0,0.2571428571428572,0.39642857142857146,0.3464285714285714,0.33571428571428574,0.3730769230769231,0.4,0.33461538461538465,0.3230769230769231,0.33461538461538465,0.5230769230769231,0.3576923076923077,0.3230769230769231,0.29583333333333334,0.3923076923076923
peterselie,0.2785714285714286,0.3678571428571428,0.36428571428571427,0.26071428571428573,0.33571428571428574,0.35,0.26071428571428573,0.30714285714285716,0.275,0.34285714285714286,0.3392857142857143,0.5428571428571429,0.35714285714285715,0.35,0.2857142857142857,0.2571428571428572,1.0,0.42857142857142855,0.37857142857142856,0.24642857142857144,0.31923076923076926,0.5038461538461538,0.4384615384615385,0.45,0.38461538461538464,0.28076923076923077,0.5346153846153846,0.3,0.3,0.36538461538461536
prei,0.35357142857142854,0.4107142857142857,0.5071428571428571,0.38571428571428573,0.3464285714285714,0.4,0.375,0.38571428571428573,0.275,0.4821428571428571,0.375,0.42857142857142855,0.4892857142857143,0.30357142857142855,0.34285714285714286,0.39642857142857146,0.42857142857142855,1.0,0.35714285714285715,0.3,0.45384615384615384,0.6115384615384615,0.4115384615384615,0.4076923076923077,0.43076923076923074,0.29615384615384616,0.3423076923076923,0.3961538461538462,0.375,0.3961538461538462
radijs,0.39,0.3466666666666667,0.35333333333333333,0.3566666666666667,0.39,0.5766666666666667,0.38333333333333336,0.32,0.4,0.3466666666666667,0.3433333333333333,0.36428571428571427,0.31785714285714284,0.325,0.3607142857142857,0.3464285714285714,0.37857142857142856,0.35714285714285715,1.0,0.37142857142857144,0.3923076923076923,0.3923076923076923,0.36538461538461536,0.3384615384615385,0.4807692307692307,0.5,0.46923076923076923,0.3538461538461538,0.37083333333333335,0.5192307692307693
rode kool,0.33571428571428574,0.30357142857142855,0.2571428571428572,0.3821428571428572,0.36428571428571427,0.5464285714285715,0.575,0.32142857142857145,0.2571428571428572,0.35714285714285715,0.28214285714285714,0.29642857142857143,0.3321428571428572,0.28214285714285714,0.3392857142857143,0.33571428571428574,0.24642857142857144,0.3,0.37142857142857144,1.0,0.3769230769230769,0.31923076923076926,0.3576923076923077,0.35,0.41923076923076924,0.38076923076923075,0.3384615384615385,0.4076923076923077,0.6583333333333333,0.3576923076923077
schorseneren,0.3730769230769231,0.3576923076923077,0.5961538461538461,0.3923076923076923,0.46923076923076923,0.4115384615384615,0.38076923076923075,0.4153846153846154,0.34615384615384615,0.4230769230769231,0.3230769230769231,0.3730769230769231,0.36538461538461536,0.31153846153846154,0.36923076923076925,0.3730769230769231,0.31923076923076926,0.45384615384615384,0.3923076923076923,0.3769230769230769,1.0,0.43076923076923074,0.26153846153846155,0.3038461538461538,0.38846153846153847,0.4,0.3384615384615385,0.43461538461538457,0.4458333333333333,0.4076923076923077
selder,0.36538461538461536,0.49230769230769234,0.43076923076923074,0.3384615384615385,0.3538461538461538,0.3769230769230769,0.3538461538461538,0.3538461538461538,0.3153846153846154,0.41923076923076924,0.3269230769230769,0.5038461538461538,0.4461538461538462,0.3,0.29615384615384616,0.4,0.5038461538461538,0.6115384615384615,0.3923076923076923,0.31923076923076926,0.43076923076923074,1.0,0.46923076923076923,0.4230769230769231,0.40384615384615385,0.3538461538461538,0.4384615384615385,0.4,0.475,0.44230769230769235
sla,0.3269230769230769,0.31153846153846154,0.3,0.3538461538461538,0.36923076923076925,0.3384615384615385,0.4384615384615385,0.3961538461538462,0.28076923076923077,0.3423076923076923,0.36153846153846153,0.49615384615384617,0.4461538461538462,0.3,0.2653846153846154,0.33461538461538465,0.4384615384615385,0.4115384615384615,0.36538461538461536,0.3576923076923077,0.26153846153846155,0.46923076923076923,1.0,0.5615384615384615,0.45,0.33461538461538465,0.5538461538461539,0.38846153846153847,0.4916666666666667,0.3153846153846154
spinazie,0.2653846153846154,0.28846153846153844,0.28076923076923077,0.3269230769230769,0.3769230769230769,0.3076923076923077,0.34615384615384615,0.4653846153846154,0.38461538461538464,0.3076923076923077,0.38461538461538464,0.4769230769230769,0.33076923076923076,0.33461538461538465,0.25384615384615383,0.3230769230769231,0.45,0.4076923076923077,0.3384615384615385,0.35,0.3038461538461538,0.4230769230769231,0.5615384615384615,1.0,0.43461538461538457,0.25384615384615383,0.45384615384615384,0.3,0.37916666666666665,0.3230769230769231
spruiten,0.3384615384615385,0.36923076923076925,0.48461538461538456,0.38076923076923075,0.4807692307692307,0.3538461538461538,0.43076923076923074,0.4230769230769231,0.38076923076923075,0.3961538461538462,0.5653846153846154,0.3923076923076923,0.34615384615384615,0.36923076923076925,0.38076923076923075,0.33461538461538465,0.38461538461538464,0.43076923076923074,0.4807692307692307,0.41923076923076924,0.38846153846153847,0.40384615384615385,0.45,0.43461538461538457,1.0,0.4076923076923077,0.33076923076923076,0.4076923076923077,0.5375,0.38846153846153847
tomaat,0.3730769230769231,0.38076923076923075,0.29615384615384616,0.3730769230769231,0.3538461538461538,0.38461538461538464,0.28846153846153844,0.3961538461538462,0.4076923076923077,0.4,0.33076923076923076,0.36923076923076925,0.3576923076923077,0.33461538461538465,0.3730769230769231,0.5230769230769231,0.28076923076923077,0.29615384615384616,0.5,0.38076923076923075,0.4,0.3538461538461538,0.33461538461538465,0.25384615384615383,0.4076923076923077,1.0,0.3769230769230769,0.3730769230769231,0.4,0.33076923076923076
waterkers,0.2692307692307693,0.3384615384615385,0.29615384615384616,0.2846153846153846,0.3,0.3576923076923077,0.2692307692307693,0.29230769230769227,0.29615384615384616,0.3730769230769231,0.38846153846153847,0.5692307692307692,0.35,0.43076923076923074,0.38846153846153847,0.3576923076923077,0.5346153846153846,0.3423076923076923,0.46923076923076923,0.3384615384615385,0.3384615384615385,0.4384615384615385,0.5538461538461539,0.45384615384615384,0.33076923076923076,0.3769230769230769,1.0,0.45,0.31666666666666665,0.33461538461538465
witloof,0.36538461538461536,0.4269230769230769,0.4461538461538462,0.33461538461538465,0.35,0.40384615384615385,0.4076923076923077,0.3076923076923077,0.33461538461538465,0.4461538461538462,0.3384615384615385,0.3923076923076923,0.43461538461538457,0.3423076923076923,0.3730769230769231,0.3230769230769231,0.3,0.3961538461538462,0.3538461538461538,0.4076923076923077,0.43461538461538457,0.4,0.38846153846153847,0.3,0.4076923076923077,0.3730769230769231,0.45,1.0,0.4416666666666667,0.36923076923076925
witte kool,0.4041666666666667,0.375,0.4291666666666667,0.39166666666666666,0.4041666666666667,0.4958333333333333,0.6666666666666667,0.375,0.4083333333333333,0.32916666666666666,0.35833333333333334,0.35833333333333334,0.32916666666666666,0.425,0.3625,0.29583333333333334,0.3,0.375,0.37083333333333335,0.6583333333333333,0.4458333333333333,0.475,0.4916666666666667,0.37916666666666665,0.5375,0.4,0.31666666666666665,0.4416666666666667,1.0,0.3416666666666667
wortel,0.38461538461538464,0.36923076923076925,0.49615384615384617,0.35,0.4269230769230769,0.5076923076923077,0.3384615384615385,0.3961538461538462,0.3076923076923077,0.3730769230769231,0.41923076923076924,0.4115384615384615,0.36923076923076925,0.3,0.33461538461538465,0.3923076923076923,0.36538461538461536,0.3961538461538462,0.5192307692307693,0.3576923076923077,0.4076923076923077,0.44230769230769235,0.3153846153846154,0.3230769230769231,0.38846153846153847,0.33076923076923076,0.33461538461538465,0.36923076923076925,0.3416666666666667,1.0
