exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
grinding disc,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,8.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
hammer,3.0,3.0,4.0,4.0,3.0,,7.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0
knife,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
lawn mower,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0
level,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0
nail,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0,4.0,4.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
oil can,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
paint brush,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,20.0,3.0,3.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,10.0,3.0
pickaxe,3.0,3.0,8.0,6.0,3.0,8.0,8.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,20.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
plane,3.0,3.0,3.0,,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,20.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
plough,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
rope,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
saw,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,8.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,20.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
screwdriver,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,3.0,20.0,3.0,4.0,3.0,3.0,3.0,
shovel,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,20.0,2.0,3.0,3.0,3.0,3.0
tongs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,4.0,2.0,20.0,3.0,3.0,3.0,
vacuum cleaner,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,20.0,4.0,3.0,3.0
wheelbarrow,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,4.0,20.0,3.0,3.0
wire brush,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,3.0
wrench,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,,3.0,3.0,3.0,20.0
