exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
grinding disc,5.0,11.0,4.0,8.0,6.0,7.0,5.0,5.0,8.0,6.0,20.0,5.0,7.0,9.0,4.0,5.0,4.0,1.0,5.0,7.0,6.0,3.0,7.0,4.0,7.0,5.0,4.0,6.0,,5.0
hammer,6.0,14.0,7.0,8.0,6.0,7.0,8.0,7.0,8.0,3.0,5.0,20.0,6.0,3.0,2.0,5.0,4.0,1.0,6.0,5.0,3.0,2.0,8.0,9.0,4.0,4.0,5.0,5.0,,5.0
knife,7.0,4.0,6.0,8.0,5.0,9.0,6.0,4.0,12.0,11.0,7.0,6.0,20.0,5.0,4.0,6.0,1.0,4.0,6.0,13.0,5.0,3.0,10.0,8.0,3.0,5.0,3.0,5.0,,10.0
lawn mower,4.0,6.0,5.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,9.0,3.0,5.0,20.0,5.0,3.0,4.0,4.0,5.0,7.0,13.0,2.0,9.0,3.0,5.0,4.0,7.0,6.0,,7.0
level,5.0,6.0,2.0,5.0,6.0,5.0,4.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,20.0,4.0,5.0,6.0,2.0,6.0,2.0,1.0,1.0,5.0,4.0,6.0,2.0,3.0,,4.0
nail,7.0,6.0,3.0,9.0,4.0,5.0,2.0,4.0,7.0,3.0,5.0,5.0,6.0,3.0,4.0,20.0,2.0,2.0,5.0,8.0,3.0,2.0,4.0,11.0,4.0,4.0,3.0,3.0,,8.0
oil can,3.0,4.0,3.0,4.0,2.0,4.0,4.0,6.0,3.0,3.0,4.0,4.0,1.0,4.0,5.0,2.0,20.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,,5.0
paint brush,3.0,2.0,3.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,6.0,2.0,3.0,20.0,3.0,3.0,1.0,7.0,2.0,6.0,3.0,4.0,1.0,3.0,,4.0
pickaxe,6.0,3.0,12.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,3.0,20.0,5.0,7.0,4.0,4.0,4.0,7.0,5.0,3.0,5.0,,6.0
plane,6.0,6.0,5.0,9.0,4.0,7.0,6.0,5.0,15.0,11.0,7.0,5.0,13.0,7.0,6.0,8.0,4.0,3.0,5.0,20.0,3.0,2.0,8.0,6.0,5.0,6.0,5.0,4.0,,6.0
plough,4.0,4.0,6.0,6.0,4.0,5.0,7.0,7.0,4.0,3.0,6.0,3.0,5.0,13.0,2.0,3.0,3.0,1.0,7.0,3.0,20.0,3.0,4.0,4.0,11.0,5.0,7.0,7.0,,5.0
rope,2.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,7.0,4.0,2.0,3.0,20.0,2.0,1.0,2.0,1.0,3.0,3.0,,3.0
saw,5.0,5.0,8.0,4.0,4.0,4.0,6.0,5.0,8.0,7.0,7.0,8.0,10.0,9.0,1.0,4.0,3.0,2.0,4.0,8.0,4.0,2.0,20.0,6.0,5.0,5.0,4.0,5.0,,4.0
screwdriver,6.0,3.0,4.0,8.0,6.0,6.0,7.0,6.0,6.0,5.0,4.0,9.0,8.0,3.0,5.0,11.0,2.0,6.0,4.0,6.0,4.0,1.0,6.0,20.0,4.0,7.0,5.0,3.0,,8.0
shovel,5.0,5.0,7.0,5.0,5.0,7.0,6.0,4.0,5.0,8.0,7.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,7.0,5.0,11.0,2.0,5.0,4.0,20.0,4.0,5.0,6.0,,5.0
tongs,5.0,5.0,5.0,5.0,8.0,6.0,5.0,5.0,8.0,4.0,5.0,4.0,5.0,4.0,6.0,4.0,3.0,4.0,5.0,6.0,5.0,1.0,5.0,7.0,4.0,20.0,5.0,3.0,,6.0
vacuum cleaner,5.0,2.0,5.0,2.0,5.0,6.0,5.0,6.0,1.0,3.0,4.0,5.0,3.0,7.0,2.0,3.0,4.0,1.0,3.0,5.0,7.0,3.0,4.0,5.0,5.0,5.0,20.0,6.0,,5.0
wheelbarrow,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,4.0,6.0,5.0,5.0,6.0,3.0,3.0,2.0,3.0,5.0,4.0,7.0,3.0,5.0,3.0,6.0,3.0,6.0,20.0,,5.0
wire brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wrench,12.0,3.0,5.0,6.0,5.0,7.0,13.0,5.0,10.0,5.0,5.0,5.0,10.0,7.0,4.0,8.0,5.0,4.0,6.0,6.0,5.0,3.0,4.0,8.0,5.0,6.0,5.0,5.0,,20.0
