exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
oil can,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
paint brush,,1.0,5.0,7.0,,,1.0,1.0,13.0,,1.0,6.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,12.0,
pickaxe,,1.0,16.0,11.0,,,15.0,6.0,11.0,,4.0,14.0,6.0,1.0,5.0,9.0,1.0,1.0,20.0,1.0,9.0,1.0,4.0,8.0,8.0,2.0,1.0,1.0,3.0,
plane,,,,,,,,,,,,,,,,1.0,,,1.0,20.0,,1.0,,,,,,,,
plough,,1.0,5.0,4.0,,,3.0,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,9.0,,20.0,1.0,8.0,2.0,1.0,2.0,1.0,1.0,4.0,
rope,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
saw,,1.0,12.0,6.0,,,5.0,4.0,8.0,,13.0,3.0,15.0,1.0,5.0,4.0,1.0,1.0,4.0,,8.0,1.0,20.0,2.0,2.0,3.0,1.0,1.0,10.0,
screwdriver,,4.0,2.0,7.0,,,10.0,8.0,15.0,,1.0,8.0,13.0,1.0,1.0,13.0,1.0,5.0,8.0,,2.0,1.0,2.0,20.0,1.0,5.0,1.0,1.0,3.0,
shovel,,4.0,10.0,11.0,,,9.0,4.0,7.0,,10.0,8.0,1.0,1.0,1.0,3.0,1.0,3.0,8.0,,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,3.0,
tongs,,1.0,3.0,9.0,,,13.0,1.0,2.0,,1.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,3.0,5.0,1.0,20.0,1.0,1.0,4.0,
vacuum cleaner,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,
wheelbarrow,,3.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,
wire brush,,2.0,3.0,8.0,,,1.0,5.0,3.0,,1.0,3.0,3.0,1.0,1.0,4.0,1.0,12.0,3.0,,4.0,1.0,10.0,3.0,3.0,4.0,1.0,1.0,20.0,
wrench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
