exemplar,adjustable spanner,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
knife,8.0,1.0,2.0,9.0,5.0,6.0,3.0,3.0,3.0,15.0,4.0,9.0,20.0,2.0,10.0,10.0,2.0,2.0,4.0,4.0,3.0,1.0,9.0,5.0,5.0,2.0,1.0,3.0,2.0,5.0
lawn mower,5.0,1.0,15.0,2.0,6.0,6.0,3.0,6.0,2.0,3.0,11.0,1.0,2.0,20.0,3.0,4.0,4.0,1.0,3.0,3.0,7.0,1.0,2.0,6.0,2.0,1.0,1.0,7.0,2.0,6.0
level,6.0,8.0,5.0,2.0,13.0,2.0,13.0,14.0,6.0,16.0,2.0,4.0,10.0,3.0,20.0,3.0,6.0,8.0,14.0,3.0,4.0,5.0,6.0,1.0,3.0,9.0,7.0,3.0,5.0,1.0
nail,12.0,2.0,2.0,9.0,5.0,14.0,2.0,6.0,15.0,3.0,9.0,2.0,10.0,4.0,3.0,20.0,13.0,1.0,9.0,6.0,1.0,3.0,7.0,4.0,8.0,5.0,9.0,2.0,14.0,15.0
oil can,4.0,10.0,4.0,6.0,2.0,3.0,4.0,1.0,13.0,3.0,1.0,7.0,2.0,4.0,6.0,13.0,20.0,10.0,2.0,10.0,8.0,3.0,1.0,4.0,3.0,2.0,1.0,1.0,6.0,4.0
paint brush,7.0,3.0,2.0,6.0,12.0,5.0,2.0,5.0,8.0,10.0,5.0,3.0,2.0,1.0,8.0,1.0,10.0,20.0,4.0,2.0,2.0,2.0,6.0,4.0,3.0,16.0,7.0,3.0,2.0,11.0
pickaxe,3.0,10.0,16.0,14.0,12.0,9.0,2.0,6.0,8.0,5.0,3.0,10.0,4.0,3.0,14.0,9.0,2.0,4.0,20.0,3.0,11.0,3.0,2.0,12.0,15.0,3.0,1.0,2.0,10.0,7.0
plane,10.0,9.0,2.0,6.0,5.0,7.0,8.0,12.0,13.0,9.0,15.0,13.0,4.0,3.0,3.0,6.0,10.0,2.0,3.0,20.0,9.0,6.0,16.0,14.0,3.0,5.0,1.0,5.0,6.0,5.0
plough,3.0,3.0,2.0,13.0,6.0,2.0,12.0,12.0,7.0,2.0,4.0,2.0,3.0,7.0,4.0,1.0,8.0,2.0,11.0,9.0,20.0,9.0,2.0,1.0,2.0,2.0,6.0,16.0,6.0,2.0
rope,6.0,3.0,2.0,4.0,6.0,1.0,4.0,6.0,3.0,1.0,11.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,3.0,6.0,9.0,20.0,9.0,5.0,15.0,4.0,2.0,4.0,14.0,11.0
saw,6.0,2.0,2.0,6.0,8.0,2.0,5.0,4.0,6.0,3.0,3.0,12.0,9.0,2.0,6.0,7.0,1.0,6.0,2.0,16.0,2.0,9.0,20.0,6.0,9.0,4.0,1.0,2.0,5.0,9.0
screwdriver,15.0,14.0,2.0,7.0,1.0,6.0,8.0,7.0,2.0,4.0,5.0,5.0,5.0,6.0,1.0,4.0,4.0,4.0,12.0,14.0,1.0,5.0,6.0,20.0,9.0,7.0,2.0,2.0,2.0,15.0
shovel,6.0,4.0,6.0,12.0,3.0,6.0,7.0,10.0,12.0,15.0,2.0,7.0,5.0,2.0,3.0,8.0,3.0,3.0,15.0,3.0,2.0,15.0,9.0,9.0,20.0,4.0,1.0,12.0,2.0,3.0
tongs,17.0,10.0,6.0,4.0,1.0,10.0,2.0,3.0,5.0,2.0,5.0,2.0,2.0,1.0,9.0,5.0,2.0,16.0,3.0,5.0,2.0,4.0,4.0,7.0,4.0,20.0,9.0,5.0,12.0,8.0
vacuum cleaner,7.0,10.0,2.0,1.0,8.0,1.0,7.0,4.0,11.0,17.0,15.0,2.0,1.0,1.0,7.0,9.0,1.0,7.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,9.0,20.0,2.0,1.0,2.0
wheelbarrow,8.0,4.0,2.0,3.0,4.0,6.0,5.0,1.0,9.0,1.0,8.0,4.0,3.0,7.0,3.0,2.0,1.0,3.0,2.0,5.0,16.0,4.0,2.0,2.0,12.0,5.0,2.0,20.0,2.0,2.0
wire brush,9.0,6.0,9.0,3.0,10.0,15.0,15.0,6.0,3.0,1.0,12.0,5.0,2.0,2.0,5.0,14.0,6.0,2.0,10.0,6.0,6.0,14.0,5.0,2.0,2.0,12.0,1.0,2.0,20.0,13.0
wrench,3.0,10.0,6.0,15.0,5.0,16.0,5.0,3.0,10.0,5.0,9.0,15.0,5.0,6.0,1.0,15.0,4.0,11.0,7.0,5.0,2.0,11.0,9.0,15.0,3.0,8.0,2.0,2.0,13.0,20.0
