exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
hovercraft,5.0,12.0,4.0,4.0,5.0,5.0,5.0,6.0,10.0,2.0,4.0,7.0,20.0,5.0,6.0,5.0,10.0,2.0,5.0,9.0,4.0,5.0,5.0,2.0,4.0,6.0,9.0,6.0,5.0,5.0
jeep,14.0,5.0,7.0,5.0,8.0,12.0,12.0,8.0,9.0,6.0,8.0,7.0,5.0,20.0,10.0,8.0,5.0,5.0,9.0,5.0,7.0,6.0,7.0,9.0,10.0,6.0,7.0,5.0,8.0,6.0
kar,13.0,6.0,9.0,9.0,7.0,9.0,9.0,8.0,4.0,10.0,11.0,5.0,6.0,10.0,20.0,19.0,6.0,8.0,9.0,4.0,9.0,12.0,14.0,13.0,12.0,7.0,6.0,4.0,7.0,4.0
koets,11.0,6.0,6.0,4.0,6.0,5.0,8.0,10.0,4.0,9.0,16.0,3.0,5.0,8.0,19.0,20.0,4.0,7.0,7.0,6.0,9.0,14.0,8.0,14.0,8.0,11.0,9.0,7.0,10.0,4.0
luchtballon,5.0,6.0,6.0,5.0,6.0,7.0,5.0,3.0,5.0,4.0,5.0,11.0,10.0,5.0,6.0,4.0,20.0,5.0,4.0,8.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,11.0,6.0,14.0
metrostel,5.0,6.0,6.0,5.0,9.0,5.0,8.0,8.0,5.0,7.0,9.0,6.0,2.0,5.0,8.0,7.0,5.0,20.0,5.0,7.0,5.0,6.0,4.0,4.0,6.0,14.0,11.0,6.0,6.0,6.0
moto,6.0,7.0,15.0,19.0,8.0,4.0,6.0,6.0,5.0,13.0,6.0,5.0,5.0,9.0,9.0,7.0,4.0,5.0,20.0,5.0,10.0,5.0,7.0,11.0,9.0,6.0,5.0,4.0,7.0,5.0
raket,4.0,4.0,5.0,6.0,7.0,3.0,2.0,5.0,5.0,4.0,4.0,11.0,9.0,5.0,4.0,6.0,8.0,7.0,5.0,20.0,4.0,7.0,4.0,4.0,4.0,7.0,10.0,14.0,6.0,10.0
skateboard,7.0,4.0,6.0,7.0,4.0,4.0,4.0,6.0,4.0,11.0,7.0,5.0,4.0,7.0,9.0,9.0,5.0,5.0,10.0,4.0,20.0,10.0,18.0,8.0,4.0,6.0,4.0,4.0,1.0,4.0
slede,6.0,1.0,5.0,2.0,7.0,6.0,5.0,8.0,3.0,6.0,9.0,4.0,5.0,6.0,12.0,14.0,6.0,6.0,5.0,7.0,10.0,20.0,9.0,7.0,2.0,7.0,3.0,5.0,7.0,5.0
step,6.0,4.0,8.0,8.0,5.0,3.0,5.0,3.0,4.0,15.0,11.0,5.0,5.0,7.0,14.0,8.0,4.0,4.0,7.0,4.0,18.0,9.0,20.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0
taxi,17.0,8.0,6.0,9.0,10.0,9.0,7.0,6.0,4.0,3.0,9.0,5.0,2.0,9.0,13.0,14.0,5.0,4.0,11.0,4.0,8.0,7.0,6.0,20.0,7.0,6.0,6.0,5.0,7.0,5.0
tractor,11.0,4.0,5.0,10.0,7.0,13.0,7.0,8.0,5.0,5.0,8.0,4.0,4.0,10.0,12.0,8.0,6.0,6.0,9.0,4.0,4.0,2.0,5.0,7.0,20.0,6.0,2.0,5.0,8.0,4.0
tram,6.0,3.0,6.0,8.0,10.0,7.0,6.0,2.0,7.0,6.0,8.0,5.0,6.0,6.0,7.0,11.0,6.0,14.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,20.0,12.0,7.0,7.0,6.0
trein,6.0,5.0,6.0,7.0,6.0,9.0,7.0,5.0,6.0,8.0,6.0,6.0,9.0,7.0,6.0,9.0,4.0,11.0,5.0,10.0,4.0,3.0,6.0,6.0,2.0,12.0,20.0,7.0,7.0,5.0
vliegtuig,3.0,6.0,5.0,6.0,7.0,5.0,2.0,7.0,5.0,4.0,5.0,12.0,6.0,5.0,4.0,7.0,11.0,6.0,4.0,14.0,4.0,5.0,4.0,5.0,5.0,7.0,7.0,20.0,8.0,9.0
vrachtwagen,10.0,9.0,5.0,5.0,11.0,20.0,16.0,10.0,4.0,8.0,9.0,12.0,5.0,8.0,7.0,10.0,6.0,6.0,7.0,6.0,1.0,7.0,5.0,7.0,8.0,7.0,7.0,8.0,20.0,6.0
zeppelin,4.0,5.0,6.0,4.0,5.0,6.0,5.0,7.0,5.0,6.0,6.0,11.0,5.0,6.0,4.0,4.0,14.0,6.0,5.0,10.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,9.0,6.0,20.0
