exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
metrostel,8.0,4.0,4.0,3.0,5.0,4.0,2.0,5.0,8.0,5.0,2.0,5.0,2.0,6.0,1.0,4.0,3.0,20.0,2.0,6.0,2.0,11.0,2.0,12.0,5.0,18.0,16.0,7.0,8.0,1.0
moto,12.0,3.0,18.0,18.0,5.0,7.0,3.0,2.0,3.0,15.0,8.0,8.0,3.0,9.0,4.0,4.0,4.0,2.0,20.0,7.0,3.0,7.0,5.0,3.0,7.0,2.0,7.0,2.0,4.0,2.0
raket,3.0,8.0,2.0,1.0,11.0,4.0,6.0,4.0,6.0,2.0,1.0,11.0,5.0,3.0,2.0,2.0,11.0,6.0,7.0,20.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,14.0,6.0,5.0
skateboard,2.0,2.0,4.0,6.0,2.0,1.0,3.0,2.0,5.0,5.0,11.0,4.0,5.0,3.0,6.0,6.0,1.0,2.0,3.0,1.0,20.0,11.0,9.0,3.0,2.0,6.0,2.0,4.0,3.0,2.0
slede,4.0,2.0,6.0,3.0,2.0,3.0,6.0,3.0,2.0,9.0,8.0,1.0,7.0,6.0,13.0,12.0,3.0,11.0,7.0,2.0,11.0,20.0,7.0,3.0,3.0,5.0,6.0,3.0,2.0,3.0
step,4.0,1.0,3.0,6.0,6.0,2.0,1.0,3.0,1.0,11.0,7.0,1.0,1.0,6.0,2.0,2.0,1.0,2.0,5.0,3.0,9.0,7.0,20.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0
taxi,18.0,4.0,6.0,5.0,14.0,7.0,12.0,7.0,6.0,2.0,5.0,6.0,6.0,10.0,8.0,7.0,2.0,12.0,3.0,6.0,3.0,3.0,2.0,20.0,3.0,9.0,4.0,11.0,7.0,3.0
tractor,8.0,2.0,6.0,7.0,7.0,10.0,10.0,7.0,2.0,4.0,2.0,6.0,4.0,8.0,5.0,8.0,4.0,5.0,7.0,1.0,2.0,3.0,3.0,3.0,20.0,6.0,6.0,4.0,8.0,2.0
tram,7.0,5.0,6.0,4.0,12.0,6.0,5.0,6.0,1.0,3.0,2.0,7.0,2.0,5.0,5.0,10.0,4.0,18.0,2.0,1.0,6.0,5.0,2.0,9.0,6.0,20.0,16.0,2.0,2.0,3.0
trein,8.0,8.0,3.0,6.0,11.0,5.0,6.0,5.0,2.0,7.0,5.0,6.0,6.0,11.0,4.0,6.0,3.0,16.0,7.0,3.0,2.0,6.0,3.0,4.0,6.0,16.0,20.0,8.0,8.0,5.0
vliegtuig,9.0,10.0,3.0,4.0,11.0,8.0,7.0,4.0,6.0,2.0,4.0,13.0,8.0,8.0,2.0,5.0,12.0,7.0,2.0,14.0,4.0,3.0,2.0,11.0,4.0,2.0,8.0,20.0,9.0,12.0
vrachtwagen,16.0,4.0,3.0,5.0,14.0,19.0,13.0,6.0,6.0,4.0,5.0,6.0,6.0,12.0,9.0,6.0,7.0,8.0,4.0,6.0,3.0,2.0,2.0,7.0,8.0,2.0,8.0,9.0,20.0,8.0
zeppelin,4.0,9.0,5.0,2.0,2.0,9.0,4.0,2.0,4.0,4.0,1.0,14.0,9.0,1.0,2.0,2.0,17.0,1.0,2.0,5.0,2.0,3.0,4.0,3.0,2.0,3.0,5.0,12.0,8.0,20.0
