exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
helikopter,7.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,20.0,12.0,7.0,6.0,6.0,13.0,7.0,6.0,10.0,6.0,9.0,4.0,7.0,6.0,7.0,9.0,14.0,7.0,12.0
hovercraft,6.0,16.0,5.0,6.0,6.0,8.0,4.0,5.0,7.0,5.0,6.0,12.0,20.0,7.0,5.0,8.0,8.0,8.0,7.0,6.0,4.0,13.0,4.0,6.0,7.0,6.0,6.0,9.0,6.0,10.0
jeep,16.0,7.0,9.0,8.0,11.0,13.0,11.0,8.0,9.0,6.0,6.0,7.0,7.0,20.0,9.0,8.0,7.0,7.0,9.0,4.0,6.0,6.0,7.0,13.0,14.0,8.0,10.0,9.0,12.0,6.0
kar,7.0,7.0,6.0,6.0,9.0,9.0,8.0,14.0,9.0,8.0,8.0,6.0,5.0,9.0,20.0,16.0,6.0,8.0,7.0,6.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,5.0,8.0,6.0
koets,12.0,8.0,8.0,8.0,7.0,11.0,8.0,12.0,5.0,9.0,8.0,6.0,8.0,8.0,16.0,20.0,7.0,6.0,7.0,6.0,8.0,12.0,7.0,8.0,11.0,8.0,7.0,7.0,7.0,7.0
luchtballon,5.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,6.0,7.0,5.0,13.0,8.0,7.0,6.0,7.0,20.0,5.0,7.0,8.0,5.0,6.0,7.0,7.0,5.0,6.0,7.0,12.0,6.0,16.0
metrostel,10.0,6.0,6.0,7.0,13.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,8.0,7.0,8.0,6.0,5.0,20.0,9.0,4.0,6.0,7.0,8.0,9.0,7.0,16.0,17.0,6.0,7.0,6.0
moto,9.0,7.0,16.0,18.0,9.0,10.0,7.0,7.0,8.0,12.0,9.0,6.0,7.0,9.0,7.0,7.0,7.0,9.0,20.0,7.0,10.0,6.0,13.0,8.0,10.0,8.0,8.0,8.0,10.0,6.0
raket,5.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,3.0,5.0,10.0,6.0,4.0,6.0,6.0,8.0,4.0,7.0,20.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,14.0,6.0,8.0
skateboard,6.0,5.0,8.0,8.0,6.0,6.0,5.0,7.0,5.0,11.0,13.0,6.0,4.0,6.0,8.0,8.0,5.0,6.0,10.0,4.0,20.0,10.0,14.0,6.0,5.0,4.0,6.0,4.0,5.0,5.0
slede,6.0,6.0,7.0,7.0,6.0,5.0,6.0,9.0,6.0,10.0,12.0,9.0,13.0,6.0,9.0,12.0,6.0,7.0,6.0,4.0,10.0,20.0,10.0,9.0,7.0,6.0,6.0,6.0,6.0,7.0
step,8.0,7.0,12.0,11.0,8.0,9.0,7.0,6.0,6.0,13.0,13.0,4.0,4.0,7.0,7.0,7.0,7.0,8.0,13.0,5.0,14.0,10.0,20.0,8.0,5.0,6.0,7.0,5.0,5.0,5.0
taxi,17.0,8.0,7.0,9.0,12.0,12.0,12.0,7.0,7.0,7.0,12.0,7.0,6.0,13.0,8.0,8.0,7.0,9.0,8.0,6.0,6.0,9.0,8.0,20.0,10.0,13.0,8.0,9.0,11.0,7.0
tractor,11.0,7.0,8.0,9.0,10.0,12.0,10.0,7.0,5.0,7.0,6.0,6.0,7.0,14.0,8.0,11.0,5.0,7.0,10.0,6.0,5.0,7.0,5.0,10.0,20.0,7.0,8.0,6.0,14.0,6.0
tram,1.0,7.0,8.0,10.0,14.0,8.0,11.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,6.0,16.0,8.0,5.0,4.0,6.0,6.0,13.0,7.0,20.0,17.0,9.0,11.0,6.0
trein,8.0,11.0,7.0,9.0,14.0,9.0,7.0,8.0,6.0,8.0,6.0,9.0,6.0,10.0,9.0,7.0,7.0,17.0,8.0,6.0,6.0,6.0,7.0,8.0,8.0,17.0,20.0,8.0,10.0,5.0
vliegtuig,8.0,8.0,6.0,8.0,10.0,8.0,7.0,7.0,5.0,5.0,5.0,14.0,9.0,9.0,5.0,7.0,12.0,6.0,8.0,14.0,4.0,6.0,5.0,9.0,6.0,9.0,8.0,20.0,8.0,13.0
vrachtwagen,13.0,8.0,10.0,8.0,12.0,19.0,16.0,9.0,4.0,7.0,7.0,7.0,6.0,12.0,8.0,7.0,6.0,7.0,10.0,6.0,5.0,6.0,5.0,11.0,14.0,11.0,10.0,8.0,20.0,8.0
zeppelin,5.0,7.0,7.0,6.0,6.0,6.0,5.0,6.0,7.0,4.0,7.0,12.0,10.0,6.0,6.0,7.0,16.0,6.0,6.0,8.0,5.0,7.0,5.0,7.0,6.0,6.0,5.0,13.0,8.0,20.0
