exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
grapefruit,0.4416666666666667,0.4527777777777778,0.29444444444444445,0.30277777777777776,0.325,0.2861111111111111,0.4333333333333333,0.36944444444444446,0.4027777777777778,0.45555555555555555,1.0,0.39722222222222225,0.6,0.49444444444444446,0.4352941176470588,0.47777777777777775,0.45555555555555555,0.5694444444444444,0.538888888888889,0.7222222222222222,0.5029411764705882,0.42777777777777776,0.5305555555555556,0.45555555555555555,0.38055555555555554,0.4027777777777778,0.4583333333333333,0.31666666666666665,0.3,0.30833333333333335
kiwi,0.48611111111111105,0.425,0.33611111111111114,0.5027777777777778,0.4333333333333333,0.4083333333333333,0.4444444444444445,0.42777777777777776,0.4666666666666667,0.4222222222222222,0.39722222222222225,1.0,0.42777777777777776,0.4611111111111111,0.5,0.3611111111111111,0.45,0.3861111111111111,0.4666666666666667,0.39722222222222225,0.5147058823529412,0.5277777777777778,0.5444444444444445,0.4305555555555555,0.3611111111111111,0.5222222222222223,0.27222222222222225,0.4083333333333333,0.44666666666666666,0.4138888888888889
lemon,0.4638888888888889,0.48888888888888893,0.3194444444444445,0.325,0.2777777777777778,0.3277777777777778,0.35277777777777775,0.38333333333333336,0.4305555555555555,0.375,0.6,0.42777777777777776,1.0,0.6911764705882353,0.6,0.611111111111111,0.46944444444444444,0.525,0.5611111111111111,0.6777777777777778,0.3941176470588236,0.5277777777777778,0.4333333333333333,0.39166666666666666,0.3611111111111111,0.4444444444444445,0.37222222222222223,0.35277777777777775,0.35,0.3638888888888889
lime,0.4416666666666667,0.46944444444444444,0.34444444444444444,0.3235294117647059,0.2638888888888889,0.325,0.48611111111111105,0.3555555555555555,0.40555555555555556,0.3388888888888889,0.49444444444444446,0.4611111111111111,0.6911764705882353,1.0,0.4617647058823529,0.5055555555555555,0.47777777777777775,0.4583333333333333,0.48888888888888893,0.6194444444444445,0.4617647058823529,0.47777777777777775,0.44722222222222224,0.40555555555555556,0.31666666666666665,0.4444444444444445,0.3388888888888889,0.3764705882352941,0.36333333333333334,0.33529411764705885
lychee,0.34411764705882353,0.4764705882352941,0.2647058823529412,0.36470588235294116,0.4117647058823529,0.44117647058823534,0.42058823529411765,0.55,0.55,0.5294117647058824,0.4352941176470588,0.5,0.6,0.4617647058823529,1.0,0.3264705882352941,0.4794117647058823,0.44117647058823534,0.4676470588235294,0.3970588235294118,0.4235294117647059,0.5176470588235295,0.4088235294117647,0.4088235294117647,0.4147058823529412,0.45588235294117646,0.2705882352941177,0.5088235294117647,0.4633333333333334,0.4470588235294118
mandarine,0.44722222222222224,0.5722222222222222,0.31666666666666665,0.3638888888888889,0.39722222222222225,0.3,0.3277777777777778,0.32222222222222224,0.325,0.49444444444444446,0.47777777777777775,0.3611111111111111,0.611111111111111,0.5055555555555555,0.3264705882352941,1.0,0.4305555555555555,0.325,0.5166666666666667,0.625,0.44117647058823534,0.38055555555555554,0.5083333333333333,0.3138888888888889,0.2861111111111111,0.45,0.3416666666666667,0.31666666666666665,0.35333333333333333,0.3611111111111111
mango,0.47777777777777775,0.513888888888889,0.32222222222222224,0.28055555555555556,0.2833333333333333,0.3416666666666667,0.4166666666666667,0.3638888888888889,0.44722222222222224,0.3611111111111111,0.45555555555555555,0.45,0.46944444444444444,0.47777777777777775,0.4794117647058823,0.4305555555555555,1.0,0.5111111111111111,0.5444444444444445,0.49722222222222223,0.5529411764705883,0.5444444444444445,0.586111111111111,0.3944444444444445,0.3555555555555555,0.5055555555555555,0.37777777777777777,0.3861111111111111,0.31666666666666665,0.36944444444444446
melon,0.4611111111111111,0.49444444444444446,0.3638888888888889,0.24722222222222223,0.30277777777777776,0.35,0.4527777777777778,0.3888888888888889,0.4583333333333333,0.36944444444444446,0.5694444444444444,0.3861111111111111,0.525,0.4583333333333333,0.44117647058823534,0.325,0.5111111111111111,1.0,0.5222222222222223,0.5333333333333333,0.5529411764705883,0.49722222222222223,0.575,0.4916666666666667,0.4527777777777778,0.5305555555555556,0.5055555555555555,0.30277777777777776,0.29333333333333333,0.3611111111111111
nectarine,0.5833333333333333,0.6833333333333333,0.3611111111111111,0.325,0.3388888888888889,0.37777777777777777,0.3388888888888889,0.39722222222222225,0.41944444444444445,0.39722222222222225,0.538888888888889,0.4666666666666667,0.5611111111111111,0.48888888888888893,0.4676470588235294,0.5166666666666667,0.5444444444444445,0.5222222222222223,1.0,0.625,0.4764705882352941,0.5611111111111111,0.7027777777777777,0.43888888888888894,0.3888888888888889,0.625,0.36944444444444446,0.34444444444444444,0.35333333333333333,0.3861111111111111
orange,0.5888888888888889,0.5166666666666667,0.4027777777777778,0.2833333333333333,0.3194444444444445,0.36944444444444446,0.3472222222222222,0.3944444444444445,0.48888888888888893,0.33055555555555555,0.7222222222222222,0.39722222222222225,0.6777777777777778,0.6194444444444445,0.3970588235294118,0.625,0.49722222222222223,0.5333333333333333,0.625,1.0,0.47352941176470587,0.5527777777777778,0.538888888888889,0.49722222222222223,0.41944444444444445,0.525,0.4111111111111111,0.33333333333333337,0.2966666666666667,0.33055555555555555
