exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
koekoek,1.0,7.0,7.0,6.0,6.0,1.0,7.0,1.0,12.0,6.0,20.0,1.0,1.0,1.0,1.0,12.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,7.0
kraai,4.0,5.0,1.0,14.0,4.0,14.0,1.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,12.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0
mees,1.0,12.0,1.0,13.0,1.0,1.0,1.0,3.0,17.0,1.0,1.0,1.0,20.0,3.0,14.0,18.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,15.0,4.0,1.0,1.0,1.0,1.0,6.0
meeuw,1.0,12.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,12.0,7.0,1.0,1.0,1.0,12.0,1.0,1.0,5.0,1.0,7.0,1.0,4.0,4.0
merel,1.0,12.0,1.0,17.0,1.0,1.0,1.0,1.0,14.0,3.0,1.0,12.0,14.0,1.0,20.0,15.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,14.0,10.0,2.0,9.0,2.0,1.0,12.0
mus,1.0,8.0,1.0,15.0,1.0,1.0,1.0,1.0,16.0,4.0,12.0,5.0,18.0,1.0,15.0,20.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,18.0,4.0,1.0,4.0,1.0,1.0,9.0
ooievaar,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,20.0,1.0,1.0,7.0,12.0,12.0,19.0,1.0,1.0,4.0,14.0,1.0,12.0,1.0
papegaai,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,1.0,20.0,14.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0
parkiet,1.0,8.0,1.0,1.0,5.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,13.0,1.0,12.0,11.0,1.0,14.0,20.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,3.0,1.0,1.0
pauw,1.0,1.0,1.0,1.0,9.0,6.0,16.0,5.0,3.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,20.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
pelikaan,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,4.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,20.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
pinguïn,1.0,3.0,13.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,12.0,1.0,1.0,4.0,12.0,20.0,3.0,1.0,1.0,5.0,1.0,1.0,12.0,1.0
reiger,11.0,1.0,3.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0
roodborstje,1.0,6.0,3.0,6.0,1.0,1.0,1.0,6.0,11.0,8.0,12.0,1.0,15.0,1.0,14.0,18.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,4.0,1.0,2.0,1.0,1.0,9.0
specht,3.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,9.0,1.0,1.0,14.0,4.0,5.0,10.0,4.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,4.0,20.0,1.0,12.0,4.0,1.0,12.0
struisvogel,1.0,1.0,3.0,1.0,12.0,11.0,1.0,3.0,1.0,11.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,20.0,1.0,1.0,8.0,1.0
uil,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,7.0,9.0,4.0,14.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,12.0,1.0,20.0,15.0,1.0,1.0
valk,19.0,1.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,15.0,20.0,1.0,11.0
zwaan,3.0,1.0,18.0,1.0,1.0,8.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,1.0,1.0,12.0,3.0,1.0,2.0,1.0,12.0,14.0,1.0,1.0,8.0,1.0,1.0,20.0,1.0
zwaluw,3.0,9.0,1.0,15.0,1.0,1.0,1.0,2.0,7.0,1.0,7.0,1.0,6.0,4.0,12.0,9.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,9.0,12.0,1.0,1.0,11.0,1.0,20.0
