exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
koekoek,7.0,16.0,12.0,16.0,13.0,3.0,7.0,5.0,4.0,6.0,20.0,13.0,13.0,14.0,3.0,12.0,11.0,10.0,5.0,14.0,3.0,4.0,6.0,13.0,13.0,4.0,14.0,14.0,3.0,10.0
kraai,5.0,12.0,7.0,17.0,4.0,7.0,4.0,8.0,6.0,6.0,13.0,20.0,7.0,11.0,12.0,5.0,3.0,7.0,3.0,5.0,4.0,3.0,4.0,8.0,9.0,4.0,6.0,7.0,8.0,13.0
mees,5.0,14.0,5.0,13.0,6.0,4.0,4.0,3.0,19.0,7.0,13.0,7.0,20.0,11.0,11.0,14.0,3.0,5.0,16.0,3.0,3.0,2.0,6.0,17.0,11.0,2.0,11.0,4.0,4.0,13.0
meeuw,9.0,16.0,9.0,8.0,13.0,7.0,6.0,7.0,4.0,6.0,14.0,11.0,11.0,20.0,4.0,4.0,14.0,13.0,7.0,10.0,18.0,3.0,15.0,3.0,6.0,6.0,6.0,13.0,16.0,5.0
merel,4.0,14.0,7.0,13.0,8.0,10.0,7.0,7.0,13.0,8.0,3.0,12.0,11.0,4.0,20.0,12.0,3.0,4.0,8.0,3.0,5.0,2.0,5.0,15.0,11.0,5.0,7.0,5.0,7.0,14.0
mus,13.0,6.0,9.0,16.0,8.0,4.0,7.0,4.0,13.0,7.0,12.0,5.0,14.0,4.0,12.0,20.0,3.0,6.0,11.0,3.0,5.0,3.0,4.0,16.0,9.0,3.0,8.0,2.0,3.0,13.0
ooievaar,5.0,10.0,6.0,4.0,7.0,3.0,3.0,4.0,3.0,9.0,11.0,3.0,3.0,14.0,3.0,3.0,20.0,3.0,3.0,5.0,14.0,2.0,19.0,5.0,3.0,16.0,4.0,8.0,12.0,4.0
papegaai,7.0,11.0,6.0,7.0,4.0,12.0,4.0,4.0,14.0,12.0,10.0,7.0,5.0,13.0,4.0,6.0,3.0,20.0,15.0,7.0,7.0,2.0,3.0,15.0,16.0,4.0,10.0,7.0,5.0,11.0
parkiet,3.0,9.0,4.0,8.0,4.0,9.0,6.0,3.0,16.0,9.0,5.0,3.0,16.0,7.0,8.0,11.0,3.0,15.0,20.0,7.0,2.0,2.0,2.0,17.0,16.0,3.0,2.0,3.0,4.0,15.0
pauw,14.0,4.0,10.0,4.0,15.0,9.0,5.0,16.0,3.0,11.0,14.0,5.0,3.0,10.0,3.0,3.0,5.0,7.0,7.0,20.0,4.0,3.0,4.0,6.0,4.0,3.0,5.0,13.0,4.0,4.0
pelikaan,3.0,3.0,12.0,2.0,4.0,6.0,6.0,7.0,4.0,7.0,3.0,4.0,3.0,18.0,5.0,5.0,14.0,7.0,2.0,4.0,20.0,7.0,19.0,3.0,5.0,16.0,10.0,6.0,18.0,4.0
pinguïn,4.0,3.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,7.0,20.0,2.0,4.0,4.0,2.0,3.0,4.0,7.0,3.0
reiger,9.0,5.0,8.0,4.0,7.0,7.0,7.0,4.0,4.0,4.0,6.0,4.0,6.0,15.0,5.0,4.0,19.0,3.0,2.0,4.0,19.0,2.0,20.0,2.0,5.0,12.0,10.0,10.0,14.0,4.0
roodborstje,5.0,12.0,6.0,11.0,11.0,6.0,11.0,4.0,14.0,11.0,13.0,8.0,17.0,3.0,15.0,16.0,5.0,15.0,17.0,6.0,3.0,4.0,2.0,20.0,8.0,4.0,8.0,6.0,4.0,11.0
specht,6.0,7.0,4.0,13.0,7.0,6.0,3.0,5.0,3.0,4.0,13.0,9.0,11.0,6.0,11.0,9.0,3.0,16.0,16.0,4.0,5.0,4.0,5.0,8.0,20.0,3.0,4.0,6.0,2.0,11.0
struisvogel,9.0,4.0,6.0,3.0,7.0,15.0,9.0,4.0,3.0,3.0,4.0,4.0,2.0,6.0,5.0,3.0,16.0,4.0,3.0,3.0,16.0,2.0,12.0,4.0,3.0,20.0,8.0,8.0,11.0,3.0
uil,14.0,7.0,6.0,4.0,13.0,12.0,13.0,5.0,7.0,10.0,14.0,6.0,11.0,6.0,7.0,8.0,4.0,10.0,2.0,5.0,10.0,3.0,10.0,8.0,4.0,8.0,20.0,17.0,3.0,13.0
valk,16.0,10.0,11.0,4.0,10.0,19.0,5.0,7.0,7.0,9.0,14.0,7.0,4.0,13.0,5.0,2.0,8.0,7.0,3.0,13.0,6.0,4.0,10.0,6.0,6.0,8.0,17.0,20.0,4.0,11.0
zwaan,8.0,5.0,12.0,2.0,7.0,6.0,4.0,13.0,4.0,4.0,3.0,8.0,4.0,16.0,7.0,3.0,12.0,5.0,4.0,4.0,18.0,7.0,14.0,4.0,2.0,11.0,3.0,4.0,20.0,3.0
zwaluw,7.0,10.0,6.0,14.0,4.0,10.0,6.0,4.0,3.0,4.0,10.0,13.0,13.0,5.0,14.0,13.0,4.0,11.0,15.0,4.0,4.0,3.0,4.0,11.0,11.0,3.0,13.0,11.0,3.0,20.0
