exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
merel,9.0,11.0,9.0,12.0,9.0,8.0,9.0,10.0,9.0,11.0,10.0,11.0,10.0,9.0,20.0,12.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0
mus,9.0,12.0,10.0,11.0,9.0,8.0,10.0,9.0,11.0,13.0,11.0,10.0,12.0,9.0,12.0,20.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,14.0,9.0,8.0,8.0,9.0,8.0,11.0
ooievaar,9.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,20.0,10.0,9.0,10.0,12.0,9.0,16.0,9.0,11.0,11.0,10.0,11.0,9.0,8.0
papegaai,10.0,9.0,10.0,11.0,9.0,9.0,10.0,9.0,14.0,10.0,10.0,12.0,9.0,11.0,9.0,10.0,10.0,20.0,12.0,11.0,10.0,8.0,10.0,10.0,13.0,9.0,10.0,12.0,10.0,10.0
parkiet,9.0,11.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,9.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,12.0,20.0,13.0,10.0,7.0,9.0,12.0,13.0,10.0,9.0,11.0,9.0,9.0
pauw,9.0,9.0,9.0,9.0,15.0,10.0,11.0,10.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,11.0,13.0,20.0,10.0,8.0,9.0,9.0,9.0,13.0,10.0,9.0,10.0,9.0
pelikaan,10.0,11.0,11.0,9.0,8.0,9.0,9.0,14.0,8.0,8.0,7.0,9.0,8.0,12.0,9.0,9.0,12.0,10.0,10.0,10.0,20.0,12.0,12.0,8.0,11.0,10.0,9.0,9.0,10.0,9.0
pinguïn,8.0,9.0,11.0,9.0,11.0,8.0,9.0,7.0,8.0,11.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,8.0,7.0,8.0,12.0,20.0,7.0,7.0,9.0,13.0,9.0,8.0,10.0,9.0
reiger,9.0,9.0,9.0,10.0,10.0,12.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,12.0,9.0,9.0,16.0,10.0,9.0,9.0,12.0,7.0,20.0,9.0,10.0,16.0,10.0,8.0,13.0,10.0
roodborstje,8.0,11.0,9.0,11.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,13.0,9.0,10.0,14.0,9.0,10.0,12.0,9.0,8.0,7.0,9.0,20.0,10.0,9.0,9.0,8.0,9.0,11.0
specht,9.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,9.0,10.0,10.0,9.0,11.0,13.0,13.0,9.0,11.0,9.0,10.0,10.0,20.0,9.0,11.0,11.0,10.0,12.0
struisvogel,11.0,7.0,9.0,9.0,12.0,9.0,9.0,14.0,8.0,10.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,9.0,10.0,13.0,10.0,13.0,16.0,9.0,9.0,20.0,10.0,8.0,8.0,8.0
uil,11.0,11.0,8.0,9.0,11.0,10.0,11.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,20.0,16.0,9.0,9.0
valk,16.0,11.0,9.0,9.0,8.0,14.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,12.0,11.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,16.0,20.0,9.0,8.0
zwaan,8.0,9.0,14.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,13.0,9.0,10.0,8.0,9.0,9.0,20.0,9.0
zwaluw,11.0,13.0,10.0,12.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,12.0,8.0,9.0,8.0,9.0,20.0
