exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
koekoek,17.0,17.0,13.0,16.0,17.0,16.0,17.0,14.0,18.0,16.0,20.0,18.0,18.0,14.0,19.0,16.0,16.0,15.0,16.0,14.0,15.0,13.0,12.0,13.0,14.0,11.0,18.0,14.0,14.0,19.0
kraai,17.0,15.0,16.0,18.0,13.0,11.0,15.0,14.0,18.0,16.0,18.0,20.0,16.0,17.0,18.0,17.0,12.0,17.0,16.0,14.0,14.0,10.0,15.0,13.0,16.0,12.0,15.0,17.0,13.0,18.0
mees,15.0,18.0,16.0,18.0,11.0,12.0,13.0,14.0,19.0,15.0,18.0,16.0,20.0,16.0,17.0,19.0,14.0,16.0,15.0,12.0,11.0,12.0,12.0,17.0,15.0,12.0,16.0,16.0,14.0,18.0
meeuw,17.0,19.0,17.0,16.0,15.0,15.0,11.0,11.0,13.0,16.0,14.0,17.0,16.0,20.0,18.0,14.0,13.0,17.0,17.0,15.0,14.0,13.0,16.0,15.0,18.0,11.0,16.0,15.0,14.0,18.0
merel,14.0,18.0,16.0,18.0,14.0,13.0,17.0,16.0,17.0,18.0,19.0,18.0,17.0,18.0,20.0,18.0,13.0,16.0,16.0,13.0,14.0,10.0,11.0,17.0,16.0,11.0,14.0,17.0,15.0,17.0
mus,16.0,17.0,12.0,16.0,15.0,11.0,16.0,12.0,18.0,16.0,16.0,17.0,19.0,14.0,18.0,20.0,12.0,12.0,17.0,14.0,9.0,12.0,14.0,19.0,16.0,13.0,16.0,16.0,15.0,18.0
ooievaar,12.0,13.0,17.0,13.0,13.0,17.0,12.0,12.0,10.0,17.0,16.0,12.0,14.0,13.0,13.0,12.0,20.0,14.0,12.0,15.0,18.0,17.0,19.0,12.0,16.0,15.0,15.0,17.0,17.0,17.0
papegaai,15.0,12.0,16.0,12.0,16.0,16.0,14.0,16.0,17.0,17.0,15.0,17.0,16.0,17.0,16.0,12.0,14.0,20.0,19.0,15.0,15.0,12.0,14.0,10.0,18.0,11.0,16.0,16.0,12.0,15.0
parkiet,13.0,13.0,16.0,17.0,16.0,13.0,16.0,14.0,16.0,11.0,16.0,16.0,15.0,17.0,16.0,17.0,12.0,19.0,20.0,17.0,14.0,11.0,14.0,11.0,18.0,14.0,17.0,16.0,14.0,16.0
pauw,15.0,15.0,17.0,16.0,16.0,14.0,18.0,18.0,13.0,17.0,14.0,14.0,12.0,15.0,13.0,14.0,15.0,15.0,17.0,20.0,12.0,14.0,12.0,12.0,14.0,16.0,9.0,12.0,16.0,13.0
pelikaan,13.0,15.0,18.0,11.0,16.0,17.0,11.0,18.0,14.0,14.0,15.0,14.0,11.0,14.0,14.0,9.0,18.0,15.0,14.0,12.0,20.0,16.0,17.0,11.0,12.0,15.0,11.0,16.0,18.0,9.0
pinguïn,16.0,11.0,16.0,11.0,13.0,9.0,13.0,12.0,13.0,15.0,13.0,10.0,12.0,13.0,10.0,12.0,17.0,12.0,11.0,14.0,16.0,20.0,8.0,11.0,11.0,5.0,15.0,8.0,15.0,11.0
reiger,14.0,8.0,18.0,15.0,14.0,17.0,14.0,11.0,15.0,12.0,12.0,15.0,12.0,16.0,11.0,14.0,19.0,14.0,14.0,12.0,17.0,8.0,20.0,15.0,14.0,18.0,16.0,16.0,16.0,12.0
roodborstje,16.0,16.0,12.0,16.0,9.0,13.0,14.0,13.0,17.0,12.0,13.0,13.0,17.0,15.0,17.0,19.0,12.0,10.0,11.0,12.0,11.0,11.0,15.0,20.0,14.0,11.0,10.0,15.0,12.0,14.0
specht,14.0,17.0,16.0,18.0,17.0,16.0,15.0,9.0,13.0,16.0,14.0,16.0,15.0,18.0,16.0,16.0,16.0,18.0,18.0,14.0,12.0,11.0,14.0,14.0,20.0,14.0,17.0,18.0,12.0,16.0
struisvogel,12.0,6.0,17.0,14.0,16.0,17.0,9.0,17.0,11.0,17.0,11.0,12.0,12.0,11.0,11.0,13.0,15.0,11.0,14.0,16.0,15.0,5.0,18.0,11.0,14.0,20.0,14.0,9.0,12.0,13.0
uil,17.0,16.0,13.0,16.0,15.0,13.0,15.0,14.0,15.0,15.0,18.0,15.0,16.0,16.0,14.0,16.0,15.0,16.0,17.0,9.0,11.0,15.0,16.0,10.0,17.0,14.0,20.0,19.0,14.0,14.0
valk,19.0,17.0,15.0,17.0,14.0,19.0,16.0,15.0,16.0,14.0,14.0,17.0,16.0,15.0,17.0,16.0,17.0,16.0,16.0,12.0,16.0,8.0,16.0,15.0,18.0,9.0,19.0,20.0,13.0,15.0
zwaan,16.0,12.0,19.0,13.0,11.0,16.0,15.0,18.0,12.0,18.0,14.0,13.0,14.0,14.0,15.0,15.0,17.0,12.0,14.0,16.0,18.0,15.0,16.0,12.0,12.0,12.0,14.0,13.0,20.0,14.0
zwaluw,13.0,17.0,12.0,17.0,11.0,11.0,14.0,14.0,18.0,11.0,19.0,18.0,18.0,18.0,17.0,18.0,17.0,15.0,16.0,13.0,9.0,11.0,12.0,14.0,16.0,13.0,14.0,15.0,14.0,20.0
