exemplar,arend,duif,eend,ekster,fazant,gier,haan,kalkoen,kanarie,kip,koekoek,kraai,mees,meeuw,merel,mus,ooievaar,papegaai,parkiet,pauw,pelikaan,pinguïn,reiger,roodborstje,specht,struisvogel,uil,valk,zwaan,zwaluw
parkiet,7.0,8.0,6.0,9.0,5.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,9.0,8.0,6.0,9.0,4.0,10.0,20.0,7.0,8.0,5.0,5.0,8.0,8.0,7.0,8.0,10.0,6.0,7.0
pauw,5.0,8.0,10.0,6.0,6.0,6.0,8.0,16.0,5.0,6.0,5.0,11.0,6.0,7.0,9.0,7.0,6.0,6.0,7.0,20.0,6.0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,9.0,7.0
pelikaan,5.0,5.0,4.0,7.0,6.0,6.0,6.0,6.0,7.0,5.0,6.0,8.0,5.0,6.0,7.0,6.0,11.0,6.0,8.0,6.0,20.0,7.0,8.0,5.0,7.0,7.0,8.0,7.0,10.0,7.0
pinguïn,7.0,7.0,5.0,6.0,6.0,5.0,6.0,8.0,5.0,8.0,7.0,5.0,5.0,6.0,6.0,5.0,6.0,7.0,5.0,6.0,7.0,20.0,8.0,6.0,7.0,9.0,6.0,7.0,6.0,5.0
reiger,18.0,7.0,6.0,7.0,6.0,5.0,5.0,7.0,5.0,5.0,7.0,11.0,4.0,11.0,5.0,5.0,6.0,9.0,5.0,7.0,8.0,8.0,20.0,8.0,9.0,7.0,7.0,11.0,8.0,11.0
roodborstje,6.0,6.0,5.0,7.0,7.0,5.0,8.0,8.0,8.0,6.0,8.0,7.0,6.0,8.0,6.0,13.0,5.0,5.0,8.0,5.0,5.0,6.0,8.0,20.0,6.0,4.0,9.0,6.0,5.0,7.0
specht,13.0,6.0,9.0,13.0,8.0,7.0,5.0,7.0,7.0,7.0,10.0,11.0,11.0,6.0,6.0,9.0,6.0,9.0,8.0,6.0,7.0,7.0,9.0,6.0,20.0,7.0,8.0,7.0,7.0,8.0
struisvogel,7.0,5.0,7.0,8.0,6.0,7.0,7.0,8.0,4.0,4.0,7.0,7.0,5.0,7.0,6.0,5.0,12.0,8.0,7.0,8.0,7.0,9.0,7.0,4.0,7.0,20.0,6.0,10.0,8.0,7.0
uil,9.0,7.0,7.0,9.0,7.0,8.0,10.0,7.0,7.0,6.0,7.0,9.0,8.0,8.0,8.0,8.0,6.0,7.0,8.0,6.0,8.0,6.0,7.0,9.0,8.0,6.0,20.0,9.0,7.0,7.0
valk,7.0,7.0,7.0,8.0,5.0,8.0,7.0,10.0,5.0,6.0,7.0,8.0,7.0,8.0,8.0,7.0,6.0,9.0,10.0,7.0,7.0,7.0,11.0,6.0,7.0,10.0,9.0,20.0,7.0,6.0
zwaan,5.0,5.0,14.0,6.0,7.0,6.0,7.0,9.0,8.0,6.0,9.0,6.0,7.0,6.0,5.0,11.0,8.0,7.0,6.0,9.0,10.0,6.0,8.0,5.0,7.0,8.0,7.0,7.0,20.0,13.0
zwaluw,4.0,8.0,9.0,6.0,6.0,11.0,7.0,9.0,7.0,5.0,8.0,7.0,9.0,14.0,5.0,4.0,10.0,6.0,7.0,7.0,7.0,5.0,11.0,7.0,8.0,7.0,7.0,6.0,13.0,20.0
