exemplar,bat,beaver,bison,cat,cow,deer,dog,donkey,dromedary,elephant,fox,giraffe,hamster,hedgehog,hippopotamus,horse,kangaroo,lion,llama,monkey,mouse,pig,polar bear,rabbit,rhinoceros,sheep,squirrel,tiger,wolf,zebra
mouse,2.0,2.0,2.0,13.0,2.0,2.0,4.0,2.0,2.0,2.0,13.0,2.0,15.0,3.0,2.0,2.0,2.0,9.0,9.0,4.0,20.0,4.0,4.0,13.0,2.0,2.0,5.0,2.0,6.0,10.0
pig,2.0,3.0,2.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,2.0,11.0,10.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,20.0,2.0,13.0,2.0,13.0,10.0,2.0,2.0,2.0
polar bear,2.0,2.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,8.0,4.0,2.0,2.0,8.0,2.0,4.0,2.0,20.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0
rabbit,2.0,4.0,2.0,9.0,2.0,4.0,13.0,10.0,2.0,2.0,5.0,2.0,13.0,4.0,2.0,5.0,5.0,3.0,4.0,2.0,13.0,13.0,4.0,20.0,2.0,7.0,13.0,2.0,3.0,2.0
rhinoceros,2.0,2.0,7.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,2.0,13.0,2.0,4.0,7.0,12.0,7.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,20.0,2.0,2.0,4.0,2.0,10.0
sheep,2.0,2.0,3.0,6.0,5.0,2.0,6.0,8.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,16.0,2.0,2.0,13.0,2.0,7.0,2.0,20.0,7.0,2.0,3.0,2.0
squirrel,4.0,2.0,2.0,6.0,2.0,2.0,2.0,3.0,9.0,9.0,12.0,2.0,7.0,11.0,2.0,2.0,2.0,2.0,10.0,2.0,5.0,10.0,2.0,13.0,2.0,7.0,20.0,7.0,2.0,2.0
tiger,2.0,8.0,3.0,16.0,2.0,9.0,3.0,2.0,4.0,13.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,15.0,9.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,7.0,20.0,2.0,12.0
wolf,2.0,2.0,12.0,16.0,2.0,2.0,16.0,2.0,5.0,13.0,2.0,2.0,2.0,2.0,2.0,2.0,16.0,5.0,2.0,2.0,6.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,20.0,2.0
zebra,2.0,3.0,6.0,4.0,10.0,12.0,2.0,2.0,2.0,5.0,2.0,6.0,2.0,2.0,5.0,18.0,2.0,7.0,2.0,2.0,10.0,2.0,3.0,2.0,10.0,2.0,2.0,12.0,2.0,20.0
