feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
learns the text by heart,0,1,0,-3,1,-2,-2,3,0,2,1,0,0.08333333333333333,1.729862492345632
likes to chat,-3,0,0,-3,-2,-2,-2,1,-2,1,1,0,-0.9166666666666666,1.5642792899510296
likes to eat,-3,0,0,-3,-2,-3,-3,-3,-1,1,0,0,-1.4166666666666667,1.5642792899510294
loves animals,-3,1,0,-3,1,-2,-2,2,1,2,0,0,-0.25,1.815338686155987
loves children,-2,1,0,-2,-2,-2,-2,2,1,2,1,0,-0.25,1.6583123951777
maintains order,1,2,1,-2,2,2,1,3,2,1,1,0,1.1666666666666667,1.2673044646258478
makes a plea,1,2,0,-3,3,3,1,3,3,2,1,0,1.3333333333333333,1.775250729197189
makes an appointment twice a year,-3,2,0,-3,-1,2,1,-2,-1,1,1,0,-0.25,1.764549903980152
makes bread,1,1,0,-3,3,3,1,3,2,2,1,0,1.1666666666666667,1.6966991126265962
makes cakes,-1,0,0,-3,3,2,1,3,2,0,1,0,0.6666666666666666,1.7232808737106584
makes delicacies,-1,2,1,-3,2,3,-1,3,2,2,1,0,0.9166666666666666,1.8319554050414564
makes models,0,2,0,-3,1,3,1,3,1,2,1,0,0.9166666666666666,1.6213537179739277
makes sites,1,1,1,-3,3,3,1,3,2,1,2,0,1.25,1.6583123951777
makes sketches,-3,1,0,-3,3,-1,-1,2,-1,2,1,0,0.0,1.9069251784911847
manages the agenda of the boss,1,2,1,-3,2,2,1,3,1,2,1,0,1.0833333333333333,1.5050420310248862
may be corrupt,0,1,0,-2,0,1,-2,0,-2,0,0,1,-0.25,1.1381803659589922
may win a price,-2,0,0,-3,-3,1,-2,-1,-2,2,0,0,-0.8333333333333334,1.5859229221975182
may work in the army,1,2,0,-3,2,-3,1,3,1,1,1,0,0.5,1.834021909257456
mostly wears dirty clothes,-1,0,0,-2,0,2,-2,2,-3,0,0,0,-0.3333333333333333,1.497472618255253
often goes abroad,0,1,1,0,0,1,1,1,-1,0,1,0,0.4166666666666667,0.6685579234215214
often goes to Egypt,-2,-1,1,-3,1,2,-3,0,-1,3,0,0,-0.25,1.864744681524183
only occurs in a democracy,-2,1,0,-3,3,1,-2,3,2,2,1,2,0.6666666666666666,2.0150945537631877
operates,1,2,0,-3,2,3,2,3,2,2,2,2,1.5,1.6236882817719773
performs heavy work,0,1,0,-1,-2,-1,2,-1,-2,2,0,1,-0.08333333333333333,1.378954368902449
picks up the garbage,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
pilots an airplane,2,2,0,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.729862492345632
plays a part,0,1,1,-3,2,2,1,2,2,2,1,0,0.9166666666666666,1.443375672974064
plays in a film,1,2,0,-3,3,3,-1,3,2,2,2,0,1.1666666666666667,1.8504708655481243
plays in a theatre,-1,2,0,-3,3,3,-1,3,2,2,2,0,1.0,1.954016841836789
pleads in court,1,2,1,-3,3,3,1,3,2,2,2,0,1.4166666666666667,1.6764862244009227
prepares food,-1,1,0,-3,3,3,1,3,2,2,1,0,1.0,1.8090680674665818
prepares meat,1,2,0,-3,3,2,-2,3,2,2,1,0,0.9166666666666666,1.8809249819912512
prepares medicines,1,2,0,-3,3,3,1,3,1,0,2,0,1.0833333333333333,1.729862492345632
prescribes medication,1,2,0,-3,3,3,2,2,2,2,2,0,1.3333333333333333,1.6696942198734435
programs,1,1,0,-2,2,3,1,3,2,2,1,0,1.1666666666666667,1.403458930534474
pronounces a verdict,1,2,0,-3,3,3,2,3,2,2,2,0,1.4166666666666667,1.729862492345632
remedies complaints,1,1,0,-1,1,2,1,2,1,2,2,0,1.0,0.9534625892455924
repairs breakdowns,1,2,0,-1,2,2,1,2,1,2,1,0,1.0833333333333333,0.996204919895622
rides a bike,0,1,0,-3,1,-2,-3,-1,-1,2,1,0,-0.4166666666666667,1.6213537179739277
saves cats out of trees,0,1,0,-3,3,-1,-1,3,1,2,2,0,0.5833333333333334,1.781640374554423
saves people,0,2,0,-3,1,3,1,3,3,2,1,0,1.0833333333333333,1.729862492345632
sells care products,-1,2,1,-3,2,1,1,3,1,2,1,0,0.8333333333333334,1.5859229221975182
sells meat,1,2,0,-3,3,3,1,3,1,2,1,0,1.1666666666666667,1.6966991126265962
sells medicines,1,2,0,-3,3,3,1,3,1,2,2,0,1.25,1.712255291076124
