feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
contains a lot of iron,1,0,3,1,1,2,0,2,-2,2,1,0,0.9166666666666666,1.3113721705515067
contains a lot of water,-2,2,1,3,1,3,2,-3,1,2,2,2,1.1666666666666667,1.8504708655481241
contains seeds,2,1,2,1,1,1,-3,0,-3,-3,1,2,0.16666666666666666,1.992409839791244
contains starch,0,-1,2,1,2,1,0,2,-3,0,-2,2,0.3333333333333333,1.669694219873444
contains vitamins,3,3,2,3,3,3,2,0,2,3,2,3,2.4166666666666665,0.90033663737852
cornflour,-2,-1,-1,1,0,-2,-3,2,-3,-3,0,-2,-1.1666666666666667,1.6422453217986943
crispy,1,2,-1,1,0,1,-3,-2,-3,-3,1,1,-0.4166666666666667,1.880924981991251
cut in little pieces,2,3,-2,2,3,3,-3,-3,-3,-3,1,3,0.25,2.7675062617979584
dark green,-1,-1,1,-2,0,1,0,-3,-3,-3,0,2,-0.75,1.712255291076124
dark pink outside,1,-1,1,-2,-1,1,-3,-3,-3,-3,0,-2,-1.25,1.6583123951777
decays fast,3,2,0,2,0,0,1,-1,-3,2,-2,-2,0.16666666666666666,1.898963034411309
does not smell well,2,-1,-1,-2,-3,1,-3,-3,-3,-3,0,0,-1.3333333333333333,1.775250729197189
eat with carrots,1,2,-3,1,3,1,-3,-3,-3,0,1,2,-0.08333333333333333,2.274696116900546
exists in different sizes (groottes),2,2,0,2,3,3,0,-3,-1,3,3,2,1.3333333333333333,1.9227505550564006
exists in several colours,0,3,1,3,3,3,0,-3,-1,3,2,2,1.3333333333333333,1.9694638556693236
exists in several kinds,1,3,1,2,3,3,0,-3,-3,3,3,3,1.3333333333333333,2.2696949467968492
expression,-3,1,0,-1,0,-3,-3,-3,-3,-3,1,-3,-1.6666666666666667,1.7232808737106584
family of the cabbage,-1,2,0,1,1,1,-3,2,-3,-3,-2,2,-0.25,2.050498830661811
feed,-2,2,0,0,0,0,-3,1,-3,1,2,-1,-0.25,1.712255291076124
fibrous,1,2,2,2,3,1,1,1,-3,-3,0,-2,0.4166666666666667,2.0207259421636903
