feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
in dried form: rasins,-2,0,3,0,1,1,-1,2,3,-3,2,-3,0.25,2.137330535547045
in slices,-2,1,0,2,2,-1,1,1,-3,-3,2,-3,-0.25,2.050498830661811
is a berry,0,1,3,1,3,2,1,-1,2,-3,1,1,0.9166666666666666,1.6764862244009227
is a breakfast drink,1,0,-1,-2,1,-1,1,-1,3,-3,2,-3,-0.25,1.9128750375000738
is a nut,-2,3,-3,1,1,0,-1,-1,2,-3,-2,-3,-0.6666666666666666,2.059714602177749
is also a sweet,-1,0,0,-2,2,-1,-3,1,2,-3,-1,-3,-0.75,1.815338686155987
is beautiful,2,1,1,-2,2,-2,1,1,1,-3,2,-3,0.08333333333333333,1.97522534195852
is bent,-1,3,0,2,0,-1,0,-1,3,-3,1,-3,0.0,2.0
is big,0,3,0,-1,0,-1,-2,-1,1,-3,0,-3,-0.5833333333333334,1.6764862244009227
is bitter,-1,3,0,-1,1,0,1,-1,2,-3,1,-3,-0.08333333333333333,1.831955405041456
is black,-3,-3,0,-2,0,-1,-3,-1,2,-3,-2,-3,-1.5833333333333333,1.6213537179739277
is blue,-3,-3,-2,-2,0,-1,-3,-1,2,-3,-3,-3,-1.8333333333333333,1.5859229221975182
is brown,-3,-3,-3,-2,0,-1,-1,-1,2,-3,-1,-3,-1.5833333333333333,1.5642792899510294
is citrusfruit,1,3,1,2,2,2,0,0,3,-3,2,0,1.0833333333333333,1.6764862244009227
is cultivated (gekweekt),2,2,0,-1,3,1,2,1,-3,0,1,2,0.8333333333333334,1.6422453217986943
is difficult to open,-2,3,0,0,-3,-1,-3,1,1,-3,-1,-3,-0.9166666666666666,1.97522534195852
is eaten by people and animals,1,1,0,2,0,-2,2,2,1,-3,2,1,0.5833333333333334,1.6213537179739277
is elongated,-1,2,0,1,0,-1,-1,-1,1,-3,-1,-3,-0.5833333333333334,1.5050420310248864
is expensive,1,-1,1,-1,-2,-1,3,0,0,-3,0,-3,-0.5,1.7320508075688772
is fibrous,-3,3,2,1,2,1,3,2,0,-3,2,-3,0.5833333333333334,2.3143164446679725
is food,3,3,3,2,3,1,3,2,-3,3,3,3,2.1666666666666665,1.7494587907710373
is fruit with a stone (in 'dutch': steenvrucht),-2,3,2,1,1,3,-1,-1,2,-3,1,-3,0.25,2.179449471770337
is green inside,-3,3,0,-2,-3,0,-2,-1,2,-3,-1,-3,-1.0833333333333333,2.0207259421636903
is green when it is not ripe yet,0,3,0,2,3,0,3,-1,1,-2,1,-3,0.5833333333333334,1.9752253419585197
is grown in Belgium,1,2,0,0,-3,-1,0,1,1,-3,1,-3,-0.3333333333333333,1.775250729197189
is heavy,-2,3,0,-2,1,-1,-2,-1,1,-3,-3,-3,-1.0,1.9069251784911847
is imported,2,1,1,2,0,0,1,1,1,0,1,-3,0.5833333333333334,1.3113721705515065
is juicy,3,3,2,2,3,1,3,2,2,2,2,-3,1.8333333333333333,1.6422453217986943
is not eaten a lot in Belgium,-3,0,-2,1,-3,-1,0,-1,-2,-3,2,-3,-1.25,1.712255291076124
is nutricious,3,3,2,2,3,2,3,2,-1,3,3,3,2.3333333333333335,1.1547005383792517
is often eaten with rabbit,-1,1,2,1,-3,-1,0,0,3,-3,-2,-3,-0.5,2.0225995873897262
is orange inside,-1,2,0,-1,0,0,-1,-1,2,-3,1,-3,-0.4166666666666667,1.6213537179739277
is oval,0,3,0,1,1,-1,-1,-1,2,-3,1,-3,-0.08333333333333333,1.8319554050414562
is refreshing,2,2,3,2,3,1,3,1,0,2,3,-3,1.5833333333333333,1.729862492345632
is ripe in autumn,-1,2,2,1,-2,1,-1,0,1,0,-1,-3,-0.08333333333333333,1.5642792899510294
is round,1,3,0,-1,1,-1,0,-1,1,-3,2,-3,-0.08333333333333333,1.8319554050414562
is seasonal,2,3,3,1,3,2,3,1,0,3,2,2,2.0833333333333335,0.9962049198956219
is small (klein),0,1,0,-1,1,-1,-1,-1,1,-3,0,-3,-0.5833333333333334,1.378954368902449
is soft,1,3,1,-2,1,-1,1,1,0,-3,1,-3,0.0,1.8586407545691703
is sold in tins,-1,-3,0,1,3,0,1,2,0,-1,-2,-3,-0.25,1.864744681524183
is sour,2,-1,0,-1,1,1,0,1,2,-3,1,-3,0.0,1.7056057308448835
is tender,1,3,0,1,3,0,1,-1,1,-3,1,-3,0.3333333333333333,1.9227505550564006
is used to make Bounty,-3,-3,-2,-1,-3,-1,-3,-1,3,-3,0,-3,-1.6666666666666667,1.8257418583505538
is used with on fish,-3,0,-2,2,-2,-1,-3,-1,2,-3,0,-3,-1.1666666666666667,1.8504708655481243
is white,-3,-3,-1,-2,0,-1,-3,-1,2,-3,1,-3,-1.4166666666666667,1.729862492345632
it is flat,-2,1,0,-1,1,-1,0,-1,1,-3,-1,-3,-0.75,1.4222261679238197
kind of vegetable,-2,1,-3,-3,-3,-1,-3,-1,1,-3,0,2,-1.25,1.864744681524183
little bits of skin,-3,1,0,1,0,-2,1,1,1,-3,-1,-3,-0.5833333333333334,1.7298624923456323
little dots,-3,3,-2,-1,-3,-1,0,-1,0,-3,1,-3,-1.0833333333333333,1.8809249819912508
makes stains on clothes,1,-1,0,1,0,-1,-3,-1,1,1,-2,-3,-0.5833333333333334,1.5050420310248864
monkeys like to eat it,1,0,0,1,0,-1,-1,0,3,-3,0,1,0.08333333333333333,1.4433756729740643
must be peeled,0,3,1,2,2,0,2,-1,1,-3,2,-3,0.5,1.9771421064483223
needs a lot of sun to grow,1,1,2,2,3,0,2,1,1,1,2,-3,1.0833333333333333,1.5050420310248864
nice in coca cola,-3,0,-2,2,-3,-1,-3,-2,-3,-3,1,-3,-1.6666666666666667,1.775250729197189
nice in yoghurt,-1,0,2,-1,-1,0,2,2,-3,0,2,-3,-0.08333333333333333,1.8319554050414562
nice with sugar,-3,0,-2,1,0,0,1,2,0,-3,2,-3,-0.4166666666666667,1.880924981991251
not so well known here,-3,0,0,-2,-2,-2,-3,-1,-1,-3,-3,-3,-1.9166666666666667,1.164500152881315
