feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is practised by an orange ball,3,0,-3,-2,2,0,2,0,-1,2,1,0,0.3333333333333333,1.775250729197189
is practised by athletes,-3,1,-3,-1,2,1,2,0,2,1,1,0,0.25,1.764549903980152
is practised by both men and women,0,3,3,-1,3,3,3,3,1,2,3,3,2.1666666666666665,1.403458930534474
is practised by muscled men,-1,3,-2,1,1,2,2,3,0,1,-1,1,0.8333333333333334,1.5859229221975182
is practised by muscled people,-1,-3,-3,-2,-3,0,-2,0,-3,1,1,-3,-1.5,1.6236882817719773
is practised by pliant people,0,1,-2,-1,-3,1,1,-3,-2,-1,-1,0,-0.8333333333333334,1.4668044012461754
is practised by rich people,-3,0,-3,-2,-2,-2,1,0,-3,-2,-1,-2,-1.5833333333333333,1.3113721705515065
is practised by six players in a team,1,1,-1,-2,1,1,3,0,-2,1,1,0,0.3333333333333333,1.4354811251305468
is practised by slim people,-3,-2,-2,2,1,1,2,-3,-2,-2,-1,2,-0.5833333333333334,2.0207259421636903
is practised by smart people,0,-3,-2,-3,-3,-3,1,1,-2,-3,0,0,-1.4166666666666667,1.6764862244009227
is practised by snobs,-2,0,0,0,2,1,1,3,-2,2,1,2,0.6666666666666666,1.556997888323046
is practised by tall people,2,-3,-3,-2,1,-2,1,0,0,0,1,0,-0.4166666666666667,1.6764862244009224
is practised by two or four players,2,1,-3,-1,1,1,1,0,1,1,1,0,0.4166666666666667,1.3113721705515067
is practised by two or more players,-2,0,0,1,-1,1,1,0,-3,0,1,1,-0.08333333333333333,1.3113721705515065
is practised by two people,1,0,1,1,2,2,1,0,-1,0,0,1,0.6666666666666666,0.8876253645985945
is practised by two teams,-2,3,0,2,3,1,2,0,1,1,2,2,1.25,1.4222261679238197
is practised in a arena,2,1,-2,-3,1,1,3,0,2,1,1,0,0.5833333333333334,1.6764862244009227
is practised in a boxing ring,3,0,-3,-2,-2,1,-1,0,-2,1,0,-2,-0.5833333333333334,1.7298624923456323
is practised in a café,1,-3,-3,-1,3,1,1,0,-1,1,0,0,-0.08333333333333333,1.729862492345632
is practised in a closed room,2,1,-3,-2,1,0,3,0,2,1,1,0,0.5,1.6787441193290353
is practised in a club,2,2,1,2,2,2,1,3,1,2,2,3,1.9166666666666667,0.6685579234215215
is practised in a hall,1,0,-2,-3,-3,1,3,0,-3,1,0,0,-0.4166666666666667,1.928651593652148
is practised in a room with glass doors,3,1,1,0,2,2,2,0,-3,0,1,2,0.9166666666666666,1.5642792899510296
is practised in a room with red marking lines on the wall,3,1,-2,-1,2,1,3,0,0,2,1,1,0.9166666666666666,1.5050420310248864
is practised in a small room,-1,1,-3,-2,1,1,2,0,-1,1,-1,0,-0.16666666666666666,1.4668044012461754
is practised in a squashbox,3,0,-3,-2,1,1,3,0,1,1,1,0,0.5,1.7320508075688772
is practised in a stadium,-1,2,1,1,3,1,3,0,1,2,1,1,1.25,1.1381803659589922
is practised in a swimming pool,2,1,-2,1,-1,1,2,3,0,1,0,2,0.8333333333333334,1.403458930534474
is practised in countries like Austria and Suisse,2,-3,-3,-3,1,1,2,0,-2,1,1,0,-0.25,1.9598237397554634
is practised in good weather,-1,2,2,1,3,2,2,2,3,2,3,2,1.9166666666666667,1.0836246694508318
is practised in nature,0,0,-3,-1,-2,1,2,0,-2,1,1,0,-0.25,1.4847711791873706
is practised in pink clothing,-1,-2,-3,-1,1,1,3,0,-2,1,1,-2,-0.3333333333333333,1.775250729197189
is practised in the mountains,1,1,-3,-3,2,1,2,1,2,1,1,0,0.5,1.7320508075688772
is practised in the summer,1,2,0,2,2,0,1,0,-3,1,-1,1,0.5,1.4459976109624424
is practised in the winter,1,2,-2,-2,0,1,2,0,-2,1,0,0,0.08333333333333333,1.4433756729740643
is practised in the woods,1,-2,-3,-3,-2,1,2,0,-3,2,0,-1,-0.6666666666666666,1.9227505550564008
is practised in tight clothing,-1,1,-3,-2,1,1,1,0,1,1,1,0,0.08333333333333333,1.378954368902449
is practised indoor,-1,1,1,-1,1,2,2,0,-2,1,0,2,0.5,1.3142574813455419
is practised on a chessboard with white and black squares,2,-3,-3,-3,0,1,1,0,1,1,1,-2,-0.3333333333333333,1.8748737331221843
is practised on a field,0,2,1,1,3,2,2,0,2,1,1,2,1.4166666666666667,0.90033663737852
is practised on a field of grass,1,1,-2,-1,3,1,2,0,-1,1,1,2,0.6666666666666666,1.4354811251305468
is practised on a field with lines,1,2,1,0,3,2,2,0,2,1,2,0,1.3333333333333333,0.9847319278346619
is practised on a field with several holes,3,0,-3,-2,1,1,1,0,-1,1,1,-2,0.0,1.7056057308448835
is practised on a green table,2,-1,-2,-3,0,1,1,0,2,1,1,0,0.16666666666666666,1.5275252316519465
is practised on a green table with a net,2,0,-3,-3,2,1,3,0,1,1,1,-1,0.3333333333333333,1.874873733122184
is practised on a large field,1,2,-2,-1,3,1,2,1,1,1,1,2,1.0,1.348399724926484
