exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
lieveheersbeestje,15.0,7.0,5.0,13.0,15.0,14.0,14.0,9.0,15.0,15.0,20.0,7.0,16.0,5.0,16.0,11.0,16.0,17.0,12.0,14.0,12.0,11.0,15.0,12.0,13.0,8.0
luis,11.0,10.0,9.0,5.0,6.0,5.0,10.0,6.0,12.0,4.0,7.0,20.0,5.0,15.0,8.0,14.0,15.0,9.0,6.0,8.0,6.0,8.0,9.0,20.0,8.0,6.0
meikever,7.0,12.0,10.0,9.0,12.0,5.0,13.0,17.0,15.0,11.0,16.0,5.0,20.0,3.0,9.0,11.0,13.0,14.0,12.0,11.0,9.0,7.0,12.0,9.0,9.0,12.0
mier,16.0,7.0,7.0,15.0,7.0,6.0,4.0,12.0,2.0,4.0,5.0,15.0,3.0,20.0,5.0,5.0,6.0,9.0,14.0,11.0,5.0,12.0,6.0,8.0,8.0,10.0
mot,12.0,10.0,13.0,4.0,12.0,13.0,12.0,6.0,9.0,15.0,16.0,8.0,9.0,5.0,20.0,5.0,8.0,7.0,14.0,8.0,6.0,6.0,19.0,9.0,11.0,8.0
mug,7.0,16.0,13.0,8.0,14.0,6.0,6.0,9.0,12.0,14.0,11.0,14.0,11.0,5.0,5.0,20.0,7.0,12.0,6.0,14.0,8.0,16.0,7.0,12.0,14.0,6.0
oorworm,8.0,19.0,9.0,9.0,6.0,3.0,15.0,12.0,15.0,7.0,16.0,15.0,13.0,6.0,8.0,7.0,20.0,19.0,13.0,9.0,11.0,18.0,11.0,12.0,12.0,18.0
pissebed,10.0,14.0,6.0,19.0,7.0,5.0,15.0,17.0,10.0,11.0,17.0,9.0,14.0,9.0,7.0,12.0,19.0,20.0,16.0,13.0,10.0,8.0,12.0,12.0,4.0,13.0
rups,15.0,7.0,11.0,18.0,7.0,7.0,12.0,14.0,8.0,6.0,12.0,6.0,12.0,14.0,14.0,6.0,13.0,16.0,20.0,10.0,16.0,6.0,14.0,9.0,7.0,16.0
spin,5.0,7.0,7.0,7.0,7.0,5.0,13.0,8.0,12.0,6.0,14.0,8.0,11.0,11.0,8.0,14.0,9.0,13.0,10.0,20.0,5.0,6.0,6.0,11.0,13.0,8.0
sprinkhaan,4.0,6.0,13.0,12.0,7.0,8.0,9.0,7.0,14.0,14.0,12.0,6.0,9.0,5.0,6.0,8.0,11.0,10.0,16.0,5.0,20.0,9.0,13.0,6.0,12.0,7.0
vlieg,14.0,14.0,17.0,5.0,19.0,15.0,7.0,6.0,13.0,12.0,11.0,8.0,7.0,12.0,6.0,16.0,18.0,8.0,6.0,6.0,9.0,20.0,13.0,18.0,16.0,6.0
vlinder,16.0,6.0,12.0,14.0,12.0,11.0,7.0,11.0,6.0,15.0,15.0,9.0,12.0,6.0,19.0,7.0,11.0,12.0,14.0,6.0,13.0,13.0,20.0,4.0,13.0,6.0
vlo,11.0,12.0,10.0,6.0,8.0,10.0,6.0,8.0,11.0,5.0,12.0,20.0,9.0,8.0,9.0,12.0,12.0,12.0,9.0,11.0,6.0,18.0,4.0,20.0,8.0,5.0
wesp,17.0,16.0,13.0,7.0,9.0,17.0,6.0,5.0,11.0,13.0,13.0,8.0,9.0,8.0,11.0,14.0,12.0,4.0,7.0,13.0,12.0,16.0,13.0,8.0,20.0,6.0
worm,6.0,12.0,6.0,17.0,9.0,8.0,12.0,13.0,6.0,5.0,8.0,6.0,12.0,10.0,8.0,6.0,18.0,13.0,16.0,8.0,7.0,6.0,6.0,5.0,6.0,20.0
