exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
maïs,7.0,5.0,9.0,7.0,14.0,4.0,14.0,6.0,18.0,4.0,9.0,13.0,2.0,11.0,20.0,3.0,5.0,5.0,19.0,5.0,7.0,9.0,6.0,3.0,12.0,10.0,8.0,3.0,12.0,7.0
paprika,4.0,4.0,3.0,6.0,6.0,6.0,5.0,17.0,5.0,7.0,9.0,3.0,9.0,17.0,3.0,20.0,7.0,10.0,4.0,4.0,13.0,1.0,4.0,6.0,6.0,5.0,4.0,4.0,3.0,3.0
peterselie,12.0,2.0,7.0,1.0,8.0,14.0,3.0,6.0,4.0,5.0,11.0,4.0,8.0,12.0,5.0,7.0,20.0,7.0,1.0,5.0,5.0,2.0,9.0,1.0,9.0,7.0,8.0,13.0,5.0,5.0
prei,3.0,6.0,6.0,17.0,5.0,13.0,7.0,17.0,7.0,8.0,8.0,5.0,4.0,3.0,5.0,10.0,7.0,20.0,3.0,2.0,7.0,7.0,5.0,18.0,9.0,4.0,4.0,4.0,8.0,11.0
radijs,6.0,2.0,10.0,8.0,9.0,5.0,16.0,5.0,19.0,8.0,2.0,10.0,3.0,6.0,19.0,4.0,1.0,3.0,20.0,3.0,11.0,4.0,6.0,3.0,12.0,18.0,4.0,7.0,12.0,9.0
rode kool,10.0,4.0,5.0,4.0,8.0,2.0,5.0,2.0,3.0,14.0,2.0,1.0,10.0,4.0,5.0,4.0,5.0,2.0,3.0,20.0,3.0,5.0,2.0,5.0,2.0,4.0,10.0,2.0,5.0,4.0
schorseneren,6.0,5.0,4.0,6.0,11.0,2.0,7.0,7.0,5.0,7.0,10.0,4.0,3.0,1.0,7.0,13.0,5.0,7.0,11.0,3.0,20.0,4.0,7.0,10.0,1.0,10.0,10.0,6.0,12.0,6.0
selder,11.0,9.0,2.0,4.0,4.0,4.0,6.0,6.0,8.0,10.0,7.0,2.0,11.0,8.0,9.0,1.0,2.0,7.0,4.0,5.0,4.0,20.0,10.0,6.0,7.0,7.0,12.0,8.0,9.0,6.0
sla,10.0,7.0,7.0,6.0,6.0,7.0,12.0,7.0,6.0,10.0,5.0,6.0,6.0,4.0,6.0,4.0,9.0,5.0,6.0,2.0,7.0,10.0,20.0,7.0,5.0,6.0,13.0,9.0,14.0,4.0
spinazie,4.0,2.0,2.0,7.0,3.0,13.0,4.0,17.0,7.0,8.0,3.0,4.0,5.0,4.0,3.0,6.0,1.0,18.0,3.0,5.0,10.0,6.0,7.0,20.0,7.0,3.0,2.0,7.0,6.0,13.0
spruiten,8.0,7.0,15.0,10.0,11.0,2.0,5.0,9.0,8.0,9.0,6.0,6.0,8.0,7.0,12.0,6.0,9.0,9.0,12.0,2.0,1.0,7.0,5.0,7.0,20.0,10.0,3.0,8.0,12.0,19.0
tomaat,6.0,6.0,10.0,7.0,13.0,6.0,4.0,8.0,17.0,14.0,8.0,16.0,6.0,5.0,10.0,5.0,7.0,4.0,18.0,4.0,10.0,7.0,6.0,3.0,10.0,20.0,11.0,19.0,15.0,7.0
waterkers,7.0,10.0,3.0,2.0,4.0,5.0,4.0,2.0,7.0,15.0,9.0,8.0,5.0,16.0,8.0,4.0,8.0,4.0,4.0,10.0,10.0,12.0,13.0,2.0,3.0,11.0,20.0,12.0,6.0,6.0
witloof,6.0,12.0,2.0,5.0,9.0,3.0,7.0,8.0,7.0,14.0,18.0,4.0,6.0,6.0,3.0,4.0,13.0,4.0,7.0,2.0,6.0,8.0,9.0,7.0,8.0,19.0,12.0,20.0,3.0,3.0
witte kool,8.0,6.0,17.0,4.0,16.0,9.0,15.0,5.0,6.0,4.0,9.0,10.0,7.0,8.0,12.0,3.0,5.0,8.0,12.0,5.0,12.0,9.0,14.0,6.0,12.0,15.0,6.0,3.0,20.0,4.0
wortel,8.0,5.0,9.0,10.0,9.0,12.0,4.0,7.0,9.0,6.0,6.0,12.0,3.0,7.0,7.0,3.0,5.0,11.0,9.0,4.0,6.0,6.0,4.0,13.0,19.0,7.0,6.0,3.0,4.0,20.0
