exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
scooter (brommer),7.0,9.0,12.0,5.0,9.0,14.0,6.0,5.0,7.0,6.0,8.0,10.0,10.0,18.0,9.0,18.0,20.0,8.0,11.0,6.0,7.0,9.0,7.0,6.0,8.0,7.0,12.0,10.0,7.0,3.0
skateboard,3.0,8.0,6.0,4.0,8.0,3.0,8.0,8.0,12.0,3.0,4.0,4.0,16.0,6.0,11.0,10.0,8.0,20.0,10.0,2.0,6.0,7.0,6.0,7.0,4.0,6.0,6.0,6.0,4.0,5.0
sled,5.0,6.0,7.0,5.0,5.0,9.0,13.0,10.0,13.0,5.0,6.0,4.0,15.0,4.0,4.0,11.0,11.0,10.0,20.0,3.0,10.0,8.0,3.0,13.0,6.0,3.0,4.0,3.0,4.0,5.0
submarine,5.0,9.0,4.0,16.0,8.0,9.0,3.0,6.0,5.0,4.0,11.0,5.0,2.0,6.0,12.0,4.0,6.0,2.0,3.0,20.0,7.0,8.0,4.0,7.0,8.0,7.0,7.0,6.0,4.0,11.0
subway train,3.0,8.0,6.0,7.0,14.0,9.0,12.0,9.0,5.0,7.0,4.0,8.0,4.0,7.0,10.0,8.0,7.0,6.0,10.0,7.0,20.0,13.0,6.0,7.0,17.0,16.0,12.0,14.0,10.0,7.0
taxi,6.0,11.0,9.0,5.0,13.0,19.0,6.0,8.0,6.0,7.0,8.0,15.0,8.0,8.0,5.0,9.0,9.0,7.0,8.0,8.0,13.0,20.0,12.0,11.0,10.0,10.0,11.0,12.0,14.0,4.0
tractor,5.0,5.0,4.0,5.0,13.0,15.0,12.0,6.0,6.0,10.0,5.0,14.0,5.0,9.0,9.0,9.0,7.0,6.0,3.0,4.0,6.0,12.0,20.0,8.0,12.0,7.0,16.0,18.0,10.0,3.0
trailer,6.0,8.0,11.0,10.0,11.0,12.0,14.0,16.0,5.0,6.0,6.0,8.0,11.0,5.0,6.0,6.0,6.0,7.0,13.0,7.0,7.0,11.0,8.0,20.0,8.0,11.0,10.0,9.0,12.0,11.0
train,5.0,11.0,9.0,7.0,12.0,10.0,7.0,11.0,7.0,6.0,5.0,6.0,5.0,8.0,12.0,7.0,8.0,4.0,6.0,8.0,17.0,10.0,12.0,8.0,20.0,16.0,7.0,11.0,10.0,12.0
tram,4.0,6.0,4.0,7.0,13.0,11.0,7.0,10.0,5.0,8.0,8.0,7.0,7.0,8.0,10.0,10.0,7.0,6.0,3.0,7.0,16.0,10.0,7.0,11.0,16.0,20.0,11.0,12.0,8.0,5.0
truck (camion),7.0,10.0,6.0,9.0,17.0,15.0,11.0,12.0,9.0,4.0,10.0,15.0,6.0,14.0,10.0,4.0,12.0,6.0,4.0,7.0,12.0,11.0,16.0,10.0,7.0,11.0,20.0,20.0,17.0,7.0
truck (vrachtwagen),6.0,6.0,3.0,5.0,15.0,15.0,9.0,7.0,6.0,8.0,7.0,15.0,5.0,9.0,11.0,7.0,10.0,6.0,3.0,6.0,14.0,12.0,18.0,9.0,11.0,12.0,20.0,20.0,15.0,12.0
van,4.0,5.0,6.0,7.0,15.0,18.0,8.0,10.0,10.0,5.0,7.0,16.0,3.0,13.0,9.0,8.0,7.0,4.0,4.0,4.0,10.0,14.0,10.0,12.0,10.0,8.0,17.0,15.0,20.0,8.0
zeppelin,15.0,14.0,6.0,8.0,7.0,7.0,7.0,4.0,4.0,12.0,10.0,4.0,2.0,9.0,7.0,10.0,3.0,5.0,5.0,11.0,7.0,4.0,3.0,11.0,12.0,5.0,7.0,12.0,8.0,20.0
