exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
hovercraft,9.0,3.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0
jeep,1.0,1.0,1.0,1.0,7.0,16.0,2.0,1.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,18.0,2.0,3.0,2.0,2.0,6.0,16.0,6.0,2.0
kick scooter,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,20.0,1.0,1.0,4.0,2.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
motorbike (moto),1.0,1.0,15.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,20.0,2.0,16.0,16.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0
rocket,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,20.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,1.0
scooter (bromfiets),1.0,1.0,13.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,4.0,16.0,1.0,20.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
scooter (brommer),1.0,1.0,13.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,16.0,1.0,20.0,20.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0
skateboard,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,20.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sled,1.0,1.0,1.0,2.0,2.0,2.0,3.0,16.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,8.0,20.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,1.0
submarine,1.0,5.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
subway train,1.0,7.0,1.0,1.0,11.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,20.0,2.0,1.0,12.0,13.0,16.0,10.0,7.0,2.0,1.0
taxi,1.0,1.0,1.0,1.0,4.0,20.0,3.0,3.0,2.0,1.0,1.0,18.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,20.0,3.0,4.0,3.0,3.0,13.0,10.0,9.0,1.0
tractor,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,20.0,1.0,1.0,1.0,5.0,9.0,8.0,1.0
trailer,1.0,1.0,1.0,1.0,11.0,15.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,12.0,4.0,1.0,20.0,4.0,4.0,11.0,13.0,11.0,1.0
train,1.0,2.0,1.0,1.0,10.0,2.0,12.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,13.0,3.0,1.0,4.0,20.0,14.0,3.0,6.0,4.0,1.0
tram,1.0,1.0,1.0,1.0,13.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,16.0,3.0,1.0,4.0,14.0,20.0,7.0,1.0,3.0,1.0
truck (camion),1.0,1.0,1.0,1.0,11.0,16.0,5.0,2.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,13.0,5.0,11.0,3.0,7.0,20.0,15.0,14.0,1.0
truck (vrachtwagen),1.0,1.0,2.0,1.0,14.0,16.0,2.0,1.0,2.0,1.0,1.0,16.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,7.0,10.0,9.0,13.0,6.0,1.0,15.0,20.0,14.0,1.0
van,1.0,1.0,1.0,1.0,13.0,16.0,1.0,2.0,3.0,1.0,1.0,6.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,9.0,8.0,11.0,4.0,3.0,14.0,14.0,20.0,1.0
zeppelin,16.0,11.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,10.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
