exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
submarine,5.0,5.0,4.0,13.0,6.0,6.0,4.0,4.0,4.0,5.0,10.0,9.0,4.0,5.0,5.0,6.0,5.0,4.0,3.0,20.0,5.0,4.0,5.0,7.0,6.0,7.0,5.0,4.0,4.0,5.0
subway train,5.0,6.0,7.0,6.0,9.0,5.0,7.0,8.0,9.0,6.0,2.0,5.0,4.0,5.0,7.0,6.0,5.0,5.0,6.0,5.0,20.0,4.0,6.0,8.0,11.0,14.0,5.0,6.0,8.0,6.0
taxi,5.0,5.0,3.0,8.0,10.0,17.0,14.0,13.0,9.0,5.0,2.0,9.0,6.0,11.0,4.0,6.0,9.0,8.0,7.0,4.0,4.0,20.0,7.0,6.0,6.0,6.0,9.0,7.0,7.0,5.0
tractor,6.0,5.0,5.0,4.0,7.0,11.0,8.0,12.0,8.0,4.0,4.0,10.0,5.0,9.0,4.0,5.0,10.0,4.0,2.0,5.0,6.0,7.0,20.0,8.0,2.0,6.0,13.0,8.0,7.0,4.0
trailer,3.0,7.0,7.0,6.0,11.0,12.0,10.0,8.0,7.0,5.0,6.0,8.0,3.0,6.0,5.0,6.0,9.0,6.0,8.0,7.0,8.0,6.0,8.0,20.0,5.0,2.0,9.0,10.0,8.0,7.0
train,4.0,7.0,8.0,5.0,6.0,6.0,9.0,6.0,6.0,6.0,9.0,7.0,6.0,5.0,10.0,6.0,7.0,4.0,3.0,6.0,11.0,6.0,2.0,5.0,20.0,12.0,9.0,7.0,7.0,5.0
tram,6.0,7.0,6.0,3.0,10.0,6.0,11.0,7.0,8.0,5.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,7.0,14.0,6.0,6.0,2.0,12.0,20.0,7.0,7.0,6.0,6.0
truck (camion),7.0,5.0,5.0,6.0,12.0,10.0,5.0,9.0,7.0,5.0,5.0,12.0,3.0,4.0,3.0,9.0,7.0,4.0,6.0,5.0,5.0,9.0,13.0,9.0,9.0,7.0,20.0,20.0,16.0,6.0
truck (vrachtwagen),6.0,8.0,8.0,9.0,11.0,10.0,10.0,7.0,9.0,12.0,5.0,8.0,5.0,7.0,6.0,5.0,5.0,1.0,7.0,4.0,6.0,7.0,8.0,10.0,7.0,7.0,20.0,20.0,16.0,6.0
van,5.0,2.0,5.0,5.0,11.0,13.0,8.0,9.0,7.0,6.0,5.0,12.0,5.0,6.0,2.0,5.0,7.0,4.0,5.0,4.0,8.0,7.0,7.0,8.0,7.0,6.0,16.0,16.0,20.0,5.0
zeppelin,14.0,9.0,6.0,5.0,5.0,4.0,4.0,4.0,6.0,11.0,5.0,6.0,4.0,5.0,10.0,6.0,4.0,4.0,5.0,5.0,6.0,5.0,4.0,7.0,5.0,6.0,6.0,6.0,5.0,20.0
