feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
heeft groen loof,-1,2,0,3,3,2,0,3,-3,3,-1,1,1.0,2.0
heeft groene bladeren,-1,2,1,2,3,1,-3,1,-3,3,-2,3,0.5833333333333334,2.2746961169005466
heeft kleine blaadjes,-2,1,1,0,1,1,-3,-1,-3,-3,1,1,-0.5,1.7837651700316894
heeft loof,-2,1,2,2,2,1,-3,3,-3,3,-1,0,0.4166666666666667,2.1933093855190746
heeft nerven,-2,2,3,-1,-1,1,-3,-2,-3,-3,-2,-2,-1.0833333333333333,2.0207259421636903
heeft ogen,-2,-1,1,-1,-2,-2,-3,-3,-3,0,-3,-3,-1.8333333333333333,1.3371158468430429
heeft pitten,2,2,1,1,0,0,-3,1,-3,-3,0,0,-0.16666666666666666,1.8504708655481243
heeft punt,-2,-1,1,0,-1,-2,-3,-3,-3,-3,-1,-1,-1.5833333333333333,1.3113721705515065
heeft sporen,0,0,2,1,-1,-1,-3,1,-3,-3,-2,-2,-0.9166666666666666,1.7298624923456323
heeft verschillende lagen,-2,2,1,1,-2,1,-3,1,-3,0,2,2,0.0,1.954016841836789
heeft water nodig,0,3,2,2,3,1,0,-2,0,3,3,3,1.5,1.6787441193290353
heeft wortels,-2,1,1,1,0,2,0,2,-3,3,1,2,0.6666666666666666,1.7232808737106582
heeft zonlicht nodig om te groeien,1,2,1,3,3,2,3,1,1,3,2,2,2.0,0.8528028654224418
het is fris,2,3,-1,2,0,3,1,-3,-1,-3,-2,3,0.3333333333333333,2.3094010767585034
het is wit of groen,1,0,1,-1,1,1,-3,-3,-3,-3,0,2,-0.5833333333333334,1.928651593652148
het smaakt bitter,1,-1,0,0,1,1,-3,2,-3,-3,-1,0,-0.5,1.7320508075688772
hoort bij tomaten,1,2,-1,1,2,2,-3,1,-3,-3,-1,1,-0.08333333333333333,2.0207259421636903
in azijn bewaard,0,-1,-1,1,0,-2,-3,-3,-3,-1,0,2,-0.9166666666666666,1.6213537179739277
in de zomer,1,1,1,2,2,3,-3,-3,-3,-3,0,1,-0.08333333333333333,2.274696116900546
in het zuur,2,-1,-2,-1,0,-1,-3,-1,-3,0,0,-2,-1.0,1.4142135623730951
in kleine stukjes snijden,2,3,-2,2,3,3,-3,-3,-3,-3,1,3,0.25,2.7675062617979584
in schijfjes,2,2,-2,-1,2,2,-3,-3,-3,0,0,2,-0.16666666666666666,2.167249338901663
in sla,1,1,-3,2,1,3,-3,1,-3,-3,-2,-2,-0.5833333333333334,2.274696116900546
in spaghetti,3,2,-1,2,3,3,-3,-2,-3,0,-2,2,0.3333333333333333,2.424621182533032
"is ""boerenkost""",1,1,-2,1,2,3,0,1,-3,3,0,-2,0.4166666666666667,1.928651593652148
is Europees,-2,2,1,-1,1,2,-3,-3,-3,0,-1,2,-0.4166666666666667,2.0207259421636903
is dik,1,1,1,-1,0,0,-3,-3,-3,-3,0,1,-0.75,1.764549903980152
is dun,-2,1,0,-1,-2,1,-3,-3,-3,-3,0,0,-1.25,1.6025547785276542
