exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
garbage collector,5.0,5.0,8.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,20.0,8.0,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,1.0,7.0
information scientist,12.0,10.0,10.0,9.0,4.0,7.0,10.0,10.0,10.0,5.0,10.0,8.0,20.0,5.0,5.0,11.0,5.0,8.0,5.0,10.0,5.0,5.0,10.0,12.0,15.0,5.0,5.0,5.0,10.0,5.0
judge,10.0,10.0,10.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,20.0,14.0,10.0,11.0,5.0,10.0,10.0,5.0,10.0,5.0,5.0,5.0,9.0,5.0,5.0,5.0,2.0
lawyer,5.0,10.0,8.0,10.0,5.0,5.0,5.0,12.0,11.0,5.0,5.0,5.0,5.0,14.0,20.0,12.0,10.0,10.0,10.0,5.0,5.0,9.0,5.0,11.0,10.0,5.0,5.0,5.0,5.0,8.0
manager,10.0,10.0,5.0,10.0,5.0,7.0,5.0,5.0,5.0,5.0,11.0,5.0,11.0,10.0,12.0,20.0,10.0,5.0,8.0,5.0,5.0,10.0,15.0,5.0,10.0,7.0,5.0,10.0,12.0,7.0
minister,12.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,8.0,5.0,11.0,10.0,10.0,20.0,8.0,10.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,9.0,10.0,10.0
pharmacist,5.0,12.0,9.0,6.0,5.0,10.0,5.0,14.0,13.0,12.0,5.0,5.0,8.0,5.0,10.0,5.0,8.0,20.0,10.0,5.0,5.0,11.0,10.0,10.0,5.0,15.0,10.0,10.0,14.0,12.0
physiotherapist,5.0,10.0,5.0,10.0,5.0,5.0,5.0,10.0,12.0,8.0,5.0,5.0,5.0,10.0,10.0,8.0,10.0,10.0,20.0,10.0,5.0,5.0,5.0,12.0,5.0,10.0,5.0,5.0,10.0,12.0
pilot,10.0,6.0,5.0,15.0,8.0,5.0,5.0,5.0,12.0,5.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,10.0,20.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,18.0,8.0,10.0
plumber,5.0,5.0,11.0,11.0,5.0,5.0,5.0,5.0,5.0,5.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,20.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,5.0,5.0
police officer,5.0,7.0,15.0,15.0,10.0,7.0,5.0,8.0,10.0,8.0,10.0,5.0,5.0,10.0,9.0,10.0,10.0,11.0,5.0,10.0,5.0,20.0,5.0,5.0,12.0,10.0,7.0,10.0,5.0,12.0
postman,8.0,5.0,9.0,8.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,15.0,5.0,10.0,5.0,5.0,5.0,5.0,20.0,5.0,8.0,11.0,5.0,5.0,5.0,11.0
psychologist,5.0,10.0,9.0,5.0,8.0,5.0,5.0,5.0,12.0,16.0,5.0,5.0,12.0,5.0,11.0,5.0,5.0,10.0,12.0,5.0,5.0,5.0,5.0,20.0,10.0,10.0,5.0,10.0,5.0,10.0
secretary,10.0,10.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,10.0,5.0,5.0,15.0,5.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,12.0,8.0,10.0,20.0,12.0,10.0,8.0,10.0,4.0
shop-assistant,10.0,5.0,5.0,5.0,10.0,10.0,5.0,7.0,5.0,8.0,5.0,6.0,5.0,9.0,5.0,7.0,5.0,15.0,10.0,5.0,10.0,10.0,11.0,10.0,12.0,20.0,5.0,14.0,5.0,10.0
stallholder,10.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,7.0,5.0,5.0,10.0,5.0,20.0,5.0,5.0,7.0
stewardess,9.0,13.0,12.0,10.0,5.0,5.0,12.0,10.0,16.0,10.0,10.0,5.0,5.0,5.0,5.0,10.0,9.0,10.0,5.0,18.0,10.0,10.0,5.0,10.0,8.0,14.0,5.0,20.0,5.0,10.0
teacher,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,14.0,12.0,1.0,10.0,5.0,5.0,12.0,10.0,14.0,10.0,8.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,20.0,5.0
veterinarian,5.0,5.0,11.0,13.0,12.0,5.0,10.0,18.0,16.0,5.0,7.0,7.0,5.0,2.0,8.0,7.0,10.0,12.0,12.0,10.0,5.0,12.0,11.0,10.0,4.0,10.0,7.0,10.0,5.0,20.0
