exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
fireman,15.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,16.0,15.0,20.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,16.0,17.0,15.0,15.0,15.0,14.0,13.0,14.0,14.0,14.0
garbage collector,14.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,15.0,20.0,14.0,14.0,15.0,14.0,14.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,15.0,14.0,15.0,14.0
information scientist,15.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,20.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0
judge,13.0,16.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,20.0,15.0,16.0,15.0,15.0,15.0,15.0,14.0,16.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0
lawyer,15.0,14.0,16.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,14.0,15.0
manager,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,16.0,15.0,20.0,17.0,15.0,15.0,15.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,14.0,15.0,14.0
minister,15.0,14.0,15.0,16.0,14.0,14.0,15.0,15.0,16.0,14.0,15.0,14.0,15.0,15.0,15.0,17.0,20.0,15.0,14.0,15.0,12.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0
pharmacist,14.0,14.0,15.0,15.0,14.0,14.0,17.0,15.0,16.0,14.0,15.0,14.0,16.0,15.0,15.0,15.0,15.0,20.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0
physiotherapist,14.0,15.0,15.0,15.0,14.0,14.0,14.0,16.0,17.0,14.0,14.0,12.0,15.0,15.0,15.0,15.0,14.0,15.0,20.0,15.0,14.0,14.0,14.0,16.0,14.0,14.0,14.0,15.0,15.0,15.0
pilot,14.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0,16.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,14.0,14.0,14.0,15.0,14.0,13.0,14.0,15.0,14.0,16.0
plumber,15.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,15.0,14.0,16.0,15.0,14.0,14.0,15.0,14.0,12.0,15.0,14.0,14.0,20.0,15.0,15.0,14.0,13.0,15.0,14.0,15.0,15.0,15.0
police officer,15.0,15.0,14.0,14.0,16.0,15.0,15.0,15.0,14.0,12.0,17.0,15.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,20.0,17.0,16.0,17.0,14.0,15.0,14.0,15.0,14.0
postman,14.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,17.0,20.0,16.0,15.0,15.0,16.0,15.0,15.0,15.0
psychologist,14.0,14.0,15.0,15.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,16.0,15.0,14.0,16.0,16.0,20.0,14.0,14.0,15.0,15.0,16.0,15.0
secretary,15.0,15.0,15.0,14.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,14.0,14.0,15.0,14.0,14.0,13.0,17.0,15.0,14.0,20.0,17.0,15.0,14.0,15.0,16.0
shop-assistant,14.0,14.0,14.0,15.0,16.0,16.0,15.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,15.0,14.0,15.0,14.0,17.0,20.0,15.0,16.0,15.0,14.0
stallholder,14.0,14.0,14.0,14.0,15.0,16.0,15.0,14.0,14.0,14.0,13.0,15.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,15.0,15.0,15.0,20.0,14.0,14.0,14.0
stewardess,15.0,14.0,15.0,15.0,15.0,14.0,16.0,15.0,16.0,15.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,14.0,16.0,14.0,20.0,15.0,14.0
teacher,15.0,14.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,17.0,14.0,15.0,15.0,14.0,14.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,15.0,14.0,15.0,20.0,14.0
veterinarian,14.0,14.0,15.0,15.0,14.0,14.0,14.0,17.0,18.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,16.0,15.0,14.0,15.0,15.0,16.0,14.0,14.0,14.0,14.0,20.0
