exemplar,accountant,actor,archaeologist,architect,baker,butcher,cook,dentist,doctor,educator,fireman,garbage collector,information scientist,judge,lawyer,manager,minister,pharmacist,physiotherapist,pilot,plumber,police officer,postman,psychologist,secretary,shop-assistant,stallholder,stewardess,teacher,veterinarian
pharmacist,8.0,9.0,6.0,10.0,9.0,9.0,9.0,14.0,14.0,8.0,7.0,6.0,8.0,10.0,9.0,9.0,11.0,20.0,13.0,11.0,8.0,10.0,9.0,13.0,11.0,13.0,13.0,10.0,8.0,13.0
physiotherapist,8.0,10.0,9.0,12.0,9.0,6.0,8.0,12.0,15.0,7.0,9.0,8.0,7.0,9.0,10.0,10.0,7.0,13.0,20.0,10.0,8.0,10.0,7.0,14.0,9.0,6.0,9.0,10.0,8.0,13.0
pilot,8.0,10.0,9.0,13.0,8.0,8.0,7.0,10.0,13.0,9.0,6.0,5.0,11.0,11.0,13.0,11.0,11.0,11.0,10.0,20.0,6.0,12.0,10.0,12.0,10.0,6.0,6.0,17.0,10.0,8.0
plumber,9.0,8.0,6.0,8.0,11.0,9.0,8.0,7.0,4.0,9.0,12.0,12.0,6.0,7.0,6.0,9.0,6.0,8.0,8.0,6.0,20.0,9.0,12.0,7.0,9.0,10.0,7.0,8.0,10.0,7.0
police officer,9.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,10.0,12.0,11.0,6.0,10.0,11.0,13.0,10.0,9.0,10.0,10.0,12.0,9.0,20.0,12.0,9.0,9.0,6.0,12.0,9.0,10.0,8.0
postman,8.0,11.0,9.0,8.0,8.0,10.0,10.0,9.0,7.0,11.0,10.0,11.0,8.0,5.0,8.0,10.0,6.0,9.0,7.0,10.0,12.0,12.0,20.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0
psychologist,12.0,9.0,8.0,13.0,9.0,9.0,8.0,12.0,14.0,12.0,9.0,7.0,13.0,12.0,14.0,12.0,10.0,13.0,14.0,12.0,7.0,9.0,8.0,20.0,11.0,8.0,7.0,7.0,13.0,13.0
secretary,14.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,7.0,11.0,10.0,11.0,12.0,12.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0,20.0,11.0,11.0,12.0,11.0,8.0
shop-assistant,10.0,9.0,10.0,8.0,14.0,12.0,11.0,10.0,8.0,8.0,6.0,8.0,7.0,6.0,7.0,10.0,9.0,13.0,6.0,6.0,10.0,6.0,9.0,8.0,11.0,20.0,13.0,8.0,8.0,9.0
stallholder,10.0,8.0,7.0,9.0,13.0,11.0,10.0,8.0,6.0,7.0,6.0,11.0,8.0,6.0,4.0,9.0,5.0,13.0,9.0,6.0,7.0,12.0,9.0,7.0,11.0,13.0,20.0,9.0,9.0,8.0
stewardess,8.0,9.0,11.0,7.0,9.0,8.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,17.0,8.0,9.0,7.0,7.0,12.0,8.0,9.0,20.0,10.0,10.0
teacher,12.0,9.0,9.0,12.0,8.0,11.0,10.0,10.0,10.0,16.0,11.0,9.0,11.0,8.0,12.0,12.0,10.0,8.0,8.0,10.0,10.0,10.0,9.0,13.0,11.0,8.0,9.0,10.0,20.0,9.0
veterinarian,7.0,10.0,8.0,14.0,8.0,12.0,9.0,14.0,12.0,11.0,8.0,7.0,8.0,12.0,9.0,7.0,10.0,13.0,13.0,8.0,7.0,8.0,10.0,13.0,8.0,9.0,8.0,10.0,9.0,20.0
