exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
shot-put,2.0,1.0,13.0,8.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,9.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,20.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
skiing,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,11.0,1.0,8.0,5.0,1.0,2.0,1.0,2.0,1.0,1.0,20.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,5.0
soccer,4.0,5.0,3.0,5.0,1.0,2.0,2.0,1.0,1.0,3.0,10.0,12.0,1.0,7.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,8.0
sport fishing,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,20.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0
squash,15.0,4.0,12.0,3.0,3.0,2.0,2.0,1.0,4.0,10.0,5.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,14.0,17.0,3.0,4.0
surfing,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,14.0,1.0,5.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
swimming,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,8.0,1.0,3.0,1.0,2.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0
table tennis,11.0,3.0,3.0,1.0,3.0,6.0,1.0,1.0,8.0,4.0,1.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,14.0,1.0,1.0,20.0,17.0,5.0,2.0
tennis,13.0,5.0,6.0,5.0,2.0,6.0,2.0,1.0,10.0,2.0,6.0,5.0,1.0,9.0,2.0,1.0,4.0,5.0,2.0,2.0,1.0,5.0,1.0,17.0,1.0,1.0,17.0,20.0,14.0,2.0
volleyball,12.0,2.0,4.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,10.0,4.0,1.0,3.0,2.0,2.0,7.0,4.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,14.0,20.0,2.0
walking,2.0,3.0,2.0,3.0,1.0,4.0,2.0,1.0,5.0,16.0,6.0,2.0,6.0,4.0,2.0,2.0,4.0,15.0,2.0,2.0,5.0,8.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,20.0
