exemplar,badminton,ballet,baseball,basketball,billiards,boxing,chess,cycling,fencing,golfing,gymnastics,handball,horseback riding,ice hockey,judo,long jump,rugby,running,sailing,shot-put,skiing,soccer,sport fishing,squash,surfing,swimming,table tennis,tennis,volleyball,walking
long jump,2.0,5.0,2.0,10.0,2.0,11.0,2.0,3.0,6.0,4.0,8.0,9.0,3.0,4.0,4.0,20.0,8.0,9.0,3.0,9.0,5.0,11.0,3.0,6.0,3.0,2.0,3.0,5.0,4.0,6.0
rugby,2.0,2.0,18.0,5.0,2.0,16.0,7.0,2.0,3.0,4.0,3.0,6.0,3.0,15.0,9.0,8.0,20.0,8.0,6.0,6.0,6.0,7.0,2.0,2.0,2.0,3.0,6.0,7.0,7.0,12.0
running,4.0,4.0,8.0,6.0,3.0,11.0,1.0,5.0,4.0,3.0,5.0,9.0,11.0,10.0,9.0,9.0,8.0,20.0,5.0,10.0,6.0,8.0,3.0,5.0,6.0,6.0,3.0,5.0,5.0,11.0
sailing,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,8.0,8.0,4.0,4.0,3.0,6.0,5.0,3.0,6.0,5.0,20.0,2.0,4.0,6.0,13.0,5.0,19.0,17.0,2.0,4.0,3.0,6.0
shot-put,6.0,3.0,16.0,10.0,6.0,11.0,2.0,3.0,3.0,7.0,6.0,7.0,2.0,5.0,7.0,9.0,6.0,10.0,2.0,20.0,2.0,7.0,3.0,11.0,3.0,3.0,6.0,10.0,10.0,2.0
skiing,3.0,3.0,4.0,2.0,3.0,4.0,2.0,6.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,5.0,6.0,6.0,4.0,2.0,20.0,4.0,2.0,6.0,12.0,3.0,4.0,7.0,3.0,12.0
soccer,8.0,3.0,10.0,15.0,3.0,9.0,2.0,3.0,6.0,4.0,2.0,16.0,3.0,6.0,3.0,11.0,7.0,8.0,6.0,7.0,4.0,20.0,4.0,7.0,5.0,2.0,4.0,8.0,8.0,8.0
sport fishing,3.0,2.0,3.0,3.0,5.0,2.0,9.0,3.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,13.0,3.0,2.0,4.0,20.0,2.0,13.0,18.0,7.0,3.0,3.0,11.0
squash,15.0,2.0,17.0,5.0,5.0,4.0,4.0,3.0,6.0,14.0,4.0,3.0,3.0,4.0,7.0,6.0,2.0,5.0,5.0,11.0,6.0,7.0,2.0,20.0,3.0,5.0,11.0,19.0,7.0,12.0
surfing,5.0,5.0,3.0,6.0,5.0,2.0,4.0,3.0,3.0,6.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,6.0,19.0,3.0,12.0,5.0,13.0,3.0,20.0,16.0,5.0,3.0,3.0,4.0
swimming,8.0,4.0,3.0,3.0,8.0,2.0,2.0,3.0,2.0,4.0,8.0,3.0,3.0,11.0,3.0,2.0,3.0,6.0,17.0,3.0,3.0,2.0,18.0,5.0,16.0,20.0,3.0,3.0,4.0,4.0
table tennis,14.0,11.0,2.0,4.0,4.0,2.0,13.0,3.0,6.0,12.0,3.0,9.0,3.0,3.0,3.0,3.0,6.0,3.0,2.0,6.0,4.0,4.0,7.0,11.0,5.0,3.0,20.0,18.0,7.0,8.0
tennis,4.0,7.0,2.0,4.0,6.0,2.0,5.0,4.0,6.0,6.0,3.0,9.0,4.0,3.0,8.0,5.0,7.0,5.0,4.0,10.0,7.0,8.0,3.0,19.0,3.0,3.0,18.0,20.0,5.0,6.0
volleyball,6.0,9.0,13.0,9.0,4.0,2.0,2.0,3.0,4.0,3.0,8.0,14.0,3.0,5.0,6.0,4.0,7.0,5.0,3.0,10.0,3.0,8.0,3.0,7.0,3.0,4.0,7.0,5.0,20.0,3.0
walking,6.0,8.0,3.0,7.0,12.0,3.0,15.0,13.0,4.0,8.0,4.0,3.0,3.0,3.0,2.0,6.0,12.0,11.0,6.0,2.0,12.0,8.0,11.0,12.0,4.0,4.0,8.0,6.0,3.0,20.0
