exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
hammer,0.38,0.5233333333333333,0.4833333333333333,0.24615384615384617,0.39666666666666667,0.40384615384615385,0.29333333333333333,0.32222222222222224,0.3181818181818182,0.27999999999999997,1.0,0.31153846153846154,0.18,0.3888888888888889,0.33999999999999997,0.2909090909090909,0.25555555555555554,0.4,0.315,0.2681818181818182,0.21666666666666665,0.4333333333333333,0.31,0.365,0.4,0.4111111111111111,0.2,0.23076923076923075,0.31666666666666665,0.3458333333333333
knife,0.2357142857142857,0.55,0.42857142857142855,0.23928571428571427,0.4607142857142857,0.3607142857142857,0.28928571428571426,0.5611111111111111,0.5875,0.465,0.31153846153846154,1.0,0.33571428571428574,0.3944444444444445,0.335,0.15833333333333333,0.2833333333333333,0.34615384615384615,0.47000000000000003,0.39090909090909093,0.22777777777777777,0.5555555555555556,0.3,0.39,0.33999999999999997,0.3055555555555555,0.16666666666666669,0.19642857142857142,0.32222222222222224,0.31153846153846154
lawn mower,0.196875,0.29375,0.23125,0.18928571428571428,0.225,0.21785714285714283,0.35625,0.23888888888888887,0.17916666666666667,0.45499999999999996,0.18,0.33571428571428574,1.0,0.20555555555555555,0.155,0.2,0.17222222222222222,0.21538461538461537,0.305,0.4045454545454546,0.18333333333333332,0.21666666666666665,0.171875,0.25,0.315,0.22777777777777777,0.4611111111111111,0.37857142857142856,0.32222222222222224,0.21153846153846154
level,0.2777777777777778,0.29444444444444445,0.3555555555555555,0.31666666666666665,0.26666666666666666,0.3,0.36666666666666664,0.28888888888888886,0.5,0.2611111111111111,0.3888888888888889,0.3944444444444445,0.20555555555555555,1.0,0.28888888888888886,0.18888888888888888,0.31666666666666665,0.34444444444444444,0.28888888888888886,0.22222222222222224,0.24444444444444446,0.27222222222222225,0.3111111111111111,0.31666666666666665,0.27222222222222225,0.3111111111111111,0.23888888888888887,0.24444444444444446,0.26666666666666666,0.29444444444444445
nail,0.24,0.27,0.395,0.27,0.385,0.265,0.225,0.4166666666666667,0.26,0.335,0.33999999999999997,0.335,0.155,0.28888888888888886,1.0,0.27999999999999997,0.28888888888888886,0.32999999999999996,0.325,0.215,0.23888888888888887,0.2833333333333333,0.4,0.395,0.32999999999999996,0.2833333333333333,0.25,0.175,0.4111111111111111,0.40499999999999997
oil can,0.23333333333333334,0.2375,0.2125,0.22083333333333335,0.325,0.21666666666666665,0.20833333333333334,0.28888888888888886,0.25416666666666665,0.18,0.2909090909090909,0.15833333333333333,0.2,0.18888888888888888,0.27999999999999997,1.0,0.33333333333333337,0.175,0.26,0.2409090909090909,0.23888888888888887,0.20555555555555555,0.22083333333333335,0.25,0.22999999999999998,0.21666666666666665,0.2,0.17916666666666667,0.28888888888888886,0.25416666666666665
paint brush,0.25,0.26666666666666666,0.4111111111111111,0.3111111111111111,0.26666666666666666,0.28888888888888886,0.23333333333333334,0.31666666666666665,0.32222222222222224,0.25555555555555554,0.25555555555555554,0.2833333333333333,0.17222222222222222,0.31666666666666665,0.28888888888888886,0.33333333333333337,1.0,0.3055555555555555,0.28888888888888886,0.24444444444444446,0.24444444444444446,0.3055555555555555,0.26666666666666666,0.35,0.23333333333333334,0.3611111111111111,0.3,0.24444444444444446,0.5722222222222222,0.27222222222222225
pickaxe,0.27692307692307694,0.65,0.45,0.31153846153846154,0.5269230769230769,0.44230769230769235,0.2846153846153846,0.40555555555555556,0.39166666666666666,0.32,0.4,0.34615384615384615,0.21538461538461537,0.34444444444444444,0.32999999999999996,0.175,0.3055555555555555,1.0,0.315,0.44545454545454544,0.25,0.2611111111111111,0.31923076923076926,0.395,0.525,0.3111111111111111,0.22777777777777777,0.24230769230769228,0.3555555555555555,0.3
plane,0.35,0.33999999999999997,0.375,0.29,0.385,0.35,0.305,0.6611111111111111,0.43499999999999994,0.645,0.315,0.47000000000000003,0.305,0.28888888888888886,0.325,0.26,0.28888888888888886,0.315,1.0,0.315,0.23333333333333334,0.5111111111111111,0.35,0.40499999999999997,0.265,0.3277777777777778,0.2111111111111111,0.26,0.42777777777777776,0.34500000000000003
plough,0.30454545454545456,0.36818181818181817,0.3227272727272727,0.2363636363636364,0.30454545454545456,0.34545454545454546,0.2772727272727273,0.26666666666666666,0.3,0.315,0.2681818181818182,0.39090909090909093,0.4045454545454546,0.22222222222222224,0.215,0.2409090909090909,0.24444444444444446,0.44545454545454544,0.315,1.0,0.27222222222222225,0.3388888888888889,0.2681818181818182,0.29500000000000004,0.48,0.32222222222222224,0.24444444444444446,0.4545454545454546,0.31666666666666665,0.24545454545454545
rope,0.21666666666666665,0.25,0.22222222222222224,0.3055555555555555,0.2111111111111111,0.2111111111111111,0.2,0.24444444444444446,0.20555555555555555,0.25555555555555554,0.21666666666666665,0.22777777777777777,0.18333333333333332,0.24444444444444446,0.23888888888888887,0.23888888888888887,0.24444444444444446,0.25,0.23333333333333334,0.27222222222222225,1.0,0.2611111111111111,0.21666666666666665,0.22777777777777777,0.23333333333333334,0.2777777777777778,0.18333333333333332,0.21666666666666665,0.2611111111111111,0.3055555555555555
saw,0.25,0.35,0.3388888888888889,0.25555555555555554,0.32222222222222224,0.37222222222222223,0.3,0.4166666666666667,0.3111111111111111,0.49444444444444446,0.4333333333333333,0.5555555555555556,0.21666666666666665,0.27222222222222225,0.2833333333333333,0.20555555555555555,0.3055555555555555,0.2611111111111111,0.5111111111111111,0.3388888888888889,0.2611111111111111,1.0,0.31666666666666665,0.35,0.4111111111111111,0.32222222222222224,0.19444444444444445,0.25,0.4111111111111111,0.3
screw wrench (engelse sleutel),0.246875,0.271875,0.3875,0.33571428571428574,0.4125,0.3392857142857143,0.225,0.27222222222222225,0.3625,0.255,0.31,0.3,0.171875,0.3111111111111111,0.4,0.22083333333333335,0.26666666666666666,0.31923076923076926,0.35,0.2681818181818182,0.21666666666666665,0.31666666666666665,1.0,0.5549999999999999,0.275,0.5166666666666667,0.24444444444444446,0.2642857142857143,0.37777777777777777,0.5692307692307692
screwdriver,0.27,0.31,0.43,0.22000000000000003,0.38,0.395,0.43499999999999994,0.3555555555555555,0.315,0.325,0.365,0.39,0.25,0.31666666666666665,0.395,0.25,0.35,0.395,0.40499999999999997,0.29500000000000004,0.22777777777777777,0.35,0.5549999999999999,1.0,0.305,0.4111111111111111,0.22222222222222224,0.21000000000000002,0.33333333333333337,0.575
shovel,0.29,0.385,0.425,0.275,0.365,0.385,0.315,0.3555555555555555,0.42000000000000004,0.29,0.4,0.33999999999999997,0.315,0.27222222222222225,0.32999999999999996,0.22999999999999998,0.23333333333333334,0.525,0.265,0.48,0.23333333333333334,0.4111111111111111,0.275,0.305,1.0,0.3277777777777778,0.17777777777777776,0.28500000000000003,0.27222222222222225,0.27
tongs,0.33333333333333337,0.3555555555555555,0.37222222222222223,0.4666666666666667,0.5611111111111111,0.4222222222222222,0.25,0.26666666666666666,0.37222222222222223,0.3111111111111111,0.4111111111111111,0.3055555555555555,0.22777777777777777,0.3111111111111111,0.2833333333333333,0.21666666666666665,0.3611111111111111,0.3111111111111111,0.3277777777777778,0.32222222222222224,0.2777777777777778,0.32222222222222224,0.5166666666666667,0.4111111111111111,0.3277777777777778,1.0,0.23333333333333334,0.25,0.4166666666666667,0.4333333333333333
vacuum cleaner,0.24444444444444446,0.21666666666666665,0.18888888888888888,0.20555555555555555,0.18333333333333332,0.27222222222222225,0.38333333333333336,0.25,0.2611111111111111,0.3055555555555555,0.2,0.16666666666666669,0.4611111111111111,0.23888888888888887,0.25,0.2,0.3,0.22777777777777777,0.2111111111111111,0.24444444444444446,0.18333333333333332,0.19444444444444445,0.24444444444444446,0.22222222222222224,0.17777777777777776,0.23333333333333334,1.0,0.3111111111111111,0.25,0.17222222222222222
wheelbarrow,0.26071428571428573,0.19642857142857142,0.17857142857142858,0.20714285714285716,0.225,0.2571428571428572,0.2,0.23888888888888887,0.21666666666666665,0.275,0.23076923076923075,0.19642857142857142,0.37857142857142856,0.24444444444444446,0.175,0.17916666666666667,0.24444444444444446,0.24230769230769228,0.26,0.4545454545454546,0.21666666666666665,0.25,0.2642857142857143,0.21000000000000002,0.28500000000000003,0.25,0.3111111111111111,1.0,0.17777777777777776,0.21923076923076926
wire brush,0.2833333333333333,0.33333333333333337,0.42777777777777776,0.3055555555555555,0.3277777777777778,0.3944444444444445,0.24444444444444446,0.611111111111111,0.4222222222222222,0.4,0.31666666666666665,0.32222222222222224,0.32222222222222224,0.26666666666666666,0.4111111111111111,0.28888888888888886,0.5722222222222222,0.3555555555555555,0.42777777777777776,0.31666666666666665,0.2611111111111111,0.4111111111111111,0.37777777777777777,0.33333333333333337,0.27222222222222225,0.4166666666666667,0.25,0.17777777777777776,1.0,0.29444444444444445
wrench,0.25384615384615383,0.25384615384615383,0.3153846153846154,0.24615384615384617,0.3769230769230769,0.3153846153846154,0.23076923076923075,0.35,0.29166666666666663,0.315,0.3458333333333333,0.31153846153846154,0.21153846153846154,0.29444444444444445,0.40499999999999997,0.25416666666666665,0.27222222222222225,0.3,0.34500000000000003,0.24545454545454545,0.3055555555555555,0.3,0.5692307692307692,0.575,0.27,0.4333333333333333,0.17222222222222222,0.21923076923076926,0.29444444444444445,1.0
