exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
piranha,0.4166666666666667,0.5133333333333334,0.415625,0.2625,0.35333333333333333,0.3678571428571428,0.365625,0.396875,0.384375,0.421875,1.0,0.3142857142857143,0.39,0.371875,0.38,0.428125,0.3933333333333333,0.35,0.328125,0.45714285714285713,0.3566666666666667,0.5321428571428571,0.3875
plaice,0.48666666666666664,0.3933333333333333,0.48,0.3066666666666667,0.47333333333333333,0.73,0.4,0.44666666666666666,0.32333333333333336,0.52,0.3142857142857143,1.0,0.5966666666666667,0.45666666666666667,0.45,0.2966666666666667,0.61,0.39285714285714285,0.4066666666666666,0.41,0.36333333333333334,0.5666666666666667,0.32666666666666666
ray,0.44375,0.45384615384615384,0.509375,0.3375,0.440625,0.5666666666666667,0.315625,0.5125,0.284375,0.396875,0.39,0.5966666666666667,1.0,0.496875,0.39375,0.38125,0.54375,0.39642857142857146,0.334375,0.4166666666666667,0.3892857142857143,0.54375,0.365625
salmon,0.415625,0.559375,0.65,0.3529411764705882,0.44375,0.4428571428571429,0.36470588235294116,0.6125,0.3676470588235294,0.4794117647058823,0.371875,0.45666666666666667,0.496875,1.0,0.45625,0.3529411764705882,0.546875,0.321875,0.29411764705882354,0.47000000000000003,0.334375,0.621875,0.35
sardine,0.7875,0.45999999999999996,0.43125,0.28125,0.465625,0.4333333333333333,0.50625,0.60625,0.265625,0.3875,0.38,0.45,0.39375,0.45625,1.0,0.290625,0.440625,0.30333333333333334,0.3625,0.38333333333333336,0.32333333333333336,0.475,0.23125
shark,0.340625,0.346875,0.396875,0.5529411764705883,0.284375,0.33999999999999997,0.29117647058823526,0.34705882352941175,0.6764705882352942,0.4617647058823529,0.428125,0.2966666666666667,0.38125,0.3529411764705882,0.290625,1.0,0.340625,0.51,0.30588235294117644,0.38333333333333336,0.528125,0.384375,0.6088235294117647
sole,0.45,0.42333333333333334,0.565625,0.325,0.48125,0.6533333333333333,0.334375,0.54375,0.303125,0.5375,0.3933333333333333,0.61,0.54375,0.546875,0.440625,0.340625,1.0,0.36333333333333334,0.303125,0.42333333333333334,0.4133333333333334,0.625,0.334375
sperm whale,0.32333333333333336,0.39375,0.359375,0.521875,0.31666666666666665,0.37333333333333335,0.315625,0.3375,0.684375,0.38125,0.35,0.39285714285714285,0.39642857142857146,0.321875,0.30333333333333334,0.51,0.36333333333333334,1.0,0.403125,0.3933333333333333,0.478125,0.38333333333333336,0.7625
squid,0.240625,0.3125,0.29411764705882354,0.30588235294117644,0.3375,0.37666666666666665,0.27647058823529413,0.33235294117647063,0.3205882352941177,0.3676470588235294,0.328125,0.4066666666666666,0.334375,0.29411764705882354,0.3625,0.30588235294117644,0.303125,0.403125,1.0,0.2966666666666667,0.353125,0.28125,0.36176470588235293
stickleback,0.5133333333333334,0.6133333333333334,0.5566666666666666,0.37,0.4166666666666667,0.4766666666666667,0.45666666666666667,0.54,0.35,0.5733333333333334,0.45714285714285713,0.41,0.4166666666666667,0.47000000000000003,0.38333333333333336,0.38333333333333336,0.42333333333333334,0.3933333333333333,0.2966666666666667,1.0,0.47333333333333333,0.5466666666666666,0.35333333333333333
swordfish,0.32666666666666666,0.421875,0.39666666666666667,0.4375,0.35,0.4166666666666667,0.26875,0.35625,0.51875,0.475,0.3566666666666667,0.36333333333333334,0.3892857142857143,0.334375,0.32333333333333336,0.528125,0.4133333333333334,0.478125,0.353125,0.47333333333333333,1.0,0.4133333333333334,0.490625
trout,0.440625,0.6066666666666667,0.6599999999999999,0.403125,0.609375,0.51,0.396875,0.63125,0.4,0.609375,0.5321428571428571,0.5666666666666667,0.54375,0.621875,0.475,0.384375,0.625,0.38333333333333336,0.28125,0.5466666666666666,0.4133333333333334,1.0,0.321875
whale,0.29375,0.35,0.36176470588235293,0.6352941176470588,0.325,0.38333333333333336,0.34705882352941175,0.3176470588235294,0.8029411764705883,0.3588235294117647,0.3875,0.32666666666666666,0.365625,0.35,0.23125,0.6088235294117647,0.334375,0.7625,0.36176470588235293,0.35333333333333333,0.490625,0.321875,1.0
