exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
dokter,5.0,11.0,13.0,10.0,7.0,5.0,5.0,8.0,16.0,5.0,20.0,10.0,12.0,6.0,5.0,5.0,5.0,10.0,5.0,12.0,10.0,5.0,12.0,5.0,5.0,6.0,16.0,15.0,5.0,5.0
informaticus,10.0,5.0,8.0,10.0,9.0,4.0,12.0,10.0,5.0,11.0,10.0,20.0,5.0,10.0,10.0,5.0,5.0,5.0,5.0,10.0,5.0,10.0,12.0,5.0,15.0,7.0,5.0,10.0,8.0,5.0
kinesist,10.0,10.0,10.0,5.0,10.0,5.0,5.0,5.0,12.0,8.0,12.0,5.0,20.0,5.0,10.0,5.0,5.0,10.0,8.0,10.0,5.0,5.0,12.0,10.0,5.0,5.0,5.0,10.0,5.0,10.0
kok,5.0,5.0,5.0,5.0,8.0,15.0,5.0,5.0,10.0,5.0,6.0,10.0,5.0,20.0,5.0,5.0,10.0,5.0,10.0,5.0,5.0,5.0,5.0,10.0,6.0,15.0,12.0,5.0,6.0,5.0
leraar,10.0,5.0,14.0,10.0,10.0,5.0,10.0,12.0,5.0,12.0,5.0,10.0,10.0,5.0,20.0,5.0,5.0,10.0,14.0,8.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,1.0,5.0
loodgieter,5.0,5.0,5.0,11.0,11.0,5.0,5.0,12.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,10.0
marktkramer,5.0,5.0,10.0,5.0,5.0,5.0,10.0,5.0,7.0,5.0,5.0,5.0,5.0,10.0,5.0,5.0,20.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0
minister,12.0,10.0,8.0,5.0,5.0,5.0,12.0,5.0,10.0,10.0,10.0,5.0,10.0,5.0,10.0,5.0,5.0,20.0,5.0,5.0,10.0,5.0,5.0,11.0,10.0,5.0,9.0,5.0,8.0,5.0
opvoedster,10.0,5.0,12.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,10.0,14.0,5.0,5.0,5.0,20.0,5.0,8.0,5.0,16.0,5.0,10.0,5.0,10.0,5.0,5.0,8.0
piloot,6.0,5.0,5.0,5.0,15.0,8.0,10.0,5.0,10.0,5.0,12.0,10.0,10.0,5.0,8.0,10.0,5.0,5.0,5.0,20.0,10.0,5.0,5.0,10.0,5.0,5.0,18.0,5.0,5.0,5.0
politieagent,7.0,9.0,11.0,15.0,15.0,10.0,5.0,10.0,12.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,7.0,10.0,8.0,10.0,20.0,5.0,5.0,10.0,12.0,7.0,10.0,8.0,5.0,10.0
postbode,5.0,5.0,10.0,9.0,8.0,10.0,8.0,5.0,11.0,15.0,5.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,5.0,5.0,8.0,10.0,5.0,5.0,5.0,11.0
psycholoog,10.0,11.0,10.0,9.0,5.0,8.0,5.0,5.0,10.0,5.0,12.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,16.0,5.0,5.0,5.0,20.0,5.0,10.0,5.0,10.0,5.0,5.0,10.0
rechter,10.0,14.0,5.0,10.0,5.0,5.0,10.0,5.0,2.0,10.0,5.0,5.0,10.0,10.0,5.0,5.0,5.0,11.0,5.0,10.0,10.0,5.0,5.0,20.0,5.0,5.0,5.0,10.0,5.0,9.0
secretaresse,10.0,10.0,5.0,5.0,5.0,4.0,10.0,5.0,4.0,10.0,5.0,15.0,5.0,6.0,10.0,5.0,10.0,10.0,10.0,5.0,12.0,8.0,10.0,5.0,20.0,5.0,8.0,5.0,5.0,12.0
slager,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,5.0,7.0,6.0,7.0,5.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,10.0,5.0,5.0,5.0,20.0,5.0,8.0,5.0,10.0
stewardess,13.0,5.0,10.0,12.0,10.0,5.0,9.0,10.0,10.0,10.0,16.0,5.0,5.0,12.0,5.0,10.0,5.0,9.0,10.0,18.0,10.0,5.0,10.0,5.0,8.0,5.0,20.0,10.0,5.0,14.0
tandarts,10.0,12.0,14.0,10.0,5.0,6.0,5.0,5.0,18.0,5.0,15.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0,10.0,5.0,8.0,10.0,20.0,5.0,7.0
vuilnisman,5.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,8.0,5.0,6.0,1.0,5.0,5.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,20.0,6.0
winkelbediende,5.0,5.0,15.0,5.0,5.0,10.0,10.0,5.0,10.0,7.0,5.0,5.0,10.0,5.0,5.0,10.0,5.0,5.0,8.0,5.0,10.0,11.0,10.0,9.0,12.0,10.0,14.0,7.0,6.0,20.0
