exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
dokter,7.0,11.0,14.0,2.0,6.0,3.0,6.0,6.0,17.0,8.0,20.0,3.0,8.0,4.0,8.0,3.0,9.0,3.0,11.0,6.0,5.0,6.0,13.0,9.0,6.0,8.0,8.0,14.0,9.0,6.0
informaticus,7.0,8.0,4.0,8.0,11.0,3.0,13.0,7.0,6.0,12.0,3.0,20.0,3.0,4.0,5.0,8.0,4.0,6.0,6.0,17.0,8.0,6.0,7.0,7.0,10.0,3.0,6.0,7.0,3.0,6.0
kinesist,8.0,6.0,14.0,6.0,9.0,10.0,6.0,7.0,9.0,8.0,8.0,3.0,20.0,4.0,8.0,5.0,7.0,4.0,7.0,4.0,6.0,6.0,9.0,10.0,6.0,9.0,5.0,11.0,5.0,2.0
kok,5.0,8.0,6.0,3.0,3.0,16.0,4.0,4.0,5.0,6.0,4.0,4.0,4.0,20.0,6.0,3.0,5.0,6.0,9.0,4.0,5.0,6.0,4.0,8.0,8.0,11.0,7.0,5.0,5.0,8.0
leraar,6.0,4.0,5.0,6.0,4.0,7.0,5.0,8.0,6.0,12.0,8.0,5.0,8.0,6.0,20.0,6.0,8.0,3.0,17.0,6.0,4.0,8.0,11.0,3.0,7.0,6.0,7.0,4.0,5.0,5.0
loodgieter,6.0,6.0,5.0,6.0,5.0,9.0,5.0,8.0,5.0,6.0,3.0,8.0,5.0,3.0,6.0,20.0,4.0,6.0,7.0,6.0,5.0,6.0,5.0,2.0,8.0,8.0,7.0,2.0,9.0,6.0
marktkramer,15.0,4.0,8.0,3.0,5.0,8.0,6.0,5.0,6.0,6.0,9.0,4.0,7.0,5.0,8.0,4.0,20.0,12.0,8.0,3.0,4.0,7.0,13.0,4.0,9.0,5.0,8.0,4.0,6.0,12.0
minister,9.0,12.0,7.0,6.0,9.0,5.0,8.0,8.0,6.0,9.0,3.0,6.0,4.0,6.0,3.0,6.0,12.0,20.0,7.0,8.0,4.0,5.0,7.0,11.0,7.0,8.0,6.0,5.0,3.0,3.0
opvoedster,10.0,7.0,2.0,6.0,6.0,8.0,5.0,8.0,4.0,8.0,11.0,6.0,7.0,9.0,17.0,7.0,8.0,7.0,20.0,4.0,5.0,5.0,15.0,8.0,6.0,6.0,8.0,8.0,8.0,10.0
piloot,5.0,9.0,8.0,6.0,4.0,5.0,8.0,5.0,5.0,10.0,6.0,17.0,4.0,4.0,6.0,6.0,3.0,8.0,4.0,20.0,3.0,8.0,6.0,9.0,6.0,6.0,6.0,7.0,3.0,7.0
politieagent,4.0,11.0,5.0,3.0,3.0,3.0,5.0,8.0,6.0,6.0,5.0,8.0,6.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,20.0,6.0,9.0,6.0,5.0,6.0,9.0,7.0,7.0,3.0
postbode,9.0,6.0,6.0,9.0,4.0,6.0,8.0,7.0,9.0,6.0,6.0,6.0,6.0,6.0,8.0,6.0,7.0,5.0,5.0,8.0,6.0,20.0,4.0,6.0,11.0,8.0,9.0,6.0,8.0,6.0
psycholoog,12.0,11.0,13.0,8.0,7.0,8.0,4.0,9.0,8.0,10.0,13.0,7.0,9.0,4.0,11.0,5.0,13.0,7.0,15.0,6.0,9.0,4.0,20.0,12.0,4.0,8.0,4.0,5.0,4.0,6.0
rechter,5.0,16.0,7.0,4.0,8.0,5.0,11.0,6.0,8.0,11.0,9.0,7.0,10.0,8.0,3.0,2.0,4.0,11.0,8.0,9.0,6.0,6.0,12.0,20.0,8.0,4.0,5.0,3.0,3.0,6.0
secretaresse,4.0,7.0,7.0,8.0,4.0,4.0,8.0,9.0,6.0,10.0,6.0,10.0,6.0,8.0,7.0,8.0,9.0,7.0,6.0,6.0,5.0,11.0,4.0,8.0,20.0,6.0,12.0,8.0,3.0,12.0
slager,3.0,4.0,9.0,9.0,5.0,11.0,3.0,6.0,12.0,6.0,8.0,3.0,9.0,11.0,6.0,8.0,5.0,8.0,6.0,6.0,6.0,8.0,8.0,4.0,6.0,20.0,3.0,6.0,6.0,11.0
stewardess,6.0,9.0,9.0,9.0,5.0,6.0,5.0,3.0,4.0,6.0,8.0,6.0,5.0,7.0,7.0,7.0,8.0,6.0,8.0,6.0,9.0,9.0,4.0,5.0,12.0,3.0,20.0,7.0,6.0,10.0
tandarts,6.0,4.0,11.0,2.0,5.0,9.0,7.0,5.0,12.0,5.0,14.0,7.0,11.0,5.0,4.0,2.0,4.0,5.0,8.0,7.0,7.0,6.0,5.0,3.0,8.0,6.0,7.0,20.0,5.0,8.0
vuilnisman,6.0,7.0,3.0,4.0,5.0,2.0,6.0,8.0,7.0,5.0,9.0,3.0,5.0,5.0,5.0,9.0,6.0,3.0,8.0,3.0,7.0,8.0,4.0,3.0,3.0,6.0,6.0,5.0,20.0,8.0
winkelbediende,6.0,6.0,12.0,2.0,7.0,10.0,8.0,6.0,5.0,6.0,6.0,6.0,2.0,8.0,5.0,6.0,12.0,3.0,10.0,7.0,3.0,6.0,6.0,6.0,12.0,11.0,10.0,8.0,8.0,20.0
