exemplar,acteur,advocaat,apotheker,archeoloog,architect,bakker,boekhouder,brandweerman,dierenarts,directeur,dokter,informaticus,kinesist,kok,leraar,loodgieter,marktkramer,minister,opvoedster,piloot,politieagent,postbode,psycholoog,rechter,secretaresse,slager,stewardess,tandarts,vuilnisman,winkelbediende
dokter,10.0,14.0,13.0,11.0,11.0,7.0,11.0,11.0,15.0,13.0,20.0,11.0,12.0,6.0,12.0,7.0,6.0,12.0,11.0,12.0,10.0,6.0,15.0,11.0,11.0,7.0,7.0,14.0,7.0,7.0
informaticus,10.0,12.0,9.0,7.0,13.0,7.0,13.0,6.0,8.0,8.0,11.0,20.0,11.0,7.0,10.0,11.0,8.0,6.0,10.0,10.0,9.0,8.0,8.0,7.0,11.0,8.0,9.0,10.0,8.0,7.0
kinesist,7.0,11.0,12.0,12.0,12.0,9.0,10.0,8.0,13.0,11.0,12.0,11.0,20.0,9.0,11.0,7.0,6.0,11.0,14.0,6.0,9.0,9.0,12.0,11.0,10.0,6.0,9.0,13.0,7.0,8.0
kok,9.0,6.0,11.0,6.0,7.0,14.0,7.0,8.0,7.0,9.0,6.0,7.0,9.0,20.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,11.0,8.0,7.0,9.0,12.0,10.0,11.0,10.0,10.0
leraar,12.0,11.0,11.0,9.0,11.0,12.0,13.0,11.0,8.0,9.0,12.0,10.0,11.0,10.0,20.0,8.0,8.0,12.0,14.0,9.0,10.0,10.0,12.0,13.0,15.0,11.0,11.0,11.0,9.0,8.0
loodgieter,5.0,8.0,6.0,6.0,12.0,11.0,9.0,13.0,9.0,8.0,7.0,11.0,7.0,10.0,8.0,20.0,11.0,9.0,11.0,8.0,8.0,10.0,7.0,9.0,10.0,8.0,7.0,8.0,12.0,7.0
marktkramer,12.0,7.0,5.0,7.0,11.0,11.0,8.0,8.0,7.0,9.0,6.0,8.0,6.0,7.0,8.0,11.0,20.0,10.0,7.0,7.0,6.0,6.0,5.0,8.0,6.0,10.0,9.0,8.0,9.0,13.0
minister,11.0,13.0,11.0,8.0,13.0,7.0,7.0,10.0,13.0,13.0,12.0,6.0,11.0,7.0,12.0,9.0,10.0,20.0,10.0,11.0,9.0,9.0,14.0,14.0,11.0,7.0,8.0,11.0,4.0,9.0
opvoedster,11.0,11.0,11.0,11.0,11.0,10.0,11.0,6.0,11.0,10.0,11.0,10.0,14.0,7.0,14.0,11.0,7.0,10.0,20.0,7.0,7.0,9.0,13.0,12.0,11.0,5.0,11.0,10.0,8.0,9.0
piloot,12.0,11.0,12.0,5.0,11.0,11.0,10.0,12.0,7.0,11.0,12.0,10.0,6.0,7.0,9.0,8.0,7.0,11.0,7.0,20.0,13.0,15.0,6.0,11.0,9.0,8.0,14.0,8.0,9.0,8.0
politieagent,1.0,8.0,8.0,10.0,7.0,8.0,11.0,14.0,8.0,8.0,10.0,9.0,9.0,7.0,10.0,8.0,6.0,9.0,7.0,13.0,20.0,12.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,10.0
postbode,8.0,10.0,7.0,9.0,8.0,11.0,8.0,12.0,8.0,8.0,6.0,8.0,9.0,11.0,10.0,10.0,6.0,9.0,9.0,15.0,12.0,20.0,6.0,6.0,13.0,12.0,7.0,10.0,11.0,11.0
psycholoog,12.0,14.0,12.0,13.0,14.0,10.0,11.0,6.0,14.0,12.0,15.0,8.0,12.0,8.0,12.0,7.0,5.0,14.0,13.0,6.0,8.0,6.0,20.0,14.0,9.0,8.0,11.0,12.0,7.0,7.0
rechter,11.0,15.0,12.0,12.0,13.0,7.0,12.0,8.0,14.0,14.0,11.0,7.0,11.0,7.0,13.0,9.0,8.0,14.0,12.0,11.0,7.0,6.0,14.0,20.0,9.0,7.0,8.0,11.0,8.0,6.0
secretaresse,5.0,8.0,5.0,7.0,9.0,8.0,12.0,4.0,8.0,14.0,11.0,11.0,10.0,9.0,15.0,10.0,6.0,11.0,11.0,9.0,8.0,13.0,9.0,9.0,20.0,8.0,12.0,7.0,7.0,11.0
slager,6.0,6.0,6.0,7.0,8.0,12.0,9.0,8.0,9.0,5.0,7.0,8.0,6.0,12.0,11.0,8.0,10.0,7.0,5.0,8.0,8.0,12.0,8.0,7.0,8.0,20.0,5.0,8.0,7.0,14.0
stewardess,8.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,7.0,9.0,9.0,10.0,11.0,7.0,9.0,8.0,11.0,14.0,8.0,7.0,11.0,8.0,12.0,5.0,20.0,8.0,8.0,7.0
tandarts,9.0,11.0,14.0,12.0,13.0,8.0,11.0,8.0,13.0,11.0,14.0,10.0,13.0,11.0,11.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,12.0,11.0,7.0,8.0,8.0,20.0,8.0,11.0
vuilnisman,7.0,6.0,6.0,10.0,5.0,8.0,8.0,14.0,8.0,5.0,7.0,8.0,7.0,10.0,9.0,12.0,9.0,4.0,8.0,9.0,9.0,11.0,7.0,8.0,7.0,7.0,8.0,8.0,20.0,8.0
winkelbediende,11.0,8.0,12.0,7.0,7.0,14.0,11.0,10.0,7.0,7.0,7.0,7.0,8.0,10.0,8.0,7.0,13.0,9.0,9.0,8.0,10.0,11.0,7.0,6.0,11.0,14.0,7.0,11.0,8.0,20.0
