exemplar,anvil,axe,chisel,clamp,crowbar (breekijzer),crowbar (koevoet),drill,file,filling knife,grinding disc,hammer,knife,lawn mower,level,nail,oil can,paint brush,pickaxe,plane,plough,rope,saw,screw wrench (engelse sleutel),screwdriver,shovel,tongs,vacuum cleaner,wheelbarrow,wire brush,wrench
rope,14.0,14.0,15.0,15.0,13.0,14.0,13.0,15.0,13.0,14.0,14.0,15.0,15.0,15.0,13.0,15.0,15.0,15.0,15.0,15.0,20.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0,15.0,15.0
saw,15.0,14.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,14.0,16.0,16.0,14.0,15.0,13.0,15.0,14.0,15.0,17.0,15.0,14.0,20.0,14.0,15.0,15.0,16.0,14.0,14.0,15.0,15.0
screw wrench (engelse sleutel),15.0,16.0,16.0,15.0,17.0,15.0,14.0,14.0,16.0,14.0,16.0,16.0,15.0,15.0,15.0,15.0,14.0,15.0,14.0,14.0,14.0,14.0,20.0,17.0,14.0,17.0,14.0,15.0,15.0,19.0
screwdriver,15.0,15.0,16.0,15.0,16.0,15.0,15.0,16.0,15.0,14.0,16.0,16.0,14.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,17.0,20.0,15.0,15.0,14.0,14.0,15.0,15.0
shovel,16.0,16.0,16.0,15.0,16.0,16.0,15.0,15.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,15.0,16.0,16.0,15.0,15.0,14.0,15.0,14.0,15.0,20.0,15.0,14.0,15.0,13.0,14.0
tongs,15.0,16.0,17.0,16.0,16.0,15.0,14.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,14.0,16.0,17.0,15.0,15.0,20.0,14.0,15.0,15.0,16.0
vacuum cleaner,15.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,20.0,14.0,14.0,14.0
wheelbarrow,14.0,15.0,14.0,15.0,15.0,16.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,16.0,15.0,14.0,15.0,14.0,15.0,15.0,14.0,20.0,15.0,15.0
wire brush,15.0,15.0,15.0,15.0,14.0,15.0,14.0,17.0,15.0,14.0,15.0,16.0,14.0,15.0,15.0,16.0,18.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,14.0,15.0,20.0,15.0
wrench,16.0,15.0,17.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,14.0,14.0,15.0,15.0,15.0,14.0,16.0,14.0,15.0,15.0,19.0,15.0,14.0,16.0,14.0,15.0,15.0,20.0
