exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
koevoet,0.29705882352941176,0.5361111111111111,0.4722222222222222,0.3205882352941177,0.7470588235294118,0.4,0.19166666666666668,0.43888888888888894,0.275,0.47777777777777775,1.0,0.21388888888888888,0.3944444444444445,0.384375,0.19,0.3264705882352941,0.3088235294117647,0.3392857142857143,0.3472222222222222,0.40555555555555556,0.29444444444444445,0.25833333333333336,0.284375,0.2,0.42058823529411765,0.14444444444444443,0.25833333333333336,0.33055555555555555,0.2694444444444445,0.3138888888888889
kruiwagen,0.23529411764705882,0.17777777777777776,0.18611111111111112,0.175,0.20588235294117646,0.2323529411764706,0.40555555555555556,0.18888888888888888,0.20714285714285716,0.20833333333333334,0.21388888888888888,1.0,0.1638888888888889,0.190625,0.15666666666666668,0.19411764705882353,0.38529411764705884,0.225,0.24166666666666664,0.16666666666666669,0.2,0.12777777777777777,0.14375,0.30277777777777776,0.17222222222222222,0.14444444444444443,0.17777777777777776,0.1638888888888889,0.175,0.18055555555555555
mes,0.2088235294117647,0.5,0.5972222222222222,0.3055555555555555,0.45588235294117646,0.29705882352941176,0.3055555555555555,0.28888888888888886,0.23928571428571427,0.37222222222222223,0.3944444444444445,0.1638888888888889,1.0,0.3,0.13666666666666666,0.5852941176470587,0.4176470588235294,0.5035714285714286,0.29166666666666663,0.4611111111111111,0.43611111111111106,0.33611111111111114,0.2676470588235294,0.13333333333333333,0.3277777777777778,0.15,0.21944444444444447,0.6,0.25555555555555554,0.5777777777777777
moersleutel,0.23666666666666666,0.35625,0.24375,0.25,0.390625,0.63125,0.190625,0.3125,0.24615384615384617,0.26666666666666666,0.384375,0.190625,0.3,1.0,0.22857142857142856,0.303125,0.2033333333333333,0.29230769230769227,0.2375,0.5633333333333334,0.240625,0.346875,0.28214285714285714,0.146875,0.47000000000000003,0.20625,0.25625,0.33125,0.225,0.2375
oliespuit,0.2033333333333333,0.18333333333333332,0.2,0.18,0.28928571428571426,0.20714285714285716,0.18666666666666668,0.23333333333333334,0.22083333333333335,0.15333333333333335,0.19,0.15666666666666668,0.13666666666666666,0.22857142857142856,1.0,0.24285714285714283,0.21071428571428572,0.23076923076923075,0.21666666666666665,0.21000000000000002,0.14333333333333334,0.21666666666666665,0.21428571428571427,0.15333333333333335,0.16999999999999998,0.17333333333333334,0.22999999999999998,0.21000000000000002,0.15666666666666668,0.15666666666666668
plamuurmes,0.20625,0.5117647058823529,0.3235294117647059,0.25882352941176473,0.38823529411764707,0.38529411764705884,0.15294117647058822,0.2676470588235294,0.275,0.4617647058823529,0.3264705882352941,0.19411764705882353,0.5852941176470587,0.303125,0.24285714285714283,1.0,0.25,0.39285714285714285,0.40294117647058825,0.3382352941176471,0.30588235294117644,0.25,0.32999999999999996,0.2,0.30588235294117644,0.14705882352941177,0.37058823529411766,0.45,0.3588235294117647,0.2852941176470588
ploeg,0.25,0.3029411764705882,0.37058823529411766,0.2323529411764706,0.29333333333333333,0.23125,0.44411764705882356,0.22058823529411767,0.2230769230769231,0.4147058823529412,0.3088235294117647,0.38529411764705884,0.4176470588235294,0.2033333333333333,0.21071428571428572,0.25,1.0,0.3153846153846154,0.4970588235294118,0.23823529411764705,0.26176470588235295,0.1911764705882353,0.2733333333333333,0.22058823529411767,0.24705882352941178,0.17941176470588235,0.17352941176470588,0.21176470588235294,0.16470588235294117,0.3
schaaf,0.28928571428571426,0.4115384615384615,0.35714285714285715,0.2857142857142857,0.3892857142857143,0.28928571428571426,0.325,0.2785714285714286,0.26666666666666666,0.2833333333333333,0.3392857142857143,0.225,0.5035714285714286,0.29230769230769227,0.23076923076923075,0.39285714285714285,0.3153846153846154,1.0,0.24285714285714283,0.33571428571428574,0.6071428571428571,0.30714285714285716,0.4576923076923077,0.2357142857142857,0.2857142857142857,0.18333333333333332,0.24285714285714283,0.625,0.3,0.4769230769230769
schop,0.2235294117647059,0.3861111111111111,0.35833333333333334,0.2638888888888889,0.31470588235294117,0.22941176470588234,0.25833333333333336,0.30833333333333335,0.24285714285714283,0.4444444444444445,0.3472222222222222,0.24166666666666664,0.29166666666666663,0.2375,0.21666666666666665,0.40294117647058825,0.4970588235294118,0.24285714285714283,1.0,0.25277777777777777,0.27222222222222225,0.2861111111111111,0.240625,0.2111111111111111,0.22777777777777777,0.15277777777777776,0.18611111111111112,0.29444444444444445,0.18333333333333332,0.2833333333333333
schroevendraaier,0.21470588235294116,0.4916666666666667,0.2638888888888889,0.3861111111111111,0.42058823529411765,0.5323529411764706,0.20555555555555555,0.3055555555555555,0.19285714285714287,0.38055555555555554,0.40555555555555556,0.16666666666666669,0.4611111111111111,0.5633333333333334,0.21000000000000002,0.3382352941176471,0.23823529411764705,0.33571428571428574,0.25277777777777777,1.0,0.25555555555555554,0.37222222222222223,0.25625,0.16944444444444445,0.33611111111111114,0.15277777777777776,0.3055555555555555,0.37777777777777777,0.225,0.23888888888888887
