exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
mug,15.0,1.0,,1.0,17.0,1.0,1.0,1.0,1.0,12.0,13.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,19.0,10.0,1.0,14.0,1.0
oorworm,1.0,1.0,,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,5.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0
pissebed,1.0,14.0,,12.0,1.0,1.0,15.0,15.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,5.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rups,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,16.0
spin,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,3.0,1.0,1.0,1.0,1.0
sprinkhaan,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0
vlieg,11.0,1.0,,1.0,17.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,19.0,1.0,1.0,1.0,3.0,1.0,20.0,17.0,1.0,14.0,1.0
vlinder,1.0,20.0,,1.0,1.0,1.0,1.0,1.0,1.0,18.0,12.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,17.0,20.0,1.0,1.0,1.0
vlo,1.0,1.0,,1.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0
wesp,19.0,1.0,,1.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,20.0,1.0
worm,1.0,1.0,,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
