exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
mier,8.0,16.0,,11.0,9.0,13.0,8.0,18.0,8.0,8.0,16.0,16.0,12.0,20.0,3.0,14.0,16.0,3.0,14.0,16.0,9.0,11.0,11.0,14.0,13.0,9.0
mot,11.0,2.0,,2.0,16.0,16.0,14.0,11.0,7.0,5.0,3.0,3.0,16.0,3.0,20.0,16.0,3.0,15.0,6.0,12.0,3.0,16.0,18.0,10.0,9.0,7.0
mug,19.0,9.0,,6.0,16.0,13.0,14.0,16.0,6.0,17.0,16.0,17.0,5.0,14.0,16.0,20.0,3.0,14.0,6.0,9.0,9.0,19.0,15.0,15.0,16.0,3.0
oorworm,12.0,2.0,,16.0,3.0,8.0,6.0,16.0,6.0,16.0,2.0,3.0,4.0,16.0,3.0,3.0,20.0,13.0,14.0,9.0,16.0,14.0,2.0,7.0,16.0,13.0
pissebed,9.0,11.0,,11.0,13.0,13.0,2.0,7.0,14.0,13.0,11.0,3.0,11.0,3.0,15.0,14.0,13.0,20.0,14.0,18.0,16.0,14.0,13.0,4.0,8.0,11.0
rups,2.0,2.0,,19.0,8.0,12.0,6.0,9.0,14.0,16.0,9.0,14.0,13.0,14.0,6.0,6.0,14.0,14.0,20.0,3.0,10.0,6.0,3.0,3.0,16.0,17.0
spin,14.0,2.0,,17.0,13.0,12.0,2.0,11.0,6.0,13.0,2.0,15.0,7.0,16.0,12.0,9.0,9.0,18.0,3.0,20.0,12.0,13.0,3.0,2.0,11.0,2.0
sprinkhaan,11.0,3.0,,7.0,9.0,14.0,9.0,16.0,18.0,16.0,8.0,6.0,14.0,9.0,3.0,9.0,16.0,16.0,10.0,12.0,20.0,15.0,3.0,6.0,10.0,5.0
vlieg,18.0,6.0,,6.0,19.0,18.0,3.0,16.0,14.0,16.0,16.0,10.0,17.0,11.0,16.0,19.0,14.0,14.0,6.0,13.0,15.0,20.0,16.0,13.0,18.0,3.0
vlinder,6.0,2.0,,13.0,14.0,15.0,10.0,8.0,2.0,16.0,11.0,3.0,16.0,11.0,18.0,15.0,2.0,13.0,3.0,3.0,3.0,16.0,20.0,3.0,10.0,3.0
vlo,10.0,17.0,,13.0,17.0,13.0,14.0,9.0,2.0,3.0,11.0,18.0,2.0,14.0,10.0,15.0,7.0,4.0,3.0,2.0,6.0,13.0,3.0,20.0,3.0,3.0
wesp,19.0,6.0,,16.0,17.0,19.0,6.0,14.0,13.0,18.0,11.0,3.0,16.0,13.0,9.0,16.0,16.0,8.0,16.0,11.0,10.0,18.0,10.0,3.0,20.0,5.0
worm,3.0,3.0,,3.0,5.0,2.0,3.0,3.0,5.0,16.0,2.0,5.0,6.0,9.0,7.0,3.0,13.0,11.0,17.0,2.0,5.0,3.0,3.0,3.0,5.0,20.0
