exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
erwten,2.0,1.0,10.0,3.0,13.0,4.0,7.0,17.0,5.0,5.0,20.0,15.0,9.0,2.0,15.0,2.0,5.0,3.0,14.0,15.0,6.0,4.0,3.0,15.0,19.0,3.0,4.0,6.0,5.0,8.0
kervel,2.0,5.0,9.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,15.0,20.0,11.0,3.0,3.0,2.0,5.0,8.0,6.0,4.0,11.0,15.0,4.0,6.0,6.0,1.0,18.0,4.0,5.0,6.0
komkommer,3.0,3.0,11.0,18.0,15.0,6.0,3.0,15.0,2.0,19.0,9.0,11.0,20.0,1.0,10.0,6.0,7.0,9.0,1.0,4.0,2.0,6.0,8.0,3.0,5.0,3.0,6.0,11.0,2.0,4.0
look,1.0,17.0,3.0,5.0,2.0,15.0,2.0,4.0,4.0,3.0,2.0,3.0,1.0,20.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,1.0,5.0,2.0,6.0,3.0
maïs,5.0,4.0,5.0,9.0,6.0,11.0,3.0,4.0,2.0,6.0,15.0,3.0,10.0,3.0,20.0,2.0,4.0,9.0,5.0,2.0,5.0,2.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0
paprika,5.0,9.0,4.0,15.0,5.0,12.0,3.0,4.0,3.0,2.0,2.0,2.0,6.0,4.0,2.0,20.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,11.0,5.0,9.0,12.0,2.0,4.0,3.0
peterselie,1.0,6.0,9.0,6.0,2.0,15.0,5.0,6.0,2.0,5.0,5.0,5.0,7.0,4.0,4.0,2.0,20.0,12.0,6.0,3.0,3.0,9.0,4.0,1.0,5.0,3.0,3.0,4.0,2.0,8.0
prei,2.0,4.0,14.0,8.0,5.0,5.0,2.0,4.0,1.0,8.0,3.0,8.0,9.0,3.0,9.0,4.0,12.0,20.0,5.0,5.0,6.0,17.0,4.0,3.0,11.0,5.0,9.0,3.0,4.0,4.0
radijs,3.0,2.0,5.0,2.0,6.0,18.0,11.0,5.0,13.0,4.0,14.0,6.0,1.0,3.0,5.0,3.0,6.0,5.0,20.0,6.0,2.0,8.0,3.0,5.0,14.0,6.0,15.0,4.0,6.0,5.0
rode kool,6.0,5.0,4.0,16.0,10.0,19.0,13.0,8.0,5.0,4.0,15.0,4.0,4.0,1.0,2.0,4.0,3.0,5.0,6.0,20.0,2.0,5.0,3.0,10.0,17.0,10.0,4.0,3.0,19.0,4.0
schorseneren,1.0,2.0,17.0,4.0,15.0,5.0,3.0,9.0,13.0,16.0,6.0,11.0,2.0,1.0,5.0,3.0,3.0,6.0,2.0,2.0,20.0,7.0,1.0,5.0,4.0,4.0,2.0,6.0,5.0,4.0
selder,2.0,5.0,9.0,4.0,4.0,8.0,6.0,6.0,8.0,6.0,4.0,15.0,6.0,4.0,2.0,4.0,9.0,17.0,8.0,5.0,7.0,20.0,8.0,11.0,7.0,7.0,8.0,6.0,14.0,17.0
sla,1.0,5.0,1.0,2.0,5.0,1.0,2.0,1.0,1.0,5.0,3.0,4.0,8.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,8.0,20.0,3.0,6.0,4.0,5.0,6.0,6.0,2.0
spinazie,1.0,4.0,5.0,5.0,12.0,6.0,4.0,15.0,14.0,4.0,15.0,6.0,3.0,4.0,4.0,11.0,1.0,3.0,5.0,10.0,5.0,11.0,3.0,20.0,8.0,4.0,4.0,4.0,4.0,3.0
spruiten,5.0,3.0,6.0,2.0,12.0,16.0,8.0,5.0,1.0,2.0,19.0,6.0,5.0,3.0,4.0,5.0,5.0,11.0,14.0,17.0,4.0,7.0,6.0,8.0,20.0,18.0,5.0,2.0,14.0,8.0
tomaat,3.0,4.0,2.0,5.0,4.0,5.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,9.0,3.0,5.0,6.0,10.0,4.0,7.0,4.0,4.0,18.0,20.0,3.0,4.0,4.0,5.0
waterkers,2.0,6.0,14.0,2.0,1.0,2.0,2.0,9.0,6.0,9.0,4.0,18.0,6.0,5.0,4.0,12.0,3.0,9.0,15.0,4.0,2.0,8.0,5.0,4.0,5.0,3.0,20.0,4.0,3.0,6.0
witloof,5.0,3.0,9.0,5.0,8.0,3.0,8.0,5.0,3.0,4.0,6.0,4.0,11.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,6.0,6.0,6.0,4.0,2.0,4.0,4.0,20.0,13.0,9.0
witte kool,7.0,4.0,6.0,4.0,4.0,19.0,15.0,5.0,3.0,3.0,5.0,5.0,2.0,6.0,2.0,4.0,2.0,4.0,6.0,19.0,5.0,14.0,6.0,4.0,14.0,4.0,3.0,13.0,20.0,5.0
wortel,3.0,2.0,5.0,4.0,5.0,4.0,5.0,6.0,3.0,4.0,8.0,6.0,4.0,3.0,2.0,3.0,8.0,4.0,5.0,4.0,4.0,17.0,2.0,3.0,8.0,5.0,6.0,9.0,5.0,20.0
