exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
radijs,12.0,10.0,9.0,16.0,6.0,13.0,9.0,5.0,9.0,13.0,3.0,7.0,5.0,7.0,4.0,15.0,11.0,5.0,20.0,9.0,13.0,4.0,9.0,15.0,12.0,11.0,6.0,3.0,3.0,13.0
rode kool,3.0,4.0,4.0,13.0,4.0,12.0,17.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,9.0,20.0,8.0,3.0,15.0,4.0,9.0,9.0,2.0,3.0,19.0,3.0
schorseneren,13.0,9.0,17.0,5.0,8.0,17.0,3.0,13.0,9.0,6.0,2.0,7.0,12.0,4.0,5.0,6.0,4.0,12.0,13.0,8.0,20.0,9.0,5.0,6.0,9.0,6.0,4.0,11.0,6.0,6.0
selder,4.0,14.0,15.0,7.0,7.0,6.0,4.0,11.0,4.0,12.0,4.0,11.0,13.0,5.0,3.0,12.0,8.0,17.0,4.0,3.0,9.0,20.0,10.0,5.0,5.0,3.0,8.0,7.0,16.0,13.0
sla,4.0,6.0,6.0,9.0,7.0,11.0,15.0,9.0,4.0,5.0,11.0,13.0,10.0,4.0,2.0,5.0,11.0,9.0,9.0,15.0,5.0,10.0,20.0,16.0,13.0,9.0,13.0,5.0,18.0,4.0
spinazie,3.0,3.0,4.0,3.0,12.0,3.0,6.0,6.0,6.0,8.0,6.0,16.0,10.0,2.0,4.0,4.0,15.0,12.0,15.0,4.0,6.0,5.0,16.0,20.0,8.0,4.0,17.0,2.0,4.0,7.0
spruiten,8.0,9.0,8.0,7.0,10.0,8.0,8.0,7.0,9.0,15.0,13.0,8.0,7.0,3.0,3.0,6.0,13.0,6.0,12.0,9.0,9.0,5.0,13.0,8.0,20.0,5.0,4.0,18.0,8.0,4.0
tomaat,13.0,14.0,3.0,14.0,4.0,10.0,5.0,4.0,8.0,5.0,3.0,3.0,4.0,4.0,5.0,15.0,3.0,3.0,11.0,9.0,6.0,3.0,9.0,4.0,5.0,20.0,4.0,4.0,9.0,4.0
waterkers,4.0,4.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,7.0,9.0,16.0,9.0,3.0,4.0,4.0,16.0,4.0,6.0,2.0,4.0,8.0,13.0,17.0,4.0,4.0,20.0,11.0,2.0,4.0
witloof,10.0,6.0,13.0,3.0,7.0,11.0,9.0,9.0,13.0,12.0,3.0,4.0,9.0,6.0,2.0,4.0,3.0,7.0,3.0,3.0,11.0,7.0,5.0,2.0,18.0,4.0,11.0,20.0,7.0,11.0
witte kool,9.0,9.0,5.0,5.0,6.0,6.0,17.0,4.0,6.0,7.0,3.0,3.0,4.0,9.0,2.0,4.0,3.0,11.0,3.0,19.0,6.0,16.0,18.0,4.0,8.0,9.0,2.0,7.0,20.0,2.0
wortel,9.0,6.0,14.0,6.0,14.0,11.0,9.0,10.0,6.0,9.0,4.0,14.0,10.0,6.0,3.0,14.0,14.0,6.0,13.0,3.0,6.0,13.0,4.0,7.0,4.0,4.0,4.0,11.0,2.0,20.0
