exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
mushrooms,8.0,7.0,7.0,7.0,4.0,7.0,3.0,4.0,6.0,6.0,6.0,7.0,5.0,15.0,5.0,6.0,5.0,20.0,4.0,5.0,4.0,5.0,5.0,7.0,4.0,14.0,12.0,10.0,14.0,4.0
onions,5.0,4.0,7.0,6.0,5.0,7.0,5.0,4.0,7.0,7.0,5.0,5.0,7.0,5.0,5.0,1.0,8.0,4.0,20.0,14.0,4.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0
parsley,5.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,7.0,3.0,6.0,6.0,4.0,7.0,5.0,14.0,20.0,4.0,4.0,5.0,6.0,10.0,2.0,7.0,3.0,6.0,1.0
peas,7.0,4.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,6.0,4.0,9.0,4.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,20.0,3.0,6.0,6.0,5.0,6.0,4.0,2.0,7.0,6.0
pepper,10.0,7.0,6.0,11.0,12.0,7.0,9.0,8.0,16.0,9.0,9.0,6.0,10.0,5.0,15.0,4.0,5.0,5.0,6.0,4.0,3.0,20.0,5.0,7.0,10.0,4.0,8.0,9.0,6.0,14.0
potato,4.0,4.0,7.0,6.0,5.0,6.0,6.0,5.0,7.0,6.0,5.0,6.0,5.0,8.0,5.0,5.0,9.0,5.0,7.0,5.0,6.0,5.0,20.0,6.0,6.0,4.0,7.0,3.0,7.0,7.0
radish,5.0,6.0,12.0,5.0,4.0,12.0,10.0,5.0,8.0,5.0,4.0,5.0,7.0,5.0,9.0,4.0,12.0,7.0,6.0,6.0,6.0,7.0,6.0,20.0,5.0,8.0,4.0,4.0,6.0,6.0
red cabbage,4.0,4.0,5.0,16.0,10.0,8.0,9.0,3.0,9.0,12.0,10.0,5.0,13.0,6.0,10.0,3.0,6.0,4.0,6.0,10.0,5.0,10.0,6.0,5.0,20.0,4.0,8.0,12.0,11.0,11.0
spinach,6.0,4.0,16.0,5.0,6.0,4.0,4.0,6.0,5.0,7.0,4.0,7.0,7.0,15.0,8.0,4.0,9.0,14.0,5.0,2.0,6.0,4.0,4.0,8.0,4.0,20.0,6.0,6.0,7.0,4.0
tomato,8.0,5.0,10.0,10.0,14.0,5.0,5.0,7.0,14.0,14.0,7.0,7.0,14.0,12.0,5.0,4.0,5.0,12.0,5.0,7.0,4.0,8.0,7.0,4.0,8.0,6.0,20.0,6.0,9.0,13.0
water cress,4.0,2.0,7.0,16.0,9.0,6.0,6.0,4.0,14.0,15.0,8.0,4.0,8.0,4.0,8.0,7.0,7.0,10.0,6.0,3.0,2.0,9.0,3.0,4.0,12.0,6.0,6.0,20.0,14.0,6.0
white cabbage,5.0,6.0,5.0,10.0,12.0,6.0,9.0,4.0,9.0,11.0,14.0,7.0,13.0,7.0,10.0,1.0,6.0,14.0,5.0,6.0,7.0,6.0,7.0,6.0,11.0,7.0,9.0,14.0,20.0,10.0
zucchini,7.0,9.0,7.0,12.0,7.0,4.0,8.0,5.0,11.0,10.0,8.0,5.0,12.0,6.0,12.0,5.0,5.0,4.0,6.0,1.0,6.0,14.0,7.0,6.0,11.0,4.0,13.0,6.0,10.0,20.0
