exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
drum set,9.0,6.0,8.0,7.0,11.0,9.0,7.0,14.0,9.0,15.0,20.0,8.0,8.0,9.0,9.0,7.0,5.0,5.0,7.0,9.0,7.0,8.0,15.0,13.0,13.0,8.0,6.0
flute,8.0,10.0,7.0,8.0,12.0,11.0,12.0,10.0,9.0,5.0,8.0,20.0,8.0,11.0,11.0,7.0,9.0,13.0,10.0,13.0,11.0,8.0,5.0,8.0,11.0,11.0,10.0
guitar,7.0,9.0,14.0,18.0,5.0,12.0,8.0,9.0,10.0,5.0,8.0,8.0,20.0,7.0,8.0,7.0,7.0,8.0,6.0,8.0,7.0,6.0,8.0,8.0,9.0,8.0,10.0
harmonica,8.0,10.0,11.0,5.0,10.0,7.0,8.0,7.0,5.0,5.0,9.0,11.0,7.0,20.0,9.0,7.0,8.0,11.0,6.0,10.0,13.0,9.0,8.0,9.0,9.0,11.0,7.0
harp,5.0,4.0,8.0,11.0,8.0,11.0,7.0,7.0,12.0,8.0,9.0,11.0,8.0,9.0,20.0,11.0,7.0,6.0,8.0,7.0,7.0,4.0,5.0,11.0,9.0,8.0,9.0
harpsichord,11.0,7.0,6.0,8.0,7.0,8.0,7.0,5.0,10.0,7.0,7.0,7.0,7.0,7.0,11.0,20.0,12.0,8.0,13.0,9.0,8.0,16.0,7.0,5.0,11.0,7.0,9.0
organ,11.0,8.0,7.0,6.0,5.0,8.0,7.0,6.0,9.0,7.0,5.0,9.0,7.0,8.0,7.0,12.0,20.0,8.0,14.0,8.0,8.0,13.0,9.0,9.0,8.0,7.0,7.0
pan flute,8.0,7.0,9.0,4.0,12.0,9.0,9.0,8.0,7.0,9.0,5.0,13.0,8.0,11.0,6.0,8.0,8.0,20.0,9.0,13.0,11.0,9.0,7.0,8.0,11.0,7.0,7.0
piano,10.0,6.0,7.0,8.0,10.0,9.0,8.0,6.0,7.0,8.0,7.0,10.0,6.0,6.0,8.0,13.0,14.0,9.0,20.0,8.0,8.0,14.0,5.0,8.0,6.0,5.0,8.0
recorder,7.0,12.0,7.0,7.0,11.0,9.0,13.0,6.0,7.0,7.0,9.0,13.0,8.0,10.0,7.0,9.0,8.0,13.0,8.0,20.0,11.0,7.0,8.0,8.0,11.0,11.0,7.0
saxophone,7.0,14.0,9.0,9.0,12.0,7.0,13.0,9.0,8.0,5.0,7.0,11.0,7.0,13.0,7.0,8.0,8.0,11.0,8.0,11.0,20.0,6.0,9.0,8.0,12.0,13.0,8.0
synthesizer,11.0,4.0,6.0,10.0,8.0,7.0,7.0,9.0,8.0,4.0,8.0,8.0,6.0,9.0,4.0,16.0,13.0,9.0,14.0,7.0,6.0,20.0,10.0,5.0,9.0,8.0,7.0
tambourine,9.0,8.0,13.0,13.0,7.0,6.0,8.0,11.0,9.0,12.0,15.0,5.0,8.0,8.0,5.0,7.0,9.0,7.0,5.0,8.0,9.0,10.0,20.0,8.0,8.0,8.0,2.0
triangle,7.0,2.0,7.0,4.0,6.0,8.0,7.0,11.0,7.0,11.0,13.0,8.0,8.0,9.0,11.0,5.0,9.0,8.0,8.0,8.0,8.0,5.0,8.0,20.0,10.0,10.0,6.0
trombone,9.0,8.0,2.0,7.0,10.0,6.0,13.0,8.0,9.0,9.0,13.0,11.0,9.0,9.0,9.0,11.0,8.0,11.0,6.0,11.0,12.0,9.0,8.0,10.0,20.0,15.0,8.0
trumpet,9.0,9.0,6.0,8.0,13.0,7.0,11.0,9.0,7.0,9.0,8.0,11.0,8.0,11.0,8.0,7.0,7.0,7.0,5.0,11.0,13.0,8.0,8.0,10.0,15.0,20.0,7.0
violin,9.0,11.0,11.0,13.0,10.0,15.0,8.0,5.0,12.0,6.0,6.0,10.0,10.0,7.0,9.0,9.0,7.0,7.0,8.0,7.0,8.0,7.0,2.0,6.0,8.0,7.0,20.0
