exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
harmonica,3.0,3.0,4.0,6.0,9.0,5.0,9.0,9.0,7.0,7.0,2.0,13.0,3.0,20.0,4.0,3.0,8.0,18.0,3.0,16.0,9.0,2.0,9.0,5.0,13.0,14.0,6.0
harp,11.0,8.0,11.0,13.0,5.0,9.0,6.0,7.0,6.0,2.0,4.0,4.0,7.0,4.0,20.0,6.0,7.0,4.0,3.0,6.0,8.0,3.0,5.0,12.0,8.0,4.0,15.0
harpsichord,7.0,9.0,4.0,6.0,6.0,9.0,7.0,4.0,8.0,10.0,10.0,9.0,5.0,3.0,6.0,20.0,16.0,4.0,19.0,4.0,6.0,19.0,6.0,8.0,7.0,8.0,9.0
organ,12.0,10.0,6.0,6.0,4.0,4.0,8.0,4.0,5.0,4.0,3.0,4.0,5.0,8.0,7.0,16.0,20.0,5.0,16.0,6.0,8.0,14.0,4.0,4.0,9.0,7.0,7.0
pan flute,8.0,13.0,6.0,5.0,11.0,3.0,16.0,3.0,4.0,5.0,3.0,18.0,4.0,18.0,4.0,4.0,5.0,20.0,3.0,19.0,15.0,3.0,3.0,5.0,13.0,16.0,5.0
piano,13.0,16.0,7.0,6.0,4.0,5.0,6.0,2.0,9.0,4.0,5.0,5.0,9.0,3.0,3.0,19.0,16.0,3.0,20.0,7.0,7.0,19.0,4.0,4.0,8.0,4.0,8.0
recorder,9.0,14.0,7.0,3.0,17.0,4.0,17.0,4.0,5.0,6.0,5.0,18.0,7.0,16.0,6.0,4.0,6.0,19.0,7.0,20.0,19.0,5.0,7.0,6.0,16.0,18.0,6.0
saxophone,12.0,14.0,6.0,8.0,16.0,6.0,19.0,3.0,4.0,7.0,4.0,19.0,6.0,9.0,8.0,6.0,8.0,15.0,7.0,19.0,20.0,4.0,6.0,3.0,16.0,18.0,6.0
synthesizer,12.0,3.0,7.0,4.0,5.0,8.0,4.0,4.0,6.0,8.0,4.0,6.0,11.0,2.0,3.0,19.0,14.0,3.0,19.0,5.0,4.0,20.0,3.0,3.0,5.0,6.0,7.0
tambourine,4.0,10.0,2.0,4.0,7.0,4.0,4.0,14.0,5.0,14.0,16.0,3.0,9.0,9.0,5.0,6.0,4.0,3.0,4.0,7.0,6.0,3.0,20.0,18.0,2.0,7.0,3.0
triangle,6.0,3.0,3.0,4.0,4.0,6.0,4.0,16.0,5.0,14.0,11.0,5.0,3.0,5.0,12.0,8.0,4.0,5.0,4.0,6.0,3.0,3.0,18.0,20.0,7.0,3.0,3.0
trombone,7.0,13.0,4.0,4.0,13.0,4.0,17.0,4.0,6.0,8.0,7.0,17.0,7.0,13.0,8.0,7.0,9.0,13.0,8.0,16.0,16.0,5.0,2.0,7.0,20.0,18.0,4.0
trumpet,11.0,16.0,6.0,9.0,16.0,8.0,19.0,2.0,4.0,3.0,4.0,16.0,3.0,14.0,4.0,8.0,7.0,16.0,4.0,18.0,18.0,6.0,7.0,3.0,18.0,20.0,6.0
violin,4.0,6.0,15.0,14.0,6.0,14.0,9.0,4.0,15.0,5.0,6.0,9.0,16.0,6.0,15.0,9.0,7.0,5.0,8.0,6.0,6.0,7.0,3.0,3.0,4.0,6.0,20.0
