exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
guitar,13.0,6.0,19.0,19.0,5.0,6.0,6.0,7.0,10.0,4.0,7.0,6.0,20.0,4.0,4.0,3.0,5.0,6.0,6.0,6.0,5.0,10.0,5.0,7.0,6.0,5.0,5.0
harmonica,13.0,9.0,4.0,4.0,2.0,1.0,11.0,12.0,6.0,5.0,6.0,15.0,4.0,20.0,6.0,6.0,10.0,16.0,1.0,11.0,12.0,10.0,19.0,14.0,9.0,14.0,4.0
harp,5.0,4.0,7.0,5.0,12.0,13.0,6.0,5.0,13.0,7.0,2.0,9.0,4.0,6.0,20.0,5.0,8.0,8.0,5.0,7.0,5.0,1.0,5.0,2.0,2.0,7.0,11.0
harpsichord,10.0,6.0,3.0,8.0,2.0,14.0,5.0,15.0,6.0,6.0,7.0,8.0,3.0,6.0,5.0,20.0,5.0,10.0,19.0,5.0,8.0,4.0,10.0,3.0,7.0,7.0,14.0
organ,7.0,7.0,6.0,1.0,15.0,4.0,4.0,4.0,8.0,8.0,4.0,7.0,5.0,10.0,8.0,5.0,20.0,6.0,16.0,6.0,5.0,7.0,1.0,2.0,1.0,5.0,3.0
pan flute,13.0,6.0,14.0,7.0,13.0,10.0,13.0,11.0,4.0,9.0,4.0,15.0,6.0,16.0,8.0,10.0,6.0,20.0,6.0,15.0,11.0,8.0,8.0,4.0,15.0,9.0,6.0
piano,4.0,3.0,4.0,4.0,8.0,8.0,7.0,3.0,5.0,7.0,5.0,10.0,6.0,1.0,5.0,19.0,16.0,6.0,20.0,8.0,4.0,19.0,6.0,4.0,7.0,7.0,3.0
recorder,10.0,5.0,15.0,7.0,15.0,7.0,14.0,4.0,9.0,4.0,8.0,19.0,6.0,11.0,7.0,5.0,6.0,15.0,8.0,20.0,14.0,4.0,11.0,5.0,9.0,14.0,2.0
saxophone,15.0,4.0,6.0,5.0,13.0,4.0,1.0,4.0,11.0,9.0,11.0,4.0,5.0,12.0,5.0,8.0,5.0,11.0,4.0,14.0,20.0,12.0,8.0,8.0,18.0,16.0,1.0
synthesizer,10.0,1.0,5.0,5.0,4.0,5.0,5.0,7.0,4.0,6.0,8.0,12.0,10.0,10.0,1.0,4.0,7.0,8.0,19.0,4.0,12.0,20.0,5.0,5.0,11.0,3.0,4.0
tambourine,10.0,12.0,9.0,9.0,4.0,4.0,14.0,17.0,4.0,12.0,11.0,8.0,5.0,19.0,5.0,10.0,1.0,8.0,6.0,11.0,8.0,5.0,20.0,18.0,5.0,3.0,5.0
triangle,8.0,12.0,6.0,1.0,7.0,8.0,5.0,12.0,2.0,4.0,5.0,6.0,7.0,14.0,2.0,3.0,2.0,4.0,4.0,5.0,8.0,5.0,18.0,20.0,6.0,10.0,4.0
trombone,6.0,4.0,7.0,6.0,14.0,8.0,14.0,12.0,6.0,7.0,7.0,11.0,6.0,9.0,2.0,7.0,1.0,15.0,7.0,9.0,18.0,11.0,5.0,6.0,20.0,17.0,1.0
trumpet,5.0,4.0,6.0,6.0,13.0,3.0,11.0,4.0,19.0,8.0,12.0,9.0,5.0,14.0,7.0,7.0,5.0,9.0,7.0,14.0,16.0,3.0,3.0,10.0,17.0,20.0,5.0
violin,4.0,4.0,4.0,4.0,6.0,16.0,5.0,1.0,14.0,6.0,4.0,4.0,5.0,4.0,11.0,14.0,3.0,6.0,3.0,2.0,1.0,4.0,5.0,4.0,1.0,5.0,20.0
