exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
harpsichord,3.0,2.0,2.0,3.0,,6.0,6.0,11.0,6.0,3.0,5.0,2.0,7.0,6.0,6.0,20.0,3.0,3.0,4.0,6.0,3.0,3.0,6.0,6.0,3.0,10.0,14.0
organ,3.0,3.0,6.0,3.0,,8.0,3.0,2.0,3.0,3.0,6.0,3.0,3.0,3.0,11.0,3.0,20.0,6.0,17.0,5.0,3.0,2.0,7.0,2.0,3.0,2.0,10.0
pan flute,3.0,7.0,3.0,2.0,,7.0,10.0,3.0,2.0,6.0,3.0,18.0,2.0,6.0,15.0,3.0,6.0,20.0,5.0,18.0,6.0,3.0,9.0,9.0,4.0,6.0,3.0
piano,9.0,3.0,3.0,2.0,,8.0,6.0,2.0,3.0,3.0,5.0,3.0,6.0,5.0,2.0,4.0,17.0,5.0,20.0,3.0,3.0,16.0,2.0,3.0,5.0,3.0,5.0
recorder,2.0,7.0,4.0,2.0,,6.0,15.0,3.0,6.0,3.0,3.0,10.0,5.0,9.0,10.0,6.0,5.0,18.0,3.0,20.0,6.0,7.0,3.0,12.0,7.0,3.0,5.0
saxophone,3.0,3.0,9.0,6.0,,5.0,7.0,3.0,13.0,6.0,6.0,9.0,3.0,3.0,5.0,3.0,3.0,6.0,3.0,6.0,20.0,2.0,2.0,4.0,10.0,16.0,6.0
synthesizer,9.0,3.0,3.0,8.0,,6.0,4.0,3.0,8.0,3.0,9.0,4.0,8.0,3.0,2.0,3.0,2.0,3.0,16.0,7.0,2.0,20.0,3.0,6.0,6.0,5.0,2.0
tambourine,4.0,7.0,4.0,3.0,,6.0,8.0,10.0,2.0,7.0,6.0,3.0,3.0,10.0,6.0,6.0,7.0,9.0,2.0,3.0,2.0,3.0,20.0,13.0,2.0,3.0,7.0
triangle,2.0,3.0,5.0,1.0,,6.0,6.0,8.0,5.0,8.0,2.0,6.0,3.0,8.0,11.0,6.0,2.0,9.0,3.0,12.0,4.0,6.0,13.0,20.0,3.0,4.0,3.0
trombone,3.0,9.0,3.0,3.0,,13.0,7.0,3.0,6.0,7.0,3.0,7.0,6.0,7.0,7.0,3.0,3.0,4.0,5.0,7.0,10.0,6.0,2.0,3.0,20.0,15.0,7.0
trumpet,6.0,3.0,3.0,6.0,,6.0,12.0,6.0,6.0,6.0,5.0,10.0,7.0,3.0,4.0,10.0,2.0,6.0,3.0,3.0,16.0,5.0,3.0,4.0,15.0,20.0,6.0
violin,6.0,2.0,3.0,2.0,,6.0,3.0,7.0,2.0,3.0,1.0,5.0,6.0,3.0,7.0,14.0,10.0,3.0,5.0,5.0,6.0,2.0,7.0,3.0,7.0,6.0,20.0
