exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
hovercraft,0.43928571428571433,0.4428571428571429,0.21428571428571427,0.7821428571428571,0.36428571428571427,0.30357142857142855,0.31785714285714284,0.26785714285714285,0.25357142857142856,0.36428571428571427,1.0,0.32142857142857145,0.21071428571428572,0.28214285714285714,0.28928571428571426,0.35714285714285715,0.2357142857142857,0.2642857142857143,0.35,0.5392857142857144,0.2785714285714286,0.3107142857142857,0.2928571428571428,0.3321428571428572,0.3392857142857143,0.35,0.37142857142857144,0.3107142857142857,0.25357142857142856,0.45714285714285713
jeep,0.24666666666666667,0.31333333333333335,0.31,0.31666666666666665,0.48666666666666664,0.86,0.4633333333333334,0.44333333333333336,0.42333333333333334,0.29333333333333333,0.32142857142857145,1.0,0.29,0.38666666666666666,0.4666666666666667,0.24666666666666667,0.41,0.2866666666666667,0.30333333333333334,0.29333333333333333,0.3066666666666667,0.6433333333333333,0.5566666666666666,0.4166666666666667,0.37,0.31666666666666665,0.58,0.61,0.62,0.21666666666666665
kick scooter,0.22333333333333333,0.18666666666666668,0.6599999999999999,0.22666666666666666,0.30333333333333334,0.32,0.32999999999999996,0.4133333333333334,0.5233333333333333,0.21000000000000002,0.21071428571428572,0.29,1.0,0.48,0.45,0.21333333333333332,0.43666666666666665,0.73,0.52,0.22000000000000003,0.24666666666666667,0.2533333333333333,0.24,0.2833333333333333,0.26,0.29333333333333333,0.24,0.19666666666666666,0.26,0.2033333333333333
motorbike (brommer),0.26,0.29333333333333333,0.7133333333333334,0.2866666666666667,0.3933333333333333,0.44333333333333336,0.33999999999999997,0.36,0.4166666666666667,0.2866666666666667,0.28214285714285714,0.38666666666666666,0.48,1.0,0.8933333333333333,0.25,0.9266666666666667,0.35,0.29333333333333333,0.22999999999999998,0.27999999999999997,0.37666666666666665,0.4166666666666667,0.29333333333333333,0.32333333333333336,0.36333333333333334,0.38,0.31666666666666665,0.36,0.22333333333333333
motorbike (moto),0.2533333333333333,0.30333333333333334,0.6666666666666667,0.2533333333333333,0.4,0.4833333333333333,0.29,0.32333333333333336,0.42666666666666664,0.30333333333333334,0.28928571428571426,0.4666666666666667,0.45,0.8933333333333333,1.0,0.2866666666666667,0.8533333333333333,0.38,0.32,0.24,0.2833333333333333,0.4333333333333333,0.39666666666666667,0.29,0.2966666666666667,0.27999999999999997,0.36333333333333334,0.4166666666666667,0.32999999999999996,0.2866666666666667
rocket,0.4133333333333334,0.6,0.22666666666666666,0.26666666666666666,0.31333333333333335,0.2566666666666667,0.22666666666666666,0.21000000000000002,0.21666666666666665,0.4166666666666667,0.35714285714285715,0.24666666666666667,0.21333333333333332,0.25,0.2866666666666667,1.0,0.22999999999999998,0.24,0.19333333333333333,0.37333333333333335,0.27666666666666667,0.25,0.22999999999999998,0.24333333333333332,0.33666666666666667,0.2633333333333333,0.26,0.3,0.22999999999999998,0.3933333333333333
scooter,0.26,0.25,0.7033333333333334,0.2633333333333333,0.38333333333333336,0.4766666666666667,0.31333333333333335,0.33666666666666667,0.49000000000000005,0.2833333333333333,0.2357142857142857,0.41,0.43666666666666665,0.9266666666666667,0.8533333333333333,0.22999999999999998,1.0,0.32,0.2866666666666667,0.24333333333333332,0.29,0.36666666666666664,0.36333333333333334,0.31,0.2833333333333333,0.32999999999999996,0.36333333333333334,0.31333333333333335,0.42000000000000004,0.2633333333333333
skateboard,0.21000000000000002,0.24666666666666667,0.43666666666666665,0.24666666666666667,0.2633333333333333,0.2966666666666667,0.35333333333333333,0.36333333333333334,0.5333333333333333,0.22000000000000003,0.2642857142857143,0.2866666666666667,0.73,0.35,0.38,0.24,0.32,1.0,0.5900000000000001,0.2066666666666667,0.23666666666666666,0.31333333333333335,0.24333333333333332,0.2633333333333333,0.2066666666666667,0.24666666666666667,0.24666666666666667,0.22999999999999998,0.23666666666666666,0.2066666666666667
sled,0.24333333333333332,0.22999999999999998,0.32666666666666666,0.24,0.2833333333333333,0.37666666666666665,0.5466666666666666,0.5833333333333333,0.5066666666666666,0.24,0.35,0.30333333333333334,0.52,0.29333333333333333,0.32,0.19333333333333333,0.2866666666666667,0.5900000000000001,1.0,0.2033333333333333,0.29333333333333333,0.38333333333333336,0.26,0.33333333333333337,0.27,0.29,0.26666666666666666,0.25,0.23333333333333334,0.22333333333333333
submarine,0.27999999999999997,0.31333333333333335,0.22666666666666666,0.6866666666666666,0.2833333333333333,0.31666666666666665,0.24,0.2533333333333333,0.22666666666666666,0.2733333333333333,0.5392857142857144,0.29333333333333333,0.22000000000000003,0.22999999999999998,0.24,0.37333333333333335,0.24333333333333332,0.2066666666666667,0.2033333333333333,1.0,0.36,0.24666666666666667,0.25,0.30333333333333334,0.32333333333333336,0.27666666666666667,0.33666666666666667,0.2733333333333333,0.27666666666666667,0.42333333333333334
subway train,0.25,0.31666666666666665,0.27999999999999997,0.29333333333333333,0.6066666666666667,0.3566666666666667,0.4133333333333334,0.33999999999999997,0.27999999999999997,0.2866666666666667,0.2785714285714286,0.3066666666666667,0.24666666666666667,0.27999999999999997,0.2833333333333333,0.27666666666666667,0.29,0.23666666666666666,0.29333333333333333,0.36,1.0,0.41,0.26,0.42666666666666664,0.79,0.82,0.44666666666666666,0.42666666666666664,0.4,0.24
taxi,0.2733333333333333,0.3933333333333333,0.32,0.3,0.5866666666666667,0.9033333333333333,0.5433333333333333,0.47000000000000003,0.38333333333333336,0.29,0.3107142857142857,0.6433333333333333,0.2533333333333333,0.37666666666666665,0.4333333333333333,0.25,0.36666666666666664,0.31333333333333335,0.38333333333333336,0.24666666666666667,0.41,1.0,0.4033333333333333,0.43,0.43,0.48666666666666664,0.4766666666666667,0.5033333333333333,0.5566666666666666,0.26
tractor,0.22666666666666666,0.26666666666666666,0.27999999999999997,0.27999999999999997,0.44666666666666666,0.5033333333333333,0.44000000000000006,0.44333333333333336,0.37666666666666665,0.29333333333333333,0.2928571428571428,0.5566666666666666,0.24,0.4166666666666667,0.39666666666666667,0.22999999999999998,0.36333333333333334,0.24333333333333332,0.26,0.25,0.26,0.4033333333333333,1.0,0.39666666666666667,0.36,0.31666666666666665,0.5666666666666667,0.6033333333333333,0.4966666666666667,0.27
trailer,0.2566666666666667,0.2633333333333333,0.32,0.4,0.54,0.48666666666666664,0.5066666666666666,0.5166666666666667,0.3,0.2733333333333333,0.3321428571428572,0.4166666666666667,0.2833333333333333,0.29333333333333333,0.29,0.24333333333333332,0.31,0.2633333333333333,0.33333333333333337,0.30333333333333334,0.42666666666666664,0.43,0.39666666666666667,1.0,0.42000000000000004,0.37,0.5700000000000001,0.51,0.5599999999999999,0.35
train,0.24333333333333332,0.39666666666666667,0.3566666666666667,0.37,0.6433333333333333,0.41,0.4633333333333334,0.4033333333333333,0.29333333333333333,0.30333333333333334,0.3392857142857143,0.37,0.26,0.32333333333333336,0.2966666666666667,0.33666666666666667,0.2833333333333333,0.2066666666666667,0.27,0.32333333333333336,0.79,0.43,0.36,0.42000000000000004,1.0,0.8266666666666668,0.4766666666666667,0.54,0.4533333333333333,0.3466666666666667
tram,0.2533333333333333,0.32333333333333336,0.32666666666666666,0.2733333333333333,0.7,0.37666666666666665,0.47000000000000003,0.39666666666666667,0.2966666666666667,0.29,0.35,0.31666666666666665,0.29333333333333333,0.36333333333333334,0.27999999999999997,0.2633333333333333,0.32999999999999996,0.24666666666666667,0.29,0.27666666666666667,0.82,0.48666666666666664,0.31666666666666665,0.37,0.8266666666666668,1.0,0.45,0.42000000000000004,0.43,0.2733333333333333
truck (camion),0.30333333333333334,0.3433333333333333,0.2866666666666667,0.4033333333333333,0.6866666666666666,0.6266666666666667,0.43,0.4533333333333333,0.32999999999999996,0.27999999999999997,0.37142857142857144,0.58,0.24,0.38,0.36333333333333334,0.26,0.36333333333333334,0.24666666666666667,0.26666666666666666,0.33666666666666667,0.44666666666666666,0.4766666666666667,0.5666666666666667,0.5700000000000001,0.4766666666666667,0.45,1.0,0.95,0.8300000000000001,0.32
truck (vrachtwagen),0.31,0.37,0.2833333333333333,0.37666666666666665,0.6599999999999999,0.6433333333333333,0.43,0.45666666666666667,0.36666666666666664,0.31666666666666665,0.3107142857142857,0.61,0.19666666666666666,0.31666666666666665,0.4166666666666667,0.3,0.31333333333333335,0.22999999999999998,0.25,0.2733333333333333,0.42666666666666664,0.5033333333333333,0.6033333333333333,0.51,0.54,0.42000000000000004,0.95,1.0,0.7933333333333333,0.33333333333333337
van,0.27666666666666667,0.33333333333333337,0.2966666666666667,0.32333333333333336,0.63,0.7033333333333334,0.45666666666666667,0.4766666666666667,0.38333333333333336,0.2866666666666667,0.25357142857142856,0.62,0.26,0.36,0.32999999999999996,0.22999999999999998,0.42000000000000004,0.23666666666666666,0.23333333333333334,0.27666666666666667,0.4,0.5566666666666666,0.4966666666666667,0.5599999999999999,0.4533333333333333,0.43,0.8300000000000001,0.7933333333333333,1.0,0.2733333333333333
zeppelin,0.8233333333333333,0.65,0.23666666666666666,0.37666666666666665,0.37,0.29,0.27,0.24,0.23333333333333334,0.5599999999999999,0.45714285714285713,0.21666666666666665,0.2033333333333333,0.22333333333333333,0.2866666666666667,0.3933333333333333,0.2633333333333333,0.2066666666666667,0.22333333333333333,0.42333333333333334,0.24,0.26,0.27,0.35,0.3466666666666667,0.2733333333333333,0.32,0.33333333333333337,0.2733333333333333,1.0
