exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
submarine,5.0,2.0,8.0,11.0,3.0,3.0,5.0,8.0,3.0,7.0,8.0,5.0,5.0,1.0,2.0,9.0,3.0,2.0,4.0,20.0,8.0,3.0,7.0,6.0,9.0,3.0,4.0,7.0,3.0,9.0
subway train,5.0,8.0,3.0,3.0,9.0,5.0,4.0,5.0,3.0,9.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,5.0,8.0,20.0,9.0,5.0,4.0,11.0,10.0,3.0,4.0,4.0,5.0
taxi,3.0,4.0,8.0,5.0,10.0,15.0,10.0,9.0,8.0,5.0,8.0,14.0,4.0,9.0,9.0,2.0,5.0,7.0,7.0,3.0,9.0,20.0,9.0,8.0,9.0,9.0,3.0,10.0,8.0,4.0
tractor,3.0,5.0,3.0,9.0,8.0,9.0,3.0,5.0,8.0,4.0,6.0,6.0,2.0,12.0,6.0,5.0,5.0,5.0,9.0,7.0,5.0,9.0,20.0,8.0,4.0,5.0,9.0,9.0,9.0,4.0
trailer,2.0,4.0,5.0,9.0,10.0,8.0,5.0,10.0,2.0,4.0,6.0,7.0,6.0,6.0,3.0,8.0,8.0,8.0,6.0,6.0,4.0,8.0,8.0,20.0,8.0,3.0,6.0,8.0,9.0,5.0
train,4.0,9.0,9.0,11.0,9.0,7.0,6.0,8.0,3.0,4.0,7.0,7.0,2.0,7.0,2.0,4.0,6.0,3.0,6.0,9.0,11.0,9.0,4.0,8.0,20.0,15.0,10.0,9.0,8.0,7.0
tram,6.0,2.0,5.0,5.0,12.0,5.0,7.0,5.0,5.0,4.0,8.0,5.0,9.0,8.0,5.0,2.0,9.0,5.0,7.0,3.0,10.0,9.0,5.0,3.0,15.0,20.0,7.0,7.0,8.0,5.0
truck (camion),5.0,8.0,4.0,3.0,10.0,10.0,5.0,4.0,5.0,9.0,6.0,5.0,5.0,9.0,5.0,3.0,7.0,5.0,6.0,4.0,3.0,3.0,9.0,6.0,10.0,7.0,20.0,20.0,12.0,5.0
truck (vrachtwagen),4.0,5.0,5.0,5.0,12.0,8.0,3.0,8.0,3.0,5.0,2.0,10.0,2.0,3.0,9.0,6.0,5.0,4.0,3.0,7.0,4.0,10.0,9.0,8.0,9.0,7.0,20.0,20.0,10.0,6.0
van,5.0,3.0,9.0,6.0,12.0,8.0,9.0,10.0,10.0,4.0,3.0,10.0,4.0,9.0,7.0,3.0,9.0,6.0,3.0,3.0,4.0,8.0,9.0,9.0,8.0,8.0,12.0,10.0,20.0,8.0
zeppelin,15.0,12.0,3.0,10.0,7.0,5.0,5.0,2.0,9.0,7.0,6.0,6.0,7.0,5.0,8.0,9.0,5.0,5.0,3.0,9.0,5.0,4.0,4.0,5.0,7.0,5.0,5.0,6.0,8.0,20.0
