exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
subway train,5.0,6.0,7.0,6.0,13.0,10.0,6.0,8.0,7.0,7.0,8.0,7.0,8.0,7.0,9.0,4.0,6.0,6.0,7.0,6.0,20.0,9.0,7.0,6.0,17.0,16.0,7.0,7.0,8.0,6.0
taxi,7.0,9.0,7.0,8.0,12.0,17.0,8.0,8.0,12.0,7.0,6.0,13.0,8.0,9.0,8.0,6.0,7.0,6.0,9.0,7.0,9.0,20.0,10.0,7.0,8.0,13.0,12.0,11.0,12.0,7.0
tractor,5.0,6.0,7.0,7.0,10.0,11.0,11.0,8.0,6.0,6.0,7.0,14.0,5.0,9.0,10.0,6.0,8.0,5.0,7.0,5.0,7.0,10.0,20.0,7.0,8.0,7.0,12.0,14.0,10.0,6.0
trailer,7.0,7.0,6.0,8.0,8.0,10.0,12.0,14.0,8.0,6.0,5.0,8.0,6.0,7.0,7.0,4.0,6.0,7.0,9.0,5.0,6.0,7.0,7.0,20.0,8.0,7.0,9.0,9.0,10.0,6.0
train,7.0,8.0,8.0,11.0,14.0,8.0,7.0,9.0,6.0,9.0,6.0,10.0,7.0,9.0,8.0,6.0,7.0,6.0,6.0,6.0,17.0,8.0,8.0,8.0,20.0,17.0,9.0,10.0,7.0,5.0
tram,6.0,9.0,8.0,7.0,14.0,1.0,8.0,8.0,7.0,7.0,6.0,8.0,6.0,10.0,8.0,5.0,8.0,4.0,6.0,7.0,16.0,13.0,7.0,7.0,17.0,20.0,8.0,11.0,11.0,6.0
truck (camion),8.0,8.0,7.0,8.0,14.0,12.0,11.0,9.0,6.0,7.0,8.0,13.0,9.0,8.0,10.0,5.0,8.0,6.0,5.0,7.0,7.0,12.0,12.0,9.0,9.0,8.0,20.0,19.0,17.0,6.0
truck (vrachtwagen),6.0,8.0,7.0,8.0,12.0,13.0,7.0,8.0,7.0,7.0,6.0,12.0,5.0,8.0,10.0,6.0,10.0,5.0,6.0,4.0,7.0,11.0,14.0,9.0,10.0,11.0,19.0,20.0,16.0,8.0
van,10.0,7.0,7.0,6.0,8.0,16.0,8.0,8.0,9.0,7.0,4.0,11.0,7.0,10.0,7.0,6.0,8.0,5.0,6.0,5.0,8.0,12.0,10.0,10.0,7.0,11.0,17.0,16.0,20.0,5.0
zeppelin,16.0,13.0,4.0,7.0,6.0,5.0,7.0,6.0,7.0,12.0,10.0,6.0,5.0,6.0,6.0,8.0,7.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,8.0,5.0,20.0
