exemplar,accordeon,banjo,basgitaar,cello,cimbalen,contrabas,doedelzak,drumstel,dwarsfluit,fagot,fluit,gitaar,harp,klarinet,klavecimbel,mondharmonica,orgel,panfluit,piano,saxofoon,synthesizer,tamboerijn,triangel,trombone,trommel,trompet,viool
fluit,5.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,18.0,10.0,20.0,1.0,1.0,14.0,1.0,6.0,5.0,18.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,10.0,1.0
gitaar,1.0,16.0,19.0,9.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,20.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,5.0,2.0,1.0,1.0,1.0,10.0
harp,6.0,5.0,9.0,10.0,5.0,16.0,1.0,6.0,1.0,1.0,1.0,5.0,20.0,1.0,6.0,1.0,2.0,1.0,16.0,1.0,1.0,5.0,3.0,1.0,5.0,1.0,9.0
klarinet,3.0,1.0,16.0,1.0,1.0,5.0,5.0,1.0,9.0,8.0,14.0,1.0,1.0,20.0,1.0,6.0,7.0,5.0,1.0,16.0,1.0,2.0,1.0,9.0,1.0,15.0,1.0
klavecimbel,12.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,20.0,1.0,10.0,1.0,18.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0
mondharmonica,3.0,1.0,1.0,1.0,1.0,16.0,6.0,1.0,5.0,6.0,6.0,1.0,1.0,6.0,1.0,20.0,8.0,13.0,1.0,7.0,5.0,1.0,1.0,15.0,1.0,5.0,1.0
orgel,15.0,1.0,1.0,1.0,5.0,1.0,6.0,6.0,5.0,8.0,5.0,1.0,2.0,7.0,10.0,8.0,20.0,12.0,1.0,8.0,15.0,1.0,1.0,1.0,1.0,5.0,5.0
panfluit,8.0,1.0,1.0,1.0,1.0,1.0,6.0,16.0,17.0,5.0,18.0,1.0,1.0,5.0,1.0,13.0,12.0,20.0,1.0,17.0,1.0,1.0,1.0,15.0,1.0,10.0,2.0
piano,12.0,1.0,1.0,4.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,10.0,16.0,1.0,18.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0,1.0,1.0,8.0,1.0,2.0
saxofoon,16.0,5.0,1.0,1.0,1.0,1.0,6.0,1.0,5.0,12.0,1.0,6.0,1.0,16.0,1.0,7.0,8.0,17.0,1.0,20.0,1.0,2.0,1.0,15.0,1.0,12.0,1.0
synthesizer,5.0,1.0,5.0,1.0,1.0,1.0,8.0,8.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,5.0,15.0,1.0,15.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0
tamboerijn,1.0,6.0,6.0,1.0,9.0,5.0,1.0,15.0,1.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,20.0,1.0,1.0,6.0,1.0,1.0
triangel,1.0,6.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,6.0,1.0,4.0
trombone,5.0,1.0,1.0,1.0,1.0,1.0,9.0,4.0,9.0,15.0,6.0,1.0,1.0,9.0,1.0,15.0,1.0,15.0,1.0,15.0,1.0,1.0,1.0,20.0,1.0,15.0,1.0
trommel,1.0,2.0,5.0,1.0,14.0,6.0,1.0,15.0,1.0,3.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,8.0,1.0,1.0,6.0,6.0,1.0,20.0,2.0,1.0
trompet,9.0,1.0,1.0,2.0,3.0,1.0,5.0,1.0,6.0,15.0,10.0,1.0,1.0,15.0,1.0,5.0,5.0,10.0,1.0,12.0,1.0,1.0,1.0,15.0,2.0,20.0,1.0
viool,1.0,8.0,10.0,18.0,1.0,17.0,1.0,1.0,1.0,1.0,1.0,10.0,9.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,20.0
