exemplar,bathing suit,beanie,belt,blouse,boots,bra,cap,coat,dress,dungarees,hat,jeans,mittens,panties,pants,pullover,pyjamas,scarf,shirt,shoes,shorts,skirt,socks,suit,sweater,t-shirt,tie,top,tracksuit
pants,9.0,1.0,1.0,10.0,1.0,2.0,2.0,1.0,5.0,10.0,3.0,15.0,2.0,7.0,20.0,3.0,18.0,2.0,2.0,1.0,10.0,2.0,3.0,14.0,2.0,2.0,6.0,2.0,15.0
pullover,19.0,3.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,10.0,3.0,3.0,20.0,9.0,2.0,3.0,2.0,2.0,1.0,1.0,5.0,15.0,1.0,3.0,8.0,6.0
pyjamas,2.0,5.0,2.0,15.0,3.0,2.0,3.0,5.0,15.0,4.0,1.0,5.0,3.0,2.0,18.0,9.0,20.0,3.0,12.0,2.0,5.0,2.0,4.0,15.0,9.0,8.0,3.0,5.0,5.0
scarf,3.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,20.0,2.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,2.0,1.0,2.0
shirt,2.0,2.0,2.0,18.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,12.0,2.0,20.0,2.0,2.0,5.0,2.0,10.0,7.0,15.0,4.0,2.0,2.0
shoes,2.0,3.0,1.0,2.0,12.0,4.0,5.0,1.0,2.0,4.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,20.0,2.0,1.0,4.0,2.0,1.0,2.0,4.0,5.0,2.0
shorts,5.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,9.0,2.0,2.0,14.0,3.0,15.0,10.0,2.0,5.0,2.0,2.0,2.0,20.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,10.0
skirt,8.0,2.0,4.0,2.0,1.0,1.0,10.0,5.0,10.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,5.0,1.0,3.0,20.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0
socks,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,20.0,1.0,2.0,4.0,2.0,3.0,3.0
suit,5.0,2.0,2.0,15.0,5.0,3.0,5.0,10.0,2.0,9.0,3.0,5.0,2.0,3.0,14.0,5.0,15.0,6.0,10.0,2.0,3.0,6.0,1.0,20.0,4.0,10.0,15.0,4.0,5.0
sweater,2.0,2.0,2.0,6.0,2.0,3.0,2.0,4.0,1.0,6.0,2.0,10.0,2.0,2.0,2.0,15.0,9.0,3.0,7.0,1.0,2.0,2.0,2.0,4.0,20.0,9.0,2.0,10.0,3.0
t-shirt,4.0,2.0,2.0,10.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,1.0,4.0,4.0,2.0,1.0,8.0,2.0,15.0,2.0,4.0,2.0,4.0,10.0,9.0,20.0,2.0,2.0,5.0
tie,1.0,4.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,6.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,15.0,2.0,2.0,20.0,2.0,4.0
top,15.0,1.0,2.0,5.0,2.0,3.0,2.0,3.0,6.0,2.0,5.0,2.0,2.0,2.0,2.0,8.0,5.0,1.0,2.0,5.0,4.0,2.0,3.0,4.0,10.0,2.0,2.0,20.0,7.0
tracksuit,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,5.0,1.0,12.0,2.0,5.0,15.0,6.0,5.0,2.0,2.0,2.0,10.0,1.0,3.0,5.0,3.0,5.0,4.0,7.0,20.0
