exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
surfen,8.0,4.0,8.0,12.0,7.0,10.0,12.0,4.0,12.0,15.0,8.0,9.0,4.0,5.0,6.0,5.0,17.0,11.0,4.0,20.0,4.0,4.0,8.0,8.0,4.0,10.0,5.0,7.0,18.0,16.0
tafeltennis,17.0,7.0,8.0,3.0,12.0,10.0,12.0,9.0,17.0,9.0,11.0,8.0,7.0,7.0,4.0,12.0,6.0,4.0,16.0,4.0,20.0,19.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,6.0
tennis,19.0,5.0,14.0,14.0,7.0,13.0,11.0,14.0,11.0,9.0,9.0,9.0,4.0,8.0,11.0,11.0,4.0,6.0,19.0,4.0,19.0,20.0,13.0,8.0,8.0,13.0,11.0,4.0,12.0,4.0
turnen,3.0,16.0,10.0,8.0,7.0,8.0,6.0,7.0,17.0,8.0,12.0,11.0,8.0,4.0,4.0,8.0,4.0,8.0,8.0,8.0,7.0,13.0,20.0,16.0,12.0,4.0,13.0,13.0,4.0,13.0
verspringen,5.0,8.0,6.0,7.0,8.0,4.0,12.0,8.0,16.0,8.0,10.0,13.0,4.0,4.0,2.0,9.0,6.0,11.0,12.0,8.0,9.0,8.0,16.0,20.0,5.0,7.0,14.0,11.0,9.0,6.0
voetbal,11.0,8.0,16.0,17.0,11.0,9.0,4.0,19.0,17.0,17.0,4.0,11.0,6.0,15.0,6.0,4.0,5.0,5.0,9.0,4.0,8.0,8.0,12.0,5.0,20.0,17.0,14.0,10.0,6.0,4.0
volleybal,14.0,4.0,17.0,17.0,4.0,4.0,6.0,19.0,11.0,12.0,8.0,4.0,4.0,13.0,12.0,9.0,9.0,6.0,13.0,10.0,9.0,13.0,4.0,7.0,17.0,20.0,4.0,12.0,8.0,4.0
wandelen,9.0,5.0,5.0,8.0,8.0,12.0,15.0,11.0,19.0,4.0,4.0,7.0,15.0,7.0,14.0,8.0,7.0,15.0,11.0,5.0,8.0,11.0,13.0,14.0,14.0,4.0,20.0,11.0,11.0,12.0
wielrennen,8.0,6.0,9.0,11.0,8.0,9.0,8.0,12.0,14.0,11.0,6.0,7.0,6.0,9.0,9.0,8.0,7.0,7.0,8.0,7.0,9.0,4.0,13.0,11.0,10.0,12.0,11.0,20.0,7.0,10.0
zeilen,11.0,3.0,7.0,4.0,7.0,8.0,9.0,5.0,4.0,3.0,10.0,4.0,7.0,7.0,6.0,2.0,5.0,15.0,6.0,18.0,8.0,12.0,4.0,9.0,6.0,8.0,11.0,7.0,20.0,18.0
zwemmen,9.0,8.0,7.0,9.0,7.0,10.0,2.0,8.0,13.0,4.0,4.0,7.0,8.0,3.0,3.0,5.0,7.0,14.0,9.0,16.0,6.0,4.0,13.0,6.0,4.0,4.0,12.0,10.0,18.0,20.0
