exemplar,badminton,ballet,baseball,basketbal,biljarten,boksen,golf,handbal,hardlopen,ijshockey,judo,kogelstoten,paardrijden,rugby,schaken,schermen,skiën,sportvissen,squash,surfen,tafeltennis,tennis,turnen,verspringen,voetbal,volleybal,wandelen,wielrennen,zeilen,zwemmen
judo,3.0,13.0,8.0,3.0,8.0,10.0,4.0,8.0,9.0,6.0,20.0,5.0,5.0,16.0,3.0,6.0,10.0,6.0,8.0,7.0,8.0,9.0,12.0,4.0,9.0,6.0,8.0,7.0,4.0,5.0
kogelstoten,10.0,4.0,12.0,8.0,12.0,11.0,6.0,16.0,5.0,7.0,5.0,20.0,6.0,8.0,7.0,5.0,6.0,5.0,10.0,9.0,7.0,8.0,5.0,2.0,8.0,7.0,4.0,5.0,7.0,5.0
paardrijden,7.0,4.0,5.0,5.0,9.0,3.0,9.0,4.0,12.0,5.0,5.0,6.0,20.0,6.0,3.0,2.0,6.0,4.0,8.0,6.0,6.0,5.0,6.0,4.0,9.0,6.0,7.0,8.0,8.0,6.0
rugby,8.0,2.0,9.0,16.0,6.0,13.0,3.0,12.0,12.0,14.0,16.0,8.0,6.0,20.0,11.0,9.0,4.0,4.0,7.0,6.0,5.0,5.0,6.0,9.0,16.0,9.0,2.0,6.0,6.0,6.0
schaken,5.0,7.0,6.0,8.0,6.0,6.0,3.0,6.0,5.0,4.0,3.0,7.0,3.0,11.0,20.0,6.0,6.0,3.0,6.0,4.0,8.0,6.0,3.0,6.0,12.0,8.0,3.0,8.0,7.0,5.0
schermen,9.0,7.0,7.0,7.0,6.0,11.0,4.0,7.0,6.0,6.0,6.0,5.0,2.0,9.0,6.0,20.0,3.0,5.0,6.0,7.0,7.0,6.0,8.0,13.0,3.0,8.0,5.0,6.0,7.0,7.0
skiën,7.0,10.0,5.0,6.0,6.0,5.0,2.0,4.0,6.0,11.0,10.0,6.0,6.0,4.0,6.0,3.0,20.0,3.0,4.0,3.0,5.0,10.0,5.0,7.0,9.0,5.0,8.0,7.0,9.0,7.0
sportvissen,3.0,1.0,5.0,4.0,2.0,6.0,9.0,5.0,7.0,5.0,6.0,5.0,4.0,4.0,3.0,5.0,3.0,20.0,6.0,8.0,4.0,4.0,3.0,3.0,4.0,6.0,9.0,8.0,10.0,5.0
squash,16.0,9.0,15.0,9.0,9.0,11.0,8.0,7.0,11.0,12.0,8.0,10.0,8.0,7.0,6.0,6.0,4.0,6.0,20.0,6.0,11.0,18.0,8.0,18.0,7.0,11.0,3.0,5.0,9.0,4.0
surfen,6.0,8.0,3.0,4.0,6.0,6.0,8.0,16.0,8.0,5.0,7.0,9.0,6.0,6.0,4.0,7.0,3.0,8.0,6.0,20.0,5.0,7.0,6.0,6.0,6.0,5.0,6.0,5.0,17.0,11.0
tafeltennis,13.0,7.0,8.0,8.0,7.0,6.0,8.0,4.0,7.0,8.0,8.0,7.0,6.0,5.0,8.0,7.0,5.0,4.0,11.0,5.0,20.0,17.0,3.0,8.0,6.0,11.0,5.0,4.0,4.0,3.0
tennis,17.0,6.0,10.0,6.0,7.0,5.0,7.0,8.0,11.0,6.0,9.0,8.0,5.0,5.0,6.0,6.0,10.0,4.0,18.0,7.0,17.0,20.0,8.0,7.0,12.0,10.0,4.0,8.0,6.0,6.0
turnen,9.0,16.0,8.0,3.0,4.0,4.0,5.0,6.0,8.0,4.0,12.0,5.0,6.0,6.0,3.0,8.0,5.0,3.0,8.0,6.0,3.0,8.0,20.0,12.0,8.0,6.0,5.0,7.0,4.0,10.0
verspringen,9.0,15.0,6.0,4.0,3.0,12.0,3.0,7.0,5.0,8.0,4.0,2.0,4.0,9.0,6.0,13.0,7.0,3.0,18.0,6.0,8.0,7.0,12.0,20.0,13.0,9.0,14.0,7.0,5.0,4.0
voetbal,5.0,3.0,14.0,9.0,11.0,3.0,9.0,12.0,16.0,5.0,9.0,8.0,9.0,16.0,12.0,3.0,9.0,4.0,7.0,6.0,6.0,12.0,8.0,13.0,20.0,7.0,6.0,6.0,7.0,10.0
volleybal,8.0,6.0,10.0,8.0,4.0,6.0,11.0,12.0,6.0,6.0,6.0,7.0,6.0,9.0,8.0,8.0,5.0,6.0,11.0,5.0,11.0,10.0,6.0,9.0,7.0,20.0,8.0,5.0,6.0,5.0
wandelen,6.0,5.0,3.0,9.0,5.0,6.0,2.0,7.0,1.0,6.0,8.0,4.0,7.0,2.0,3.0,5.0,8.0,9.0,3.0,6.0,5.0,4.0,5.0,14.0,6.0,8.0,20.0,11.0,5.0,9.0
wielrennen,4.0,5.0,8.0,8.0,8.0,7.0,5.0,7.0,11.0,4.0,7.0,5.0,8.0,6.0,8.0,6.0,7.0,8.0,5.0,5.0,4.0,8.0,7.0,7.0,6.0,5.0,11.0,20.0,6.0,9.0
zeilen,6.0,8.0,4.0,5.0,6.0,4.0,6.0,7.0,12.0,7.0,4.0,7.0,8.0,6.0,7.0,7.0,9.0,10.0,9.0,17.0,4.0,6.0,4.0,5.0,7.0,6.0,5.0,6.0,20.0,9.0
zwemmen,8.0,10.0,3.0,5.0,3.0,4.0,8.0,9.0,8.0,4.0,5.0,5.0,6.0,6.0,5.0,7.0,7.0,5.0,4.0,11.0,3.0,6.0,10.0,4.0,10.0,5.0,9.0,9.0,9.0,20.0
